Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
4924.2w.F	4924	A	2w	22	3.091042453	F	F	M	N	8.333333	1.002018	1.54	23.13	896	0	0	0	0	0		
4924.4w.F	4924	A	4w	29	3.36729583	F	F	M	N	7	1.16634	1.16	29.03	2207	0	0	0	0	0		
4924.8w.F	4924	A	8w	54	3.988984047	F	F	M	N	3	0.194135	1.59	82.55	32842	0	0	0	0	0		
4924.8w.L	4924	A	8w	58	4.060443011	L	L	M	N	2	0.056465	1.59	82.55	32842	0	0	0	0	0		
4924.8w.S	4924	A	8w	58	4.060443011	S	S	M	N	2	0.056465	1.59	82.55	32842	0	0	0	0	0		
4925.2w.F	4925	B	2w	23	3.135494216	F	F	M	N	5	0.440421	0.76	11.34	1351	8	0	0	0	8		
4925.4w.F	4925	B	4w	27	3.295836866	F	F	M	N	4	0.864069	0.83	20.87	1751	8	0	0	0	8		
4925.8w.F	4925	B	8w	54	3.988984047	F	F	M	N	8	1.052295	1.21	63.05	9149	8	0	0	0	8		
4925.8w.L	4925	B	8w	58	4.060443011	L	L	M	Y	6	0.996828	1.21	63.05		8	0	0	0	8		
4925.8w.S	4925	B	8w	58	4.060443011	S	S	M	Y	9.5	1.205766	1.21	63.05		8	0	0	0	8		
4926.2w.F	4926	C	2w	22	3.091042453	F	F	M	N	2	0.304636	1.57	23.59	740	0	0	0	0	0		
4926.4w.F	4926	C	4w	27	3.295836866	F	F	M	N	4	0.45027	1.18	29.48	1259	0	0	0	0	0		
4926.8w.F	4926	C	8w	54	3.988984047	F	F	M	N	3	0.230372	1.26	65.77	20329	0	0	0	0	0		
4926.8w.L	4926	C	8w	58	4.060443011	L	L	M	N	2	0.097267	1.26	65.77		0	0	0	0	0		
4926.8w.S	4926	C	8w	58	4.060443011	S	S	M	N	8	0.389822	1.26	65.77		0	0	0	0	0		
4954.2w.F	4954	B	2w	12	2.48490665	F	F	M	N	1	0	1.41	14.06	611	0	2	0	0	2		
4954.4w.F	4954	B	4w	25	3.218875825	F	F	M	N	4	1.29804	1.16	26.76	1712	0	2	0	0	2		
4954.8w.F	4954	B	8w	53	3.970291914	F	F	M	N	8.5	1.266851	1.17	62.14	10368	0	2	0	0	2		
4954.8w.L	4954	B	8w	56	4.025351691	L	L	M	N	8	0.977195	1.17	62.14		0	2	0	0	2		
4954.8w.S	4954	B	8w	56	4.025351691	S	S	M	N	7	0.511409	1.17	62.14		0	2	0	0	2		
4955.4w.F	4955	C	4w	25	3.218875825	F	F	M	N	5	1.038756	0.77	17.69	965	0	0	0	0	0		
4955.8w.F	4955	C	8w	54	3.988984047	F	F	M	N	11	0.719019	1.13	58.51	4873	5	1	0	0	6		
4955.8w.L	4955	C	8w	55	4.007333185	L	L	M	Y	5	0.571983	1.13	58.51		11	15	0	0	26		
4955.8w.S	4955	C	8w	55	4.007333185	S	S	M	Y	8.25	1.102201	1.13	58.51		11	15	0	0	26		
4956.2w.F	4956	A	2w	12	2.48490665	F	F	M	N	3	0.737775	1.45	14.51	892	0	0	0	0	0		
4956.4w.F	4956	A	4w	25	3.218875825	F	F	M	N	5	0.524521	0.89	20.41	3891	0	0	0	0	0		
4956.8w.F	4956	A	8w	54	3.988984047	F	F	M	N	2	0.097267	1.36	70.76	20242	0	0	0	0	0		
4956.8w.L	4956	A	8w	55	4.007333185	L	L	M	N	1	0	1.36	70.76	20242	0	0	0	0	0		
4956.8w.S	4956	A	8w	55	4.007333185	S	S	M	N	1	0	1.36	70.76	20242	0	0	0	0	0		
4970.2w.F	4970	C	2w	11	2.397895273	F	F	M	N	1	0	1.81	16.33	388	11	15	0	0	26		
4970.4w.F	4970	C	4w	25	3.218875825	F	F	M	N	3	0.295518	1.44	33.11	1945	0	0	0	0	0		
4970.8w.F	4970	C	8w	56	4.025351691	F	F	M	N	2	0.056002	1.4	73.03	23759	0	0	0	0	0		
