Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
4924.2w.F	4924	A	2w	22	3.091042453	F	F	M	N	240.47619	2.576991	1.54	23.13	896	0	0	0	0	0		
4924.4w.F	4924	A	4w	29	3.36729583	F	F	M	N	211.9	2.596967	1.16	29.03	2207	0	0	0	0	0		
4924.8w.F	4924	A	8w	54	3.988984047	F	F	M	N	357.145833	3.774657	1.59	82.55	32842	0	0	0	0	0		
4924.8w.L	4924	A	8w	58	4.060443011	L	L	M	N	344.066667	2.797105	1.59	82.55	32842	0	0	0	0	0		
4924.8w.S	4924	A	8w	58	4.060443011	S	S	M	N	189.714286	2.734344	1.59	82.55	32842	0	0	0	0	0		
4925.2w.F	4925	B	2w	23	3.135494216	F	F	M	N	448	3.210027	0.76	11.34	1351	8	0	0	0	8		
4925.4w.F	4925	B	4w	27	3.295836866	F	F	M	N	333.333333	3.49241	0.83	20.87	1751	8	0	0	0	8		
4925.8w.F	4925	B	8w	54	3.988984047	F	F	M	N	462.341463	4.246734	1.21	63.05	9149	8	0	0	0	8		
4925.8w.L	4925	B	8w	58	4.060443011	L	L	M	Y	453.757576	2.953214	1.21	63.05		8	0	0	0	8		
4925.8w.S	4925	B	8w	58	4.060443011	S	S	M	Y	280	2.128931	1.21	63.05		8	0	0	0	8		
4926.2w.F	4926	C	2w	22	3.091042453	F	F	M	N	324.5	3.418241	1.57	23.59	740	0	0	0	0	0		
4926.4w.F	4926	C	4w	27	3.295836866	F	F	M	N	415.734694	4.0193	1.18	29.48	1259	0	0	0	0	0		
4926.8w.F	4926	C	8w	54	3.988984047	F	F	M	N	744.069767	4.318926	1.26	65.77	20329	0	0	0	0	0		
4926.8w.L	4926	C	8w	58	4.060443011	L	L	M	N	316.882353	2.933895	1.26	65.77		0	0	0	0	0		
4926.8w.S	4926	C	8w	58	4.060443011	S	S	M	N	382.4	3.180613	1.26	65.77		0	0	0	0	0		
4954.2w.F	4954	B	2w	12	2.48490665	F	F	M	N	110.8	1.928991	1.41	14.06	611	0	2	0	0	2		
4954.4w.F	4954	B	4w	25	3.218875825	F	F	M	N	582.157895	3.293345	1.16	26.76	1712	0	2	0	0	2		
4954.8w.F	4954	B	8w	53	3.970291914	F	F	M	N	357.5	3.748511	1.17	62.14	10368	0	2	0	0	2		
4954.8w.L	4954	B	8w	56	4.025351691	L	L	M	N	219.076923	0.942014	1.17	62.14		0	2	0	0	2		
4954.8w.S	4954	B	8w	56	4.025351691	S	S	M	N	291.625	1.627929	1.17	62.14		0	2	0	0	2		
4955.2w.F	4955	C	2w	12	2.48490665	F	F	M	N	121.142857	1.61035	1.22	12.25	168	0	0	0	0	0		
4955.4w.F	4955	C	4w	25	3.218875825	F	F	M	N	381.883721	3.277473	0.77	17.69	965	5	1	0	0	6		
4955.8w.F	4955	C	8w	54	3.988984047	F	F	M	N	475.763158	3.454246	1.13	58.51	4873	11	15	0	0	26		
4955.8w.L	4955	C	8w	55	4.007333185	L	L	M	Y	623.058824	2.856971	1.13	58.51		11	15	0	0	26		
4955.8w.S	4955	C	8w	55	4.007333185	S	S	M	Y	296.333333	2.971338	1.13	58.51		11	15	0	0	26		
4956.2w.F	4956	A	2w	12	2.48490665	F	F	M	N	155.666667	1.747595	1.45	14.51	892	0	0	0	0	0		
4956.4w.F	4956	A	4w	25	3.218875825	F	F	M	N	420.37037	2.659012	0.89	20.41	3891	0	0	0	0	0		
4956.8w.F	4956	A	8w	54	3.988984047	F	F	M	N	615.35	4.193173	1.36	70.76	20242	0	0	0	0	0		
4956.8w.L	4956	A	8w	55	4.007333185	L	L	M	N	177.142857	2.696571	1.36	70.76	20242	0	0	0	0	0		
4956.8w.S	4956	A	8w	55	4.007333185	S	S	M	N	270.428571	2.911776	1.36	70.76	20242	0	0	0	0	0		
4970.2w.F	4970	C	2w	11	2.397895273	F	F	M	N	124.6	1.407897	1.81	16.33	388	0	0	0	0	0		
4970.4w.F	4970	C	4w	25	3.218875825	F	F	M	N	519.111111	2.846983	1.44	33.11	1945	0	0	0	0	0		
4970.8w.F	4970	C	8w	56	4.007333185	F	F	M	N	513	3.981713	1.4	73.03	23759	0	0	0	0	0		
4970.8w.L	4970	C	8w	68	4.219507705	L	L	M	N	221.24	2.948362	1.4	73.03		0	0	0	0	0		
4970.8w.S	4970	C	8w	68	4.219507705	S	S	M	N	204.066667	2.837505	1.4	73.03		0	0	0	0	0		
4971.2w.F	4971	A	2w	12	2.48490665	F	F	M	Y	168.066667	2.689886	0.36	3.63	183	8	0	0	0	8		
4971.4w.F	4971	A	4w	28	3.33220451	F	F	M	N	361.44	3.142832	1.31	32.66	4383	10	0	0	0	10		
4971.8w.F	4971	A	8w	56	4.025351691	F	F	M	N	573.782609	4.634296	1.23	66.68	22361	10	0	0	0	10		
4971.8w.L	4971	A	8w	62	4.127134385	L	L	M	Y	456.2	3.293586	1.23	66.68	22361	10	0	0	0	10		
4971.8w.S	4971	A	8w	62	4.127134385	S	S	M	Y	233.576923	3.496692	1.23	66.68	22361	10	0	0	0	10		
4973.2w.F	4973	B	2w	11	2.397895273	F	F	M	N	186.5	2.323265	0.35	3.18	402	0	0	0	0	0		
4973.4w.F	4973	B	4w	27	3.295836866	F	F	M	N	304	3.408174	1.11	27.67	2382	0	0	0	0	0		
4973.8w.F	4973	B	8w	55	4.007333185	F	F	M	N	479.418605	4.002986	1.04	54.88	28299	0	0	0	0	0		
4973.8w.L	4973	B	8w	61	4.110873864	L	L	M	N	260	1.620646	1.04	54.88		0	0	0	0	0		
4973.8w.S	4973	B	8w	61	4.110873864	S	S	M	N	237.344828	2.588802	1.04	54.88		0	0	0	0	0		
5013.1yr.F	5013	C	1yr	364	5.897153868	F	F	F	N	2007.164062	5.355949	0.81	295.59		4	0	0	0	4		
5013.2w.F	5013	C	2w	23	3.135494216	F	F	F	N	171.055556	1.745067	1.12	16.78	563	4	0	0	0	4		
5013.4w.F	5013	C	4w	28	3.33220451	F	F	F	N	233.25	2.675845	1.05	27.22	827	4	0	0	0	4		
5013.8w.F	5013	C	8w	54	3.988984047	F	F	F	N	556.216216	3.475431	1	52.16	15001	4	0	0	0	4		
5015.1yr.F	5015	B	1yr	360	5.886104031	F	F	F	N	2223.005291	5.726849	0.91	332.48		0	0	0	0	0		
5015.2w.F	5015	B	2w	19	2.944438979	F	F	F	N	320.8125	2.425924	1.39	19.5	935	0	0	0	0	0		
5015.2yr.F	5015	B	2yr	827	6.717804695	F	F	F	N	1885.660377	5.36844	0.65	543.4		0	0	0	0	0	5.82	8.34
5015.4w.F	5015	B	4w	26	3.258096538	F	F	F	N	276.894737	2.725409	0.95	21.77	1490	0	0	0	0	0		
5015.8w.F	5015	B	8w	55	4.007333185	F	F	F	N	440.045455	3.932288	1.17	62.14	12333	0	0	0	0	0		
5017.1yr.F	5017	A	1yr	369	5.910796644	F	F	F	N	1763.373134	5.788833	0.88	321.29		9	0	0	0	9		
5017.1yr.L1	5017	A	1yr	369	5.910796644	L1	L	F	Y	2441.974684	5.721008	0.88	321.29		9	0	0	0	9		
5017.1yr.L2	5017	A	1yr	370	5.913503006	L2	L	F	Y	2293.846473	5.568067	0.88	321.29		9	0	0	0	9		
5017.1yr.L3	5017	A	1yr	371	5.916202063	L3	L	F	Y	2124.748299	5.357183	0.88	321.29		9	0	0	0	9		
5017.1yr.S1	5017	A	1yr	369	5.910796644	S1	S	F	Y	2046.410042	5.756036	0.88	321.29		9	0	0	0	9		
5017.1yr.S2	5017	A	1yr	370	5.913503006	S2	S	F	Y	1327.095563	5.572986	0.88	321.29		9	0	0	0	9		
5017.1yr.S3	5017	A	1yr	371	5.916202063	S3	S	F	Y	2871.536765	6.062295	0.88	321.29		9	0	0	0	9		
5017.2w.F	5017	A	2w	13	2.564949357	F	F	F	N	287.935484	2.468451	1	9.98	870	0	0	0	0	0		
5017.2yr.F	5017	A	2yr	930	6.835184586	F	F	F	N	2018.167939	5.372917	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L1	5017	A	2yr	929	6.834108739	L1	L	F	Y	3153.811828	5.584855	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L2	5017	A	2yr	930	6.835184586	L2	L	F	Y	2243.449275	5.404917	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L3	5017	A	2yr	931	6.836259277	L3	L	F	Y	2665.207547	5.302635	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S1	5017	A	2yr	929	6.834108739	S1	S	F	Y	1568.019417	5.460573	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S2	5017	A	2yr	930	6.835184586	S2	S	F	Y	1705.198795	5.238724	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S3	5017	A	2yr	931	6.836259277	S3	S	F	Y	3158.039216	5.616867	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.4w.F	5017	A	4w	26	3.258096538	F	F	F	N	635.75	2.670199	0.6	14.51	2060	9	0	0	0	9		
5017.8w.F	5017	A	8w	53	3.970291914	F	F	F	N	816.90625	3.801507	1.38	70.31	30531	9	0	0	0	9		
5019.1yr.F	5019	C	1yr	366	5.902633333	F	F	F	N	2171	5.453115	0.91	330.21		8	0	0	0	8		
5019.1yr.L1	5019	C	1yr	366	5.902633333	L1	L	F	Y	1915.825	5.490709	0.91	330.21		8	0	0	0	8		
5019.1yr.L2	5019	C	1yr	367	5.905361848	L2	L	F	Y	1993.363322	5.770398	0.91	330.21		8	0	0	0	8		
5019.1yr.L3	5019	C	1yr	368	5.908082938	L3	L	F	Y	1908.2	5.110778	0.91	330.21		8	0	0	0	8		
5019.1yr.S1	5019	C	1yr	366	5.902633333	S1	S	F	Y	2822.549296	5.619534	0.91	330.21		8	0	0	0	8		
5019.1yr.S2	5019	C	1yr	367	5.905361848	S2	S	F	Y	2019.430493	5.82708	0.91	330.21		8	0	0	0	8		
5019.1yr.S3	5019	C	1yr	368	5.908082938	S3	S	F	Y	2494.657303	5.903938	0.91	330.21		8	0	0	0	8		
5019.2w.F	5019	C	2w	12	2.48490665	F	F	F	Y	317.1	1.987904	0.86	7.71	168	1	0	0	0	1		
5019.2yr.F	5019	C	2yr	854	6.749931194	F	F	F	N	1600.454023	5.124197	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L1	5019	C	2yr	853	6.748759547	L1	L	F	Y	2918.173745	5.984571	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L2	5019	C	2yr	854	6.749931194	L2	L	F	Y	3115.987179	5.814915	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.L3	5019	C	2yr	855	6.751101469	L3	L	F	Y	3110.388393	5.51748	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S1	5019	C	2yr	853	6.748759547	S1	S	F	Y	3123.874251	5.754048	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S2	5019	C	2yr	854	6.749931194	S2	S	F	Y	1768.506173	5.301327	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.2yr.S3	5019	C	2yr	855	6.751101469	S3	S	F	Y	2696.924528	5.294785	0.65	559.28		8	0	0	0	8	6.77	8.32
5019.4w.F	5019	C	4w	25	3.218875825	F	F	F	Y	204.5	2.982324	0.83	19.05	389	8	0	0	0	8		
5019.8w.F	5019	C	8w	55	4.007333185	F	F	F	N	387.591837	3.903886	0.91	48.08	17879	8	0	0	0	8		
5020.1yr.F	5020	A	1yr	365	5.899897354	F	F	F	N	1520.66474	5.78435	1.07	387.82		0	0	0	0	0		
5020.2w.F	5020	A	2w	15	2.708050201	F	F	F	N	218.071429	2.78902	1.01	9.07	1118	0	0	0	0	0		
5020.2yr.F	5020	A	2yr	895	6.796823718	F	F	F	N	2489.007937	5.406813	0.7	631.63		0	0	0	0	0	3.66	5.3
5020.4w.F	5020	A	4w	27	3.295836866	F	F	F	N	259.028571	2.639487	1.03	25.85	1960	0	0	0	0	0		
5020.8w.F	5020	A	8w	54	3.988984047	F	F	F	N	377.5	3.457161	1	52.16	9010	0	0	0	0	0		
5022.1yr.F	5022	B	1yr	358	5.880532986	F	F	F	N	1789.908163	5.610554	1	364.23		6	0	0	0	9		
5022.1yr.L1	5022	B	1yr	358	5.880532986	L1	L	F	Y	1972.551515	4.793186	1	364.23		6	0	0	0	9		
5022.1yr.L2	5022	B	1yr	359	5.883322388	L2	L	F	Y	1993	5.399867	1	364.23		6	0	0	0	9		
5022.1yr.L3	5022	B	1yr	360	5.886104031	L3	L	F	Y	1912.050676	5.267895	1	364.23		6	0	0	0	9		
5022.1yr.S1	5022	B	1yr	358	5.880532986	S1	S	F	Y	3276.763819	5.858237	1	364.23		6	0	0	0	9		
5022.1yr.S2	5022	B	1yr	359	5.883322388	S2	S	F	Y	3613.890459	6.132882	1	364.23		6	0	0	0	9		
5022.1yr.S3	5022	B	1yr	360	5.886104031	S3	S	F	Y	3590.446701	6.159375	1	364.23		6	0	0	0	9		
5022.2w.F	5022	B	2w	15	2.708050201	F	F	F	N	193.111111	1.333851	0.95	10.43	1117	6	0	0	0	6		
5022.2yr.F	5022	B	2yr	805	6.690842277	F	F	F	N	1808.907563	5.375268	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L1	5022	B	2yr	804	6.689599269	L1	L	F	Y	2350.56	5.859354	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L2	5022	B	2yr	805	6.690842277	L2	L	F	Y	1972.721992	5.331196	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.L3	5022	B	2yr	806	6.692083743	L3	L	F	Y	2193.2375	5.049524	0.72	583.47		6	0	0	0	9	4.43	9.5
5022.2yr.S1	5022	B	2yr	804	6.689599269	S1	S	F	Y	2080.842365	5.607993	0.72	583.47		6	0	0	0	9	4.43	9.5
