Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
4924.8w.L	4924	A	8w	58	4.060443011	L	L	M	N	31	1.518159	1.59	82.55	32842	0	0	0	0	0		
4924.8w.S	4924	A	8w	58	4.060443011	S	S	M	N	39.333333	1.900427	1.59	82.55	32842	0	0	0	0	0		
4925.8w.L	4925	B	8w	58	4.060443011	L	L	M	N	146	1.598872	1.21	63.05		8	0	0	0	8		
4925.8w.S	4925	B	8w	58	4.060443011	S	S	M	N	27	0.960297	1.21	63.05		8	0	0	0	8		
4926.8w.L	4926	C	8w	58	4.060443011	L	L	M	N	44.6	2.361873	1.26	65.77		0	0	0	0	0		
4926.8w.S	4926	C	8w	58	4.060443011	S	S	M	N	41.666667	2.378623	1.26	65.77		0	0	0	0	0		
4954.8w.L	4954	B	8w	56	4.025351691	L	L	M	N	42.25	2.845298	1.17	62.14		0	2	0	0	2		
4954.8w.S	4954	B	8w	56	4.025351691	S	S	M	N	11	1.022639	1.17	62.14		0	2	0	0	2		
4955.8w.L	4955	C	8w	55	4.007333185	L	L	M	N	32	2.279177	1.13	58.51		11	15	0	0	26		
4955.8w.S	4955	C	8w	55	4.007333185	S	S	M	N	6.5	0.127246	1.13	58.51		11	15	0	0	26		
4956.8w.L	4956	A	8w	55	4.007333185	L	L	M	N	11	0.897664	1.36	70.76	20242	0	0	0	0	0		
4956.8w.S	4956	A	8w	55	4.007333185	S	S	M	N	40.6	1.856168	1.36	70.76	20242	0	0	0	0	0		
4970.8w.L	4970	C	8w	68	4.219507705	L	L	M	N	7.25	0.484992	1.4	73.03		0	0	0	0	0		
4970.8w.S	4970	C	8w	68	4.219507705	S	S	M	N	93.5	2.652616	1.4	73.03		0	0	0	0	0		
4971.8w.L	4971	A	8w	62	4.127134385	L	L	M	N	71.25	2.278416	1.23	66.68	22361	10	0	0	0	10		
4971.8w.S	4971	A	8w	62	4.127134385	S	S	M	N	44.571429	3.124492	1.23	66.68	22361	10	0	0	0	10		
4973.8w.L	4973	B	8w	61	4.110873864	L	L	M	N	36	2.588382	1.04	54.88		0	0	0	0	0		
4973.8w.S	4973	B	8w	61	4.110873864	S	S	M	N	61.375	2.593295	1.04	54.88		0	0	0	0	0		
5013.1yr.F	5013	C	1yr	364	5.897153868	F	F	F	N	37	2.401353	0.81	295.59		4	0	0	0	4		
5015.1yr.F	5015	B	1yr	360	5.886104031	F	F	F	N	37.25	2.274255	0.91	332.48		0	0	0	0	0		
5015.2yr.F	5015	B	2yr	827	6.717804695	F	F	F	N	81.5	2.948393	0.65	543.4		0	0	0	0	0	5.82	8.34
5017.1yr.F	5017	A	1yr	369	5.910796644	F	F	F	N	19.5	1.991464	0.88	321.29		9	0	0	0	9		
5017.1yr.L1	5017	A	1yr	369	5.910796644	L1	L	F	N	49.5	2.548777	0.88	321.29		9	0	0	0	9		
5017.1yr.L2	5017	A	1yr	370	5.913503006	L2	L	F	N	49.5	2.681277	0.88	321.29		9	0	0	0	9		
5017.1yr.L3	5017	A	1yr	371	5.916202063	L3	L	F	N	46	2.792878	0.88	321.29		9	0	0	0	9		
5017.1yr.S1	5017	A	1yr	369	5.910796644	S1	S	F	N	33	2.59199	0.88	321.29		9	0	0	0	9		
5017.1yr.S2	5017	A	1yr	370	5.913503006	S2	S	F	N	45	2.723589	0.88	321.29		9	0	0	0	9		
5017.1yr.S3	5017	A	1yr	371	5.916202063	S3	S	F	N	38	2.446952	0.88	321.29		9	0	0	0	9		
