Animal	Diet	Day	Intake
4924	A	1	90
4924	A	2	125
4924	A	3	10
4924	A	4	0
4924	A	5	0
4924	A	6	22
4924	A	7	15
4924	A	8	4
4924	A	9	0
4924	A	10	21
4924	A	11	23
4924	A	12	5
4924	A	13	6
4924	A	14	25
4924	A	15	10
4924	A	16	14
4924	A	17	30
4924	A	18	66
4924	A	19	118
4924	A	20	76
4924	A	21	91
4924	A	22	145
4924	A	23	50
4924	A	24	139
4924	A	25	169
4924	A	26	202
4924	A	27	205
4924	A	28	228
4924	A	29	318
4924	A	30	275
4924	A	31	331
4924	A	32	326
4924	A	33	251
4924	A	34	303
4924	A	35	425
4924	A	36	644
4924	A	37	715
4924	A	38	786
4924	A	39	801
4924	A	40	994
4924	A	41	721
4924	A	42	670
4924	A	43	1226
4924	A	44	978
4924	A	45	1562
4924	A	46	1272
4924	A	47	1258
4924	A	48	1916
4924	A	49	2199
4924	A	50	1997
4924	A	51	2750
4924	A	52	2485
4924	A	53	2750
4924	A	54	3000
4924	A	55	3463
4924	A	56	4000
4956	A	1	91
4956	A	2	151
4956	A	3	85
4956	A	4	158
4956	A	5	3
4956	A	6	52
4956	A	7	40
4956	A	8	63
4956	A	9	15
4956	A	10	82
4956	A	11	39
4956	A	12	113
4956	A	13	128
4956	A	14	107
4956	A	15	70
4956	A	16	192
4956	A	17	319
4956	A	18	319
4956	A	19	259
4956	A	20	265
4956	A	21	269
4956	A	22	269
4956	A	23	314
4956	A	24	259
4956	A	25	229
4956	A	26	345
4956	A	27	374
4956	A	28	
4956	A	29	
4956	A	30	124
4956	A	31	350
4956	A	32	338
4956	A	33	349
4956	A	34	433
4956	A	35	653
4956	A	36	532
4956	A	37	562
4956	A	38	609
4956	A	39	501
4956	A	40	502
4956	A	41	534
4956	A	42	790
4956	A	43	
4956	A	44	983
4956	A	45	691
4956	A	46	684
4956	A	47	757
4956	A	48	993
4956	A	49	766
4956	A	50	701
4956	A	51	1010
4956	A	52	1270
4956	A	53	1500
4971	A	1	0
4971	A	2	1
4971	A	3	4
4971	A	4	2
4971	A	5	0
4971	A	6	69
4971	A	7	39
4971	A	8	0
4971	A	9	11
4971	A	10	0
4971	A	11	16
4971	A	12	41
4971	A	13	27
4971	A	14	69
4971	A	15	82
4971	A	16	201
4971	A	17	207
4971	A	18	221
4971	A	19	187
4971	A	20	182
4971	A	21	267
4971	A	22	292
4971	A	23	343
4971	A	24	337
4971	A	25	311
4971	A	26	424
4971	A	27	502
4971	A	28	548
4971	A	29	257
4971	A	30	438
4971	A	31	394
4971	A	32	404
4971	A	33	560
4971	A	34	426
4971	A	35	530
4971	A	36	389
4971	A	37	48
4971	A	38	8
4971	A	39	83
4971	A	40	220
4971	A	41	318
4971	A	42	612
4971	A	43	747
4971	A	44	670
4971	A	45	776
4971	A	46	815
4971	A	47	794
4971	A	48	730
4971	A	49	1080
4971	A	50	815
4971	A	51	646
4971	A	52	831
4971	A	53	1143
4971	A	54	1248
4971	A	55	1494
4971	A	56	1502
4971	A	57	1438
4971	A	58	1963
4971	A	59	1269
4971	A	60	2500
5017	A	1	150
5017	A	2	82
5017	A	3	0
5017	A	4	2
5017	A	5	33
5017	A	6	90
5017	A	7	117
5017	A	8	62
5017	A	9	105
5017	A	10	168
5017	A	11	25
5017	A	12	8
5017	A	13	28
5017	A	14	52
5017	A	15	113
5017	A	16	25
5017	A	17	64
5017	A	18	13
5017	A	19	74
5017	A	20	164
5017	A	21	95
5017	A	22	98
5017	A	23	159
5017	A	24	101
5017	A	25	122
5017	A	26	110
5017	A	27	250
5017	A	28	294
5017	A	29	367
5017	A	30	348
5017	A	31	252
5017	A	32	356
5017	A	33	676
5017	A	34	615
5017	A	35	550
5017	A	36	562
5017	A	37	678
5017	A	38	955
5017	A	39	732
5017	A	40	920
5017	A	41	1106
5017	A	42	1014
5017	A	43	1075
5017	A	44	1448
5017	A	45	1254
5017	A	46	1520
5017	A	47	1613
5017	A	48	1650
5017	A	49	2000
5017	A	50	1970
5017	A	51	2221
5017	A	52	2512
5017	A	53	1533
5017	A	54	1487
5017	A	55	1043
5017	A	56	2051
5017	A	57	2480
5017	A	58	2384
5017	A	59	2774
5017	A	60	2956
5017	A	61	3500
5017	A	62	3500
5020	A	1	44
5020	A	2	222
5020	A	3	99
5020	A	4	70
5020	A	5	125
5020	A	6	119
5020	A	7	90
5020	A	8	85
5020	A	9	32
5020	A	10	10
5020	A	11	35
5020	A	12	12
5020	A	13	117
5020	A	14	35
5020	A	15	23
5020	A	16	64
5020	A	17	42
5020	A	18	48
5020	A	19	38
5020	A	20	56
5020	A	21	33
5020	A	22	68
5020	A	23	125
5020	A	24	63
5020	A	25	111
5020	A	26	95
5020	A	27	99
5020	A	28	40
5020	A	29	109
5020	A	30	146
5020	A	31	114
5020	A	32	101
5020	A	33	113
5020	A	34	142
5020	A	35	78
5020	A	36	100
5020	A	37	180
5020	A	38	130
5020	A	39	91
5020	A	40	157
5020	A	41	70
5020	A	42	138
5020	A	43	134
5020	A	44	165
5020	A	45	258
5020	A	46	280
5020	A	47	196
5020	A	48	204
5020	A	49	496
5020	A	50	380
5020	A	51	623
5020	A	52	625
5020	A	53	1090
5020	A	54	890
5020	A	55	1053
5020	A	56	1241
5020	A	57	1500
5020	A	58	1500
5026	A	1	95
5026	A	2	115
5026	A	3	11
5026	A	4	0
5026	A	5	34
5026	A	6	39
5026	A	7	
5026	A	8	0
5026	A	9	50
5026	A	10	66
5026	A	11	38
5026	A	12	0
5026	A	13	3
5026	A	14	66
5026	A	15	42
5026	A	16	48
5026	A	17	39
5026	A	18	82
5026	A	19	34
5026	A	20	89
5026	A	21	35
5026	A	22	39
5026	A	23	28
5026	A	24	60
5026	A	25	71
5026	A	26	78
5026	A	27	25
5026	A	28	44
5026	A	29	60
5026	A	30	84
5026	A	31	48
5026	A	32	31
5026	A	33	
5026	A	34	115
5026	A	35	71
5026	A	36	500
5026	A	37	194
5026	A	38	15
5026	A	39	270
5026	A	40	35
5026	A	41	98
5026	A	42	179
5026	A	43	165
5026	A	44	201
5026	A	45	
5026	A	46	
5026	A	47	409
5026	A	48	360
5026	A	49	374
5026	A	50	392
5026	A	51	413
5026	A	52	529
5026	A	53	445
5026	A	54	490
5026	A	55	700
5026	A	56	1065
5026	A	57	1032
5026	A	58	1485
5026	A	59	1891
5026	A	60	2301
5026	A	61	2485
5026	A	62	3000
5031	A	1	3
5031	A	2	25
5031	A	3	6
5031	A	4	86
5031	A	5	102
5031	A	6	3
5031	A	7	288
5031	A	8	116
5031	A	9	93
5031	A	10	2
5031	A	11	0
5031	A	12	4
5031	A	13	0
5031	A	14	19
5031	A	15	17
5031	A	16	42
5031	A	17	50
5031	A	18	30
5031	A	19	33
5031	A	20	63
5031	A	21	109
5031	A	22	113
5031	A	23	88
5031	A	24	0
5031	A	25	45
5031	A	26	20
5031	A	27	65
5031	A	28	191
5031	A	29	219
5031	A	30	138
5031	A	31	
5031	A	32	
5031	A	33	
5031	A	34	168
