Animal	Diet	AgeExact	Wt	Age_norm	Wt_norm
4924	A	2	44.45	0	0
4956	A	2	36.29	0	0
4971	A	2	51.26	0	0
5017	A	2	47.63	0	0
5020	A	2	43.09	0	0
5026	A	2	44.45	0	0
5031	A	2	44.45	0	0
5037	A	2	45.81	0	0
5041	A	2	63.5	0	0
5045	A	2	45.36	0	0
5046	A	2	35.83	0	0
5049	A	2	43.09	0	0
5053	A	2	51.71	0	0
5058	A	2	35.83	0	0
5063	A	2	44	0	0
4924	A	17	67.59	15	23.13
4956	A	12	50.8	10	14.51
4971	A	12	54.88	10	3.63
5017	A	12	57.61	10	9.98
5020	A	11	52.16	9	9.07
5026	A	11	58.51	9	14.06
5031	A	12	56.7	10	12.25
5037	A	11	48.99	9	3.18
5041	A	11	73.48	9	9.98
5045	A	11	53.52	9	8.16
5046	A	11	47.17	9	11.34
5049	A	11	49.9	9	6.8
5053	A	11	52.16	9	0.45
5058	A	11	42.64	9	6.8
5063	A	14	49.9	12	5.9
4924	A	27	73.48	25	29.03
4956	A	25	56.7	23	20.41
4971	A	27	83.91	25	32.66
5017	A	26	62.14	24	14.51
5020	A	27	68.95	25	25.85
5026	A	26	70.76	24	26.31
5031	A	27	62.14	25	17.69
5037	A	25	49.9	23	4.08
5041	A	25	107.05	23	43.54
5045	A	25	87.54	23	42.18
5046	A	25	76.66	23	40.82
5049	A	26	58.51	24	15.42
5053	A	26	85.73	24	34.02
5058	A	25	61.23	23	25.4
5063	A	28	70.31	26	26.31
4924	A	54	127.01	52	82.55
4956	A	54	107.05	52	70.76
4971	A	56	117.93	54	66.68
5017	A	53	117.93	51	70.31
5020	A	54	95.25	52	52.16
5026	A	53	107.05	51	62.6
5031	A	53	114.31	51	69.85
5037	A	54	95.25	52	49.44
5041	A	54	133.81	52	70.31
5045	A	55	92.99	53	47.63
5046	A	55	103.42	53	67.59
5049	A	55	103.42	53	60.33
5053	A	55	98.43	53	46.72
