"substrate"	"units"	"1yrA"	"1yrB"	"1yrC"	"2yrA"	"2yrB"	"2yrC"	"8wA"	"8wB"	"8wC"
"1"	"Acetate"	"mF"	"a"	"a"	"a"	"a"	"a"	"a"	"b"	"ab"	"b"
"2"	"Acetate"	"mM"	"c"	"c"	"c"	"b"	"ab"	"a"	"bc"	"d"	"cd"
"3"	"branch"	"mF"	"a"	"ab"	"a"	"a"	"a"	"ab"	"c"	"abc"	"bc"
"4"	"Butyrate"	"mF"	"a"	"a"	"a"	"a"	"a"	"a"	"a"	"a"	"a"
"5"	"Butyrate"	"mM"	"c"	"c"	"c"	"b"	"b"	"a"	"a"	"c"	"bc"
"6"	"ETOH"	"mM"	"b"	"b"	"b"	"b"	"b"	"b"	"a"	"b"	"a"
"7"	"Formate"	"mM"	"b"	"b"	"b"	"b"	"b"	"b"	"b"	"a"	"b"
"8"	"Isobutyrate"	"mM"	"bc"	"bc"	"b"	"b"	"b"	"a"	"bc"	"c"	"bc"
"9"	"iVal.2MB"	"mM"	"c"	"c"	"c"	"b"	"b"	"a"	"c"	"c"	"c"
"10"	"Lactate"	"mM"	"b"	"b"	"b"	"b"	"b"	"b"	"a"	"b"	"b"
"11"	"Propionate"	"mF"	"b"	"b"	"b"	"b"	"b"	"b"	"a"	"b"	"a"
"12"	"Propionate"	"mM"	"c"	"c"	"c"	"b"	"b"	"b"	"a"	"c"	"b"
"13"	"Succinate"	"mM"	"b"	"b"	"b"	"b"	"b"	"b"	"b"	"a"	"b"
"14"	"Valerate"	"mF"	"c"	"c"	"c"	"c"	"c"	"c"	"a"	"b"	"ab"
"15"	"Valerate"	"mM"	"c"	"c"	"c"	"c"	"c"	"c"	"a"	"c"	"b"
"16"	"VFA"	"mM"	"ab"	"ab"	"ab"	"ab"	"a"	"ab"	"a"	"b"	"ab"
