Sample	Animal	Diet	AgeGroup	AgeExact	Daysln	TypeAll	Type	Sex	ScourSample	chao	shannon	ADGKG	Gain	TotalIntake	ill.scour	ill.resp	ill.ketosis	ill.mastitis	ill.all	MPE	Effic
4924.8w.L	4924	A	8w	58	4.060443011	L	L	M	N	60.25	1.584102	1.59	82.55	32842	0	0	0	0	0		
4924.8w.S	4924	A	8w	58	4.060443011	S	S	M	N	74	2.021924	1.59	82.55	32842	0	0	0	0	0		
4925.8w.L	4925	B	8w	58	4.060443011	L	L	M	N	130.857143	1.796431	1.21	63.05		8	0	0	0	8		
4925.8w.S	4925	B	8w	58	4.060443011	S	S	M	N	87.625	1.174529	1.21	63.05		8	0	0	0	8		
4926.8w.L	4926	C	8w	58	4.060443011	L	L	M	N	94.5	2.51245	1.26	65.77		0	0	0	0	0		
4926.8w.S	4926	C	8w	58	4.060443011	S	S	M	N	82.75	2.533406	1.26	65.77		0	0	0	0	0		
4954.8w.L	4954	B	8w	56	4.025351691	L	L	M	N	113.090909	3.018485	1.17	62.14		0	2	0	0	2		
4954.8w.S	4954	B	8w	56	4.025351691	S	S	M	N	53.666667	1.181689	1.17	62.14		0	2	0	0	2		
4955.8w.L	4955	C	8w	55	4.007333185	L	L	M	N	44.111111	2.335668	1.13	58.51		11	15	0	0	26		
4955.8w.S	4955	C	8w	55	4.007333185	S	S	M	N	39.5	0.249915	1.13	58.51		11	15	0	0	26		
4956.8w.L	4956	A	8w	55	4.007333185	L	L	M	N	31	0.931851	1.36	70.76	20242	0	0	0	0	0		
4956.8w.S	4956	A	8w	55	4.007333185	S	S	M	N	110	2.029071	1.36	70.76	20242	0	0	0	0	0		
4970.8w.S	4970	C	8w	68	4.219507705	S	S	M	N	100.666667	2.78432	1.4	73.03		0	0	0	0	0		
4971.8w.L	4971	A	8w	62	4.127134385	L	L	M	N	67.5	2.357211	1.23	66.68	22361	10	0	0	0	10		
4971.8w.S	4971	A	8w	62	4.127134385	S	S	M	N	153.6	3.338284	1.23	66.68	22361	10	0	0	0	10		
4973.8w.L	4973	B	8w	61	4.110873864	L	L	M	N	111	2.806221	1.04	54.88		0	0	0	0	0		
4973.8w.S	4973	B	8w	61	4.110873864	S	S	M	N	101.9	2.839674	1.04	54.88		0	0	0	0	0		
5013.1yr.F	5013	C	1yr	364	5.897153868	F	F	F	N	164.75	2.565077	0.81	295.59		4	0	0	0	4		
5015.1yr.F	5015	B	1yr	360	5.886104031	F	F	F	N	67.857143	2.358557	0.91	332.48		0	0	0	0	0		
5015.2yr.F	5015	B	2yr	827	6.717804695	F	F	F	N	597.47619	3.678248	0.65	543.4		0	0	0	0	0	5.82	8.34
5017.1yr.F	5017	A	1yr	369	5.910796644	F	F	F	N	110	2.125435	0.88	321.29		9	0	0	0	9		
5017.1yr.L1	5017	A	1yr	369	5.910796644	L1	L	F	N	58.333333	2.622492	0.88	321.29		9	0	0	0	9		
5017.1yr.L2	5017	A	1yr	370	5.913503006	L2	L	F	N	73.2	2.766269	0.88	321.29		9	0	0	0	9		
5017.1yr.L3	5017	A	1yr	371	5.916202063	L3	L	F	N	80.142857	2.931168	0.88	321.29		9	0	0	0	9		
5017.1yr.S1	5017	A	1yr	369	5.910796644	S1	S	F	N	87	2.724011	0.88	321.29		9	0	0	0	9		
5017.1yr.S2	5017	A	1yr	370	5.913503006	S2	S	F	N	74.2	2.838384	0.88	321.29		9	0	0	0	9		
5017.1yr.S3	5017	A	1yr	371	5.916202063	S3	S	F	N	63.142857	2.555013	0.88	321.29		9	0	0	0	9		
5017.2yr.F	5017	A	2yr	930	6.835184586	F	F	F	N	381.277778	3.847818	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L1	5017	A	2yr	929	6.834108739	L1	L	F	N	98.333333	1.905175	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L2	5017	A	2yr	930	6.835184586	L2	L	F	N	60.111111	2.284377	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.L3	5017	A	2yr	931	6.836259277	L3	L	F	N	54.3	2.282923	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S1	5017	A	2yr	929	6.834108739	S1	S	F	N	60.2	1.815349	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S2	5017	A	2yr	930	6.835184586	S2	S	F	N	78.333333	2.23176	0.51	475.14		9	0	0	0	9	5.18	6.23
5017.2yr.S3	5017	A	2yr	931	6.836259277	S3	S	F	N	72.25	2.00394	0.51	475.14		9	0	0	0	9	5.18	6.23
5019.1yr.F	5019	C	1yr	366	5.902633333	F	F	F	N	35.5	1.916139	0.91	330.21		8	0	0	0	8		
5019.1yr.L1	5019	C	1yr	366	5.902633333	L1	L	F	N	109.75	2.993324	0.91	330.21		8	0	0	0	8		
