"Succinate"	"Lactate"	"Formate"	"Acetate"	"Propionate"	"Isobutyrate"	"ETOH"	"Butyrate"	"iVal.2MB"	"Valerate"	"Caproate"	"VFA_total_mM"	"branch_mM"	"Acetate_mF"	"Propionate_mF"	"Butyrate_mF"	"Valerate_mF"	"branch_mF"
"Otu0001"	0.622658929119172	0.721121260965084	-0.0950765377083057	-0.176154202420218	0.187163840071481	-0.379832498968594	0.75585847478103	0.0770674635588452	-0.451395143701808	0.473414419004335	0.884469170907451	-0.027524094128159	-0.434880687224912	-0.484424056655599	0.478919237829967	0.258726484804695	0.627549346122026	-0.451395143701808
"Otu0002"	-0.264839557734002	-0.372039004722586	-0.0609962759521684	0.105948362103302	-0.0627842145797348	0.192276657150438	-0.369366337710353	0.027468093878634	0.325693113132374	-0.196200670561671	-0.411798898357061	-0.054936187757268	0.262908898552639	0.0706322414022017	-0.0627842145797348	-0.0667082279909682	-0.207972710795372	0.29822501925374
"Otu0003"	-0.608382795545004	-0.426232012891523	-0.0934127444281721	-0.100157169760033	-0.404634965830532	0.112176030131237	-0.498201303616918	-0.304477796070499	0.0921445961792301	-0.408641252620933	-0.463926000426147	-0.104163456550434	0.180282905568059	0.468735554476953	-0.492773275219361	-0.240377207424079	-0.180282905568059	0.300471509280098
"Otu0004"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Otu0005"	-0.241174028475427	-0.391678015335788	-0.199198629305982	0.454680715805567	0.303859795440793	0.3659625273557	-0.294967201087704	0.343782980243233	0.561142541945407	0.0332693206687	-0.301784700340689	-0.01996159240122	0.161910693921007	0.197397969300953	-0.241757063525887	0.00221795471124667	-0.144167056231033	0.130859327963553
"Otu0006"	-0.421353530428227	-0.436915036024259	0.0846310863904401	-0.00196001583071979	-0.245001978839974	0.111720902351028	-0.507786518342641	-0.201881630564139	0.127401028996787	-0.358682897021722	-0.516354133483215	-0.0215601741379177	0.147001187303984	0.47628384686491	-0.499804036833547	-0.213641725548457	-0.362602928683162	0.131321060658226
"Otu0007"	-0.391004821513052	-0.421107906783723	0.178960638646852	0.093653002889017	-0.22915096451568	0.269003306170581	-0.474934002562799	-0.0697415978960765	0.272988540336071	-0.424427438624694	-0.59705025139884	0.101623471219997	0.424427438624694	0.257047603674111	-0.21321002785372	-0.0976382370545071	-0.587822039409788	0.356678457811363
"Otu0008"	-0.225689058076706	-0.396375020798684	0.466100680506356	-0.0575451197882219	-0.311537372646581	0.0377019750336626	-0.3735659865823	-0.184541246217401	0.0853255224446049	-0.28772559894111	-0.376269041482809	-0.0416706039845745	0.363129549008435	0.0218274592300152	-0.0694510066409575	0.0138902013281915	-0.382972693762994	0.482188417535791
"Otu0009"	-0.322885442425662	-0.436743730963183	-0.139647364196348	0.392438524827489	0.11240701464908	0.530482227028114	-0.442784325500617	0.211009659078097	0.668525929228738	-0.203121447523776	-0.559488701103162	0.100574697317598	0.368773890164525	0.28200356306699	-0.274115351512669	-0.151848072420687	-0.376662101718847	0.266227139958347
"Otu0010"	-0.531656523149878	-0.428967219652599	0.104457989612103	-0.161279833858632	-0.479807505729431	0.0120959875393974	-0.522289948060517	-0.379007609567786	0.0483839501575897	-0.451583534804171	-0.493166395382919	-0.137087858779838	0.161279833858632	0.540287443426419	-0.552383430965816	-0.286271705099073	-0.306431684331402	0.241919750787949
"Otu0011"	-0.562790499796355	-0.375	0.0745750674016866	0.0411219809349856	-0.230283093235919	0.2837416684514	-0.44745040441012	-0.123365942804957	0.267292876077406	-0.238507489422916	-0.5625	-0.037009782841487	0.213834300861925	0.448229592191343	-0.431780799817348	-0.287853866544899	-0.291966064638397	0.365985630321371
"Otu0012"	-0.372948242285484	-0.366727340159311	0.150721813230769	-0.289948798180164	-0.408180346952658	-0.098526290643745	-0.291719638511166	-0.385660051948373	-0.115416511896958	-0.430700641956943	-0.366727340159311	-0.194237544411955	0.0703759218883893	0.340619461939804	-0.363139756944089	-0.301208945682306	-0.22238791316731	0.295578871931235
"Otu0013"	-0.449005663908008	-0.215852314776511	0.277066973467165	-0.21464446269284	-0.463180156337182	0.0429288925385681	-0.398039877375364	-0.345690555705311	-0.00225941539676674	-0.413473017608314	-0.500384911527367	0.070041877299769	0.332134063324711	0.250795109041108	-0.259832770628175	-0.151380831583372	-0.413473017608314	0.39539769443418
"Otu0014"	-0.457001195307922	-0.26638640734944	0.0501872445043645	-0.220355132175764	-0.423759869568777	-0.0266363346586089	-0.401497956034916	-0.351115320499844	0.0847519739137555	-0.472189568948066	-0.504732140241043	-0.0702230640999688	0.249412951803338	0.351115320499844	-0.375330170189488	-0.259098891679195	-0.278470771430911	0.394702049941204
