"ETOH"	"Lactate"
"Otu0001"	0.447811075519899	0.782690898130805
"Otu0002"	-0.0379868588198793	-0.516397779494322
"Otu0003"	-0.369274472937998	-0.418330013267038
"Otu0004"	NA	NA
"Otu0005"	-0.404519917477945	-0.349148624377588
"Otu0006"	-0.350324524872685	-0.491353814911995
"Otu0007"	NA	NA
"Otu0008"	-0.404519917477945	-0.349148624377588
"Otu0009"	0	-0.119522860933439
"Otu0010"	-0.369274472937998	-0.418330013267038
"Otu0011"	NA	NA
"Otu0012"	NA	NA
"Otu0013"	NA	NA
"Otu0014"	NA	NA
"Otu0015"	NA	NA
"Otu0016"	NA	NA
"Otu0017"	-0.369274472937998	-0.418330013267038
"Otu0018"	NA	NA
"Otu0019"	NA	NA
"Otu0020"	NA	NA
"Otu0021"	NA	NA
"Otu0022"	NA	NA
"Otu0023"	NA	NA
"Otu0024"	-0.123091490979333	0
"Otu0025"	NA	NA
"Otu0026"	NA	NA
"Otu0027"	NA	NA
"Otu0028"	NA	NA
"Otu0029"	NA	NA
"Otu0030"	NA	NA
"Otu0031"	NA	NA
"Otu0032"	0.492365963917331	-0.239045721866879
"Otu0033"	NA	NA
"Otu0034"	NA	NA
"Otu0035"	NA	NA
"Otu0036"	NA	NA
"Otu0037"	NA	NA
"Otu0038"	NA	NA
"Otu0039"	NA	NA
"Otu0040"	NA	NA
"Otu0041"	NA	NA
"Otu0042"	-0.224733287487747	0.130930734141595
"Otu0043"	NA	NA
"Otu0044"	NA	NA
"Otu0045"	NA	NA
"Otu0047"	NA	NA
"Otu0048"	NA	NA
"Otu0049"	NA	NA
"Otu0051"	NA	NA
"Otu0053"	NA	NA
"Otu0054"	NA	NA
"Otu0055"	-0.369274472937998	-0.418330013267038
"Otu0056"	NA	NA
"Otu0059"	NA	NA
"Otu0060"	NA	NA
"Otu0062"	NA	NA
"Otu0063"	NA	NA
"Otu0064"	NA	NA
"Otu0065"	NA	NA
"Otu0066"	NA	NA
"Otu0067"	NA	NA
"Otu0068"	NA	NA
"Otu0069"	NA	NA
"Otu0070"	-0.123091490979333	0
"Otu0072"	-0.123091490979333	0
"Otu0073"	NA	NA
"Otu0074"	NA	NA
"Otu0075"	NA	NA
"Otu0076"	NA	NA
"Otu0077"	NA	NA
"Otu0081"	NA	NA
"Otu0088"	NA	NA
"Otu0098"	NA	NA
"Otu0103"	NA	NA
"Otu0115"	NA	NA
"Otu0117"	NA	NA
"Otu0120"	NA	NA
"Otu0130"	NA	NA
"Otu0132"	NA	NA
"Otu0134"	NA	NA
"Otu0141"	NA	NA
"Otu0204"	NA	NA
"Otu0223"	NA	NA
