"ETOH"	"Lactate"
"Otu00001"	0.204836622599676	-0.364646449272488
"Otu00002"	0.113960576459638	-0.368855556781659
"Otu00003"	-0.258603273534094	-0.627764820574344
"Otu00004"	-0.17069718549973	-0.629843866925206
"Otu00005"	-0.53181602347831	-0.516397779494322
"Otu00006"	0.0379868588198793	-0.44262666813799
"Otu00007"	-0.404519917477945	0.305505046330389
"Otu00008"	-0.314626602482846	-0.261861468283191
"Otu00009"	-0.123091490979333	0
"Otu00010"	-0.404519917477945	-0.349148624377588
"Otu00011"	NA	NA
"Otu00012"	0.224733287487747	-0.130930734141595
"Otu00013"	-0.123091490979333	0
"Otu00014"	-0.369274472937998	-0.418330013267038
"Otu00015"	-0.123091490979333	0
"Otu00016"	0.0379868588198793	-0.295084445425327
"Otu00017"	NA	NA
"Otu00018"	NA	NA
"Otu00019"	0.492365963917331	-0.239045721866879
"Otu00020"	-0.123091490979333	0
"Otu00021"	-0.123091490979333	0
"Otu00022"	-0.123091490979333	0
"Otu00023"	NA	NA
"Otu00024"	-0.404519917477945	-0.349148624377588
"Otu00025"	0.492365963917331	-0.239045721866879
"Otu00026"	NA	NA
"Otu00027"	NA	NA
"Otu00028"	-0.123091490979333	0
"Otu00029"	NA	NA
"Otu00030"	NA	NA
"Otu00031"	NA	NA
"Otu00032"	0.492365963917331	-0.239045721866879
"Otu00033"	NA	NA
"Otu00034"	NA	NA
"Otu00035"	-0.369274472937998	-0.418330013267038
"Otu00036"	NA	NA
"Otu00037"	0.369274472937998	0.478091443733757
"Otu00038"	NA	NA
"Otu00039"	NA	NA
"Otu00040"	0	-0.438250490089278
"Otu00041"	NA	NA
"Otu00042"	-0.314626602482846	-0.261861468283191
"Otu00043"	-0.123091490979333	0
"Otu00044"	NA	NA
"Otu00045"	NA	NA
"Otu00046"	0.273115496799568	0.198898063239539
"Otu00047"	NA	NA
"Otu00048"	NA	NA
"Otu00049"	NA	NA
"Otu00050"	NA	NA
"Otu00051"	0.492365963917331	-0.239045721866879
"Otu00052"	NA	NA
"Otu00053"	NA	NA
"Otu00054"	NA	NA
"Otu00055"	-0.123091490979333	0
"Otu00056"	-0.369274472937998	-0.418330013267038
"Otu00057"	NA	NA
"Otu00058"	0.0449466574975495	0.130930734141595
"Otu00059"	NA	NA
"Otu00060"	-0.123091490979333	0
"Otu00061"	0.0449466574975495	-0.523722936566382
"Otu00062"	NA	NA
"Otu00063"	-0.369274472937998	-0.418330013267038
"Otu00064"	0	-0.119522860933439
"Otu00065"	NA	NA
"Otu00066"	-0.369274472937998	0.358568582800318
"Otu00067"	NA	NA
"Otu00068"	NA	NA
"Otu00069"	-0.123091490979333	0
"Otu00070"	NA	NA
"Otu00071"	NA	NA
"Otu00072"	NA	NA
"Otu00073"	NA	NA
"Otu00074"	NA	NA
"Otu00075"	NA	NA
"Otu00076"	0.314626602482846	0.218217890235992
"Otu00077"	NA	NA
"Otu00078"	NA	NA
"Otu00079"	0.492365963917331	-0.239045721866879
"Otu00080"	NA	NA
"Otu00081"	NA	NA
"Otu00082"	NA	NA
"Otu00083"	NA	NA
"Otu00084"	NA	NA
"Otu00085"	NA	NA
"Otu00086"	NA	NA
"Otu00087"	NA	NA
"Otu00088"	NA	NA
"Otu00089"	NA	NA
"Otu00090"	NA	NA
"Otu00091"	NA	NA
"Otu00092"	NA	NA
"Otu00093"	NA	NA
"Otu00094"	NA	NA
"Otu00095"	NA	NA
"Otu00096"	NA	NA
"Otu00097"	NA	NA
"Otu00098"	NA	NA
"Otu00099"	NA	NA
"Otu00100"	NA	NA
"Otu00101"	NA	NA
"Otu00102"	NA	NA
"Otu00103"	NA	NA
"Otu00104"	NA	NA
"Otu00105"	NA	NA
"Otu00106"	NA	NA
"Otu00107"	NA	NA
"Otu00108"	NA	NA
"Otu00109"	NA	NA
"Otu00110"	NA	NA
"Otu00111"	NA	NA
"Otu00112"	NA	NA
"Otu00113"	NA	NA
"Otu00114"	NA	NA
"Otu00115"	NA	NA
"Otu00116"	NA	NA
"Otu00117"	NA	NA
"Otu00118"	NA	NA
"Otu00119"	NA	NA
"Otu00120"	NA	NA
"Otu00121"	NA	NA
"Otu00122"	NA	NA
"Otu00123"	NA	NA
"Otu00124"	NA	NA
"Otu00125"	NA	NA
"Otu00126"	NA	NA
"Otu00127"	NA	NA
"Otu00128"	NA	NA
"Otu00129"	NA	NA
"Otu00130"	NA	NA
"Otu00131"	NA	NA
"Otu00132"	NA	NA
"Otu00133"	NA	NA
"Otu00134"	NA	NA
"Otu00135"	NA	NA
"Otu00136"	NA	NA
"Otu00137"	NA	NA
"Otu00139"	NA	NA
"Otu00140"	NA	NA
"Otu00141"	NA	NA
"Otu00142"	NA	NA
"Otu00143"	NA	NA
"Otu00144"	NA	NA
"Otu00145"	0.224733287487747	0.305505046330389
"Otu00146"	NA	NA
"Otu00147"	NA	NA
"Otu00148"	NA	NA
"Otu00149"	NA	NA
"Otu00150"	NA	NA
"Otu00152"	NA	NA
"Otu00153"	NA	NA
"Otu00154"	NA	NA
"Otu00155"	NA	NA
"Otu00156"	NA	NA
"Otu00157"	NA	NA
"Otu00158"	NA	NA
"Otu00159"	NA	NA
"Otu00160"	NA	NA
"Otu00161"	NA	NA
"Otu00162"	NA	NA
"Otu00163"	NA	NA
"Otu00164"	NA	NA
"Otu00166"	NA	NA
"Otu00167"	NA	NA
"Otu00168"	NA	NA
"Otu00169"	NA	NA
"Otu00171"	NA	NA
"Otu00172"	NA	NA
"Otu00173"	NA	NA
"Otu00174"	NA	NA
