"OTU"	"amplicon"	"Type"	"variable"	"filetype"	"SCOA"	"Kendall"	"max_perc"
"Otu000275"	"B"	"L"	"OTUs"	"txt"	"Succinate"	0.709270218921434	0.010928583376123
"Otu000337"	"B"	"L"	"OTUs"	"txt"	"Succinate"	0.740086670500816	0.0390842848222416
"Otu000974"	"B"	"L"	"OTUs"	"txt"	"Succinate"	0.7473070282618	0.00367066922556805
"Otu002134"	"B"	"L"	"OTUs"	"txt"	"Succinate"	0.703526470681448	0.000166848601162184
"Otu0001"	"A"	"L"	"OTUs"	"txt"	"Lactate"	0.721121260965084	0.376282782212087
"Otu0001"	"A"	"L"	"OTUs8w"	"txt"	"Lactate"	0.782690898130805	0.376282782212087
"Otu000172"	"B"	"L"	"OTUs"	"txt"	"Lactate"	0.702897812250913	0.00175191031220293
"Otu000541"	"B"	"L"	"OTUs"	"txt"	"Lactate"	0.733913361730884	0.0062568225435819
"Otu002159"	"B"	"L"	"OTUs"	"txt"	"Lactate"	0.713932893461874	0.00020856075145273
"Otu001634"	"B"	"L"	"OTUs"	"txt"	"Formate"	0.748559172956451	0.00179362246249348
"Otu006048"	"B"	"L"	"OTUs"	"txt"	"Formate"	0.753716682140885	8.3424300581092e-05
"Otu006125"	"B"	"L"	"OTUs"	"txt"	"Formate"	0.764826390425834	0.000125136450871638
"Otu0001"	"A"	"L"	"OTUs"	"txt"	"ETOH"	0.75585847478103	0.376282782212087
"Otu000080"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.740843382975317	0.0494706102445875
"Otu000102"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.705503812244527	0.00909324876333902
"Otu000167"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.73857292590574	0.0100526282200216
"Otu000275"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.733913361730884	0.010928583376123
"Otu000337"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.788238285554064	0.0390842848222416
"Otu000354"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.728021884107087	0.0155586320583737
"Otu000534"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.705761474299811	0.00838414220839974
"Otu000541"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.728813559322034	0.0062568225435819
"Otu000866"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.708320205926877	0.00258615331801385
"Otu000974"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.798215985371205	0.00367066922556805
"Otu001279"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.708416687016944	0.00145992526016911
"Otu001862"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.834654320227813	0.000750818705229828
"Otu002007"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.849327657351089	0.000917667306392012
"Otu002078"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.729371370614782	0.00258615331801385
"Otu005663"	"B"	"L"	"OTUs"	"txt"	"ETOH"	0.795940737272864	8.3424300581092e-05
"Otu000080"	"B"	"L"	"OTUs8w"	"txt"	"ETOH"	0.725323566482074	0.0494706102445875
"Otu005663"	"B"	"L"	"OTUs8w"	"txt"	"ETOH"	0.710669054518701	8.3424300581092e-05
"Otu00046"	"F"	"L"	"OTUs"	"txt"	"ETOH"	0.707728672613372	0.411514970951884
"Otu000092"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.713959051194802	0.00342039632382477
"Otu000126"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.716092175635939	0.00329525987295313
"Otu000244"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.725759252363846	0.00116794020813529
"Otu000318"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.72760429086939	0.00129307665900693
"Otu000397"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.726971554732967	0.0010010916069731
"Otu000515"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.731022925561192	0.000583970104067644
"Otu000884"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.712037337151058	0.000458833653196006
"Otu000912"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.717576927358914	0.00020856075145273
"Otu001097"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.744889071388215	0.000333697202324368
"Otu001257"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.72691752689634	0.000166848601162184
"Otu001465"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.700516952955038	0.000333697202324368
"Otu001584"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.732386673960271	0.000166848601162184
"Otu001680"	"B"	"L"	"OTUs"	"txt"	"iVal.2MB"	0.737420259348314	0.000166848601162184
"Otu0001"	"A"	"L"	"OTUs"	"txt"	"Caproate"	0.884469170907451	0.376282782212087
"Otu000039"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.882204474786426	0.092976382997627
"Otu000079"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.813492063492063	0.0205223779429486
"Otu000080"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.808255642658577	0.0494706102445875
"Otu000102"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.873015873015873	0.00909324876333902
"Otu000132"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.800202310532383	0.0098857796188594
"Otu000146"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.817943751494157	0.0062568225435819
"Otu000167"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.800258481191581	0.0100526282200216
"Otu000169"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.826033187630902	0.0232336677118341
"Otu000170"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.733303163766642	0.00312841127179095
"Otu000221"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.773730575737716	0.014974661954306
"Otu000259"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.785216250180175	0.00246101686714221
"Otu000275"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.734126984126984	0.010928583376123
"Otu000290"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.714973662073313	0.0101777646708932
"Otu000322"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.827792287432172	0.00062568225435819
"Otu000342"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.721310062521682	0.00688250479794009
"Otu000354"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.800258481191581	0.0155586320583737
"Otu000426"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.763605946569797	0.000291985052033822
"Otu000541"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.733913361730884	0.0062568225435819
"Otu000547"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.738095238095238	0.00654880759561572
"Otu000863"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.867752035491049	0.00212731966481785
"Otu000866"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.884469170907451	0.00258615331801385
"Otu000888"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.702756888167767	0.000458833653196006
"Otu000974"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.840393836170955	0.00367066922556805
"Otu001145"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.815533617294018	0.00304498697120986
"Otu001279"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.781858942109297	0.00145992526016911
"Otu001294"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.815533617294018	0.00216903181510839
"Otu001484"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.800258481191581	0.000667394404648736
"Otu002052"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.791286159899232	0.000542257953777098
"Otu002078"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.744988731579629	0.00258615331801385
"Otu002134"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.761055021579526	0.000166848601162184
"Otu002159"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.713932893461874	0.00020856075145273
"Otu002740"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.771015897903212	0.0010010916069731
"Otu002952"	"B"	"L"	"OTUs"	"txt"	"Caproate"	0.79933020138008	0.00020856075145273
