"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A8w_B8w",0.496113823684323,"Otu0001",0.04630159491511,0.0826276429582654,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.993265993265993","0.00583182090090528","0.205353535353535","0.329566518928939"
"2","A8w_B8w",0.163133994789961,"Otu0008",0.121335250358482,0.188887145061609,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.257811447811448","0.227427923068248"
"3","A8w_B8w",0.148720978234566,"Otu0003",0.317310507862915,0.415818844632298,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.235690235690236","0.408227463063372"
"4","A8w_B8w",0.118400261925437,"Otu0002",0.121335250358482,0.188887145061609,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.186734006734007","0.306104029545051"
"5","A8w_B8w",0.02337043943686,"Otu0010",0.317310507862915,0.415818844632298,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.037037037037037","0.0641500299099584"
"6","A8w_B8w",0.02265512676337,"Otu0006",0.34577858615116,0.450435606291867,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.00336700336700337","0.00583182090090531","0.037003367003367","0.055656504549393"
"7","A8w_B8w",0.014872097823457,"Otu0005",0.121335250358482,0.188887145061609,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0235690235690236","0.0254203179638746"
"8","A8w_C8w",0.484236872936415,"Otu0001",0.368688269361781,0.464984230672767,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.993265993265993","0.00583182090090528","0.949151377722806","0.0510212757613738"
"9","A8w_C8w",0.284694855682181,"Otu0002",0.317310507862915,0.415818844632298,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0306122448979592","0.0530219634970064"
"10","A8w_C8w",0.0944190009585689,"Otu0009",0.317310507862915,0.415818844632298,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0101010101010101","0.0174954627027159"
"11","A8w_C8w",0.0734902545532,"Otu0042",0.79625341473764,0.844336350410202,"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Methanomassiliicoccaceae;g__vadinCA11;s__;","0.00336700336700337","0.00583182090090531","0.00673400673400673","0.0116636418018106"
"12","A8w_C8w",0.031632761742465,"Otu0032",0.317310507862915,0.415818844632298,"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Methanomassiliicoccaceae;g__vadinCA11;s__;","0","0","0.00340136054421769","0.00589132927744516"
"13","A8w_C8w",0.03152625412717,"Otu0003",NA,NA,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0","0"
"14","A8w_A1yr",0.50260211341516,"Otu0001",0.000198402404585972,0.00175437119826334,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.993265993265993","0.00583182090090528","0","0"
"15","A8w_A1yr",0.090683354132326,"Otu0006",0.00912313659987989,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0.00336700336700337","0.00583182090090531","0.185702391772201","0.119173276465503"
"16","A8w_A1yr",0.07036641456529,"Otu0003",0.0088134015819216,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.141677308466969","0.0511621427141586"
"17","A8w_A1yr",0.0637978649841989,"Otu0007",0.00893665257079424,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.128094173504441","0.10185358097071"
"18","A8w_A1yr",0.06221510402968,"Otu0008",0.0088134015819216,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.125160336303758","0.158611506342068"
"19","A8w_A1yr",0.0421662083777591,"Otu0011",0.00875209859892433,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0847821597769398","0.067359997724006"
"20","A8w_A1yr",0.041642709699934,"Otu0002",0.00701458388208161,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0835326619082411","0.097666089357446"
"21","A8w_A1yr",0.03367602940174,"Otu0010",0.00838881647312957,0.021190777605012,"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__;","0","0","0.0677753082136737","0.0305319570432675"
