"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A8w_B8w",0.277368696814619,"Otu000004",0.0495346134356268,0.0704626112093415,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__ruminicola;","0.000371389835099904","0.000232140435712351","0.513363804177363","0.349341727746664"
"2","A8w_B8w",0.080449255600263,"Otu000023",0.0495346134356268,0.0704626112093415,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.148836013643222","0.128566937976281","0.000297221009630521","0.000422041582925001"
"3","A8w_B8w",0.059441204348038,"Otu000057",0.121335250358482,0.162242563336485,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.109822487018655","0.189929140103321","0","0"
"4","A8w_B8w",0.055833356009953,"Otu000002",0.827259346562712,0.85276954667698,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__;s__;","0.053892806879321","0.0784632046754431","0.0896275444596601","0.147845270783977"
"5","A8w_B8w",0.049111581054199,"Otu000073",0.126630457947616,0.167409757964645,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio;s__;","0.0125728061675444","0.020624038082361","0.0960574931842265","0.121640846173771"
"6","A8w_B8w",0.047022902821874,"Otu000089",0.486674139509296,0.562379005655186,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii;","0.0665553536171733","0.115180709839333","0.0609199242677358","0.105516404024967"
"7","A8w_B8w",0.038234597232802,"Otu000080",0.275233524074834,0.34533321519309,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Succiniclasticum;s__;","0.0715606749113682","0.0661330206726162","0.0016351990434887","0.00145373814118976"
"8","A8w_B8w",0.023869151174156,"Otu000123",0.79625341473764,0.850791319856656,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.0440237564959169","0.0762513829909684","0.000148627057555828","0.000257429615066158"
"9","A8w_B8w",0.0144608769233809,"Otu000235",0.816639414940749,0.85276954667698,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5;g__;s__;","0.0264291017074981","0.0457765469557922","0.000817523520204882","0.00132044361896586"
"10","A8w_B8w",0.0129263447986341,"Otu000068",0.816639414940749,0.85276954667698,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.0238307349665924","0.0412760437438463","0.000111619700462526","0.000111694479055467"
"11","A8w_B8w",0.012546502117518,"Otu000079",0.0495346134356268,0.0704626112093415,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Acidaminococcus;s__;","0.0282530567032465","0.00998641686549576","0.00508902008011717","0.00518594401490855"
"12","A8w_B8w",0.012366494316491,"Otu000217",0.0369039536137181,0.0583481428757435,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.0228397753619167","0.0169679794040923","0","0"
"13","A8w_B8w",0.011355133432554,"Otu000039",0.0495346134356268,0.0704626112093415,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri;","0.021294633466091","0.0262428135914785","0.000334146035651533","0.000485432050878124"
"14","A8w_B8w",0.01089463133247,"Otu000354",0.04630159491511,0.0677160825633484,"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__;","0.0202996136571633","0.0203636380856034","0.000185783821944785","0.000321787018832697"
"15","A8w_B8w",0.010170863085284,"Otu000221",0.0495346134356268,0.0704626112093415,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.0194821264302276","0.0187144973174975","0.00070545732837758","0.00112654287918357"
"16","A8w_C8w",0.0814425965294565,"Otu000023",0.827259346562712,0.85276954667698,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.148836013643222","0.128566937976281","0.140265798457644","0.128906043073843"
"17","A8w_C8w",0.0781017304286505,"Otu000051",0.79625341473764,0.850791319856656,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","3.71650499869922e-05","6.43717548433076e-05","0.112124921182449","0.194206060282657"
"18","A8w_C8w",0.076402996277573,"Otu000057",0.121335250358482,0.162242563336485,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;","0.109822487018655","0.189929140103321","0","0"
