"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","C1yr_B1yr",0.10704789936298,"Otu00001",0.370219406463533,0.509257332484851,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.15595770299527","0.116262702443229","0.198418259221733","0.0869447135855847"
"2","C1yr_B1yr",0.098541852473859,"Otu00007",0.111960676099699,0.249758431299329,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.0910251446491425","0.0661883439841704","0.160610208986834","0.113642112176959"
"3","C1yr_B1yr",0.073461464253071,"Otu00002",0.0493003535956828,0.133278074551041,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.109701933899796","0.0705690743383171","0.158624766795941","0.0546118514296007"
"4","C1yr_B1yr",0.072605769241791,"Otu00008",0.949823066900291,0.971133199811515,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Orpinomyces;unclassified;","0.0677648719299513","0.12742114534939","0.0337156116118501","0.055185038562809"
"5","C1yr_B1yr",0.044918242689234,"Otu00023",0.422161675724684,0.555363525079974,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Orpinomyces;unclassified;","0.0410413481477592","0.085495961033353","0.0213827264355026","0.0301212980322401"
"6","C1yr_B1yr",0.040166091658514,"Otu00013",0.509588638893604,0.632524419482722,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;unclassified;unclassified;","0.0355740649398498","0.0568560039918539","0.0353477116723605","0.0342060279121034"
"7","C1yr_B1yr",0.039140914860289,"Otu00018",1,1,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Orpinomyces;s__Orpinomyces_sp_2_SSD_2011;","0.0377973824983131","0.0875452309915959","0.0117531010860625","0.0180604182327229"
"8","C1yr_B1yr",0.037935790761124,"Otu00005",0.953472170045263,0.971749591835268,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Piromyces;s__Piromyces_sp_I_GRL_10;","0.0372101418772049","0.045265455945897","0.0328583080591002","0.0405905601655639"
"9","C1yr_B1yr",0.033505555233151,"Otu00010",0.269510557538439,0.423516590417548,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;unclassified;unclassified;","0.0297882729709996","0.0294671257912937","0.046927612013663","0.0413852035545996"
"10","C1yr_B1yr",0.024601134107279,"Otu00003",0.384192636776068,0.517120046968632,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;unclassified;unclassified;","0.02803329073821","0.0307000627544957","0.0332530031753614","0.0170464798342754"
"11","C1yr_B1yr",0.023320433263997,"Otu00004",0.218513526033515,0.399898849483755,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.020432137354153","0.0287984886605163","0.0267902473919025","0.0228648446402025"
