"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A8w_B8w",0.13359683391258,"Otu00037",0.317310507862915,0.393300726574422,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.259408602150538","0.449308878845152","0","0"
"2","A8w_B8w",0.103326094160498,"Otu00046",0.121335250358482,0.183319135650093,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.20097623089983","0.284344431130529","0","0"
"3","A8w_B8w",0.10292598584522,"Otu00014",0.317310507862915,0.393300726574422,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;unclassified;unclassified;","0","0","0.209563994374121","0.362975485693056"
"4","A8w_B8w",0.045780683845758,"Otu00076",0.317310507862915,0.393300726574422,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.0890688259109312","0.15427173184824","0","0"
"5","A8w_B8w",0.044393390395885,"Otu00066",0.317310507862915,0.393300726574422,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;unclassified;","0.0863697705802969","0.149596830883142","0","0"
"6","A8w_B8w",0.039537863321336,"Otu00058",0.317310507862915,0.393300726574422,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Piromyces;s__Piromyces_sp_I_GRL_10;","0.0769230769230769","0.133234677505298","0","0"
"7","A8w_B8w",0.036995125414888,"Otu00007",0.79625341473764,0.827584960229351,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.0701754385964912","0.121547425092553","0.0056980056980057","0.00986923537076283"
"8","A8w_B8w",0.035387434112685,"Otu00003",0.0338948535246893,0.0813010044151822,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;unclassified;unclassified;","0","0","0.0723899934241976","0.0371133029809229"
"9","A8w_B8w",0.033988494927493,"Otu00061",0.317310507862915,0.393300726574422,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0","0","0.0695035460992908","0.120383673150177"
"10","A8w_B8w",0.0249711391304019,"Otu00035",0.317310507862915,0.393300726574422,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0","0","0.051063829787234","0.0884451476205384"
"11","A8w_B8w",0.023632850642767,"Otu00012",0.317310507862915,0.393300726574422,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;unclassified;","0","0","0.0484330484330484","0.0838885006514841"
