"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","A8w_B8w",0.135069480971306,"Otu00014",0.317310507862915,0.405254244124547,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;unclassified;unclassified;","0","0","0.256944444444444","0.445040832500337"
"2","A8w_B8w",0.105904556117077,"Otu00012",0.79625341473764,0.820309409140589,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;unclassified;","0.12448132780083","0.215607984344674","0.159059474412172","0.275499091107083"
"3","A8w_B8w",0.084322730978133,"Otu00002",0.79625341473764,0.820309409140589,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.0235131396957123","0.0407259525984383","0.152143845089903","0.263520869754601"
"4","A8w_B8w",0.078684026966848,"Otu00046",0.0369039536137181,0.0808103645242617,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.147932396889101","0.180204167282288","0","0"
"5","A8w_B8w",0.060237776793851,"Otu00001",0.121335250358482,0.183482573712826,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0","0","0.115307176497365","0.196135394934877"
"6","A8w_B8w",0.05637416786733,"Otu00037",0.317310507862915,0.405254244124547,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.106500691562932","0.184464608828221","0","0"
"7","A8w_B8w",0.037834558801905,"Otu00103",0.317310507862915,0.405254244124547,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;s__Caecomyces_communis;","0.0710382513661202","0.123041860646969","0","0"
"8","A8w_B8w",0.034196620455568,"Otu00076",0.317310507862915,0.405254244124547,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.064207650273224","0.111210912507838","0","0"
"9","A8w_B8w",0.024944422496518,"Otu00202",0.317310507862915,0.405254244124547,"k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;","0.0472222222222222","0.081791288135197","0","0"
"10","A8w_B8w",0.023477103526135,"Otu00066",0.317310507862915,0.405254244124547,"k__Fungi;p__Chytridiomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Caecomyces;unclassified;","0.0444444444444444","0.0769800358919501","0","0"
