"","Comparison","SIMPER","OTU"
"1","A2w_A4w",0.397953061459268,"Otu0001"
"2","A2w_A4w",0.167635805533947,"Otu0003"
"3","A2w_A4w",0.115578536955683,"Otu0017"
"4","A2w_A4w",0.114758128526852,"Otu0005"
"5","A2w_A4w",0.110400108830719,"Otu0002"
"6","A2w_A4w",0.021336237243143,"Otu0008"
"7","A2w_A4w",0.018522301205954,"Otu0130"
"8","A2w_A4w",0.010723868176167,"Otu0039"
"84","A2w_A8w",0.47763191725026,"Otu0001"
"85","A2w_A8w",0.196710013510867,"Otu0003"
"86","A2w_A8w",0.117857992831251,"Otu0002"
"87","A2w_A8w",0.096135090422143,"Otu0017"
"88","A2w_A8w",0.028984151167183,"Otu0005"
"89","A2w_A8w",0.0260367297667821,"Otu0130"
"90","A2w_A8w",0.016665381370408,"Otu0039"
"91","A2w_A8w",0.013539099478726,"Otu0021"
"92","A2w_A8w",0.013539099478727,"Otu0027"
"167","A2w_B2w",0.378347048764443,"Otu0001"
"168","A2w_B2w",0.231512671547884,"Otu0003"
"169","A2w_B2w",0.140640379085371,"Otu0002"
"170","A2w_B2w",0.062703595345278,"Otu0005"
"171","A2w_B2w",0.053480324486907,"Otu0017"
"172","A2w_B2w",0.036910857322826,"Otu0008"
"173","A2w_B2w",0.017969070075564,"Otu0027"
"174","A2w_B2w",0.014903051977987,"Otu0130"
"175","A2w_B2w",0.0134830272564309,"Otu0010"
"176","A2w_B2w",0.0108753539295241,"Otu0088"
"250","A2w_B4w",0.378674626384642,"Otu0001"
"251","A2w_B4w",0.203496920637397,"Otu0003"
"252","A2w_B4w",0.10479693453945,"Otu0002"
"253","A2w_B4w",0.0675132537240609,"Otu0017"
"254","A2w_B4w",0.045329734089676,"Otu0005"
"255","A2w_B4w",0.042436554832304,"Otu0008"
"256","A2w_B4w",0.029988498748162,"Otu0012"
"257","A2w_B4w",0.025461932899382,"Otu0010"
"258","A2w_B4w",0.016274759757431,"Otu0130"
"259","A2w_B4w",0.014453932051411,"Otu0009"
"260","A2w_B4w",0.014145518277435,"Otu0074"
"333","A2w_B8w",0.354629031849444,"Otu0001"
"334","A2w_B8w",0.164014890187754,"Otu0002"
