"","Comparison","SIMPER","OTU"
"1","A8w_B8w",0.496113823684323,"Otu0001"
"2","A8w_B8w",0.163133994789961,"Otu0008"
"3","A8w_B8w",0.148720978234566,"Otu0003"
"4","A8w_B8w",0.118400261925437,"Otu0002"
"5","A8w_B8w",0.02337043943686,"Otu0010"
"6","A8w_B8w",0.02265512676337,"Otu0006"
"7","A8w_B8w",0.014872097823457,"Otu0005"
"84","A8w_C8w",0.484236872936415,"Otu0001"
"85","A8w_C8w",0.284694855682181,"Otu0002"
"86","A8w_C8w",0.0944190009585689,"Otu0009"
"87","A8w_C8w",0.0734902545532,"Otu0042"
"88","A8w_C8w",0.031632761742465,"Otu0032"
"89","A8w_C8w",0.03152625412717,"Otu0003"
"167","A8w_A1yr",0.50260211341516,"Otu0001"
"168","A8w_A1yr",0.090683354132326,"Otu0006"
"169","A8w_A1yr",0.07036641456529,"Otu0003"
"170","A8w_A1yr",0.0637978649841989,"Otu0007"
"171","A8w_A1yr",0.06221510402968,"Otu0008"
"172","A8w_A1yr",0.0421662083777591,"Otu0011"
"173","A8w_A1yr",0.041642709699934,"Otu0002"
"174","A8w_A1yr",0.03367602940174,"Otu0010"
"175","A8w_A1yr",0.011526212564945,"Otu0015"
"176","A8w_A1yr",0.0102263915059499,"Otu0013"
"250","A8w_A2yr",0.503864499089307,"Otu0001"
"251","A8w_A2yr",0.104622801850404,"Otu0002"
"252","A8w_A2yr",0.098160500687588,"Otu0009"
"253","A8w_A2yr",0.074731195056163,"Otu0007"
"254","A8w_A2yr",0.039714775981177,"Otu0003"
"255","A8w_A2yr",0.0311600457736,"Otu0005"
"256","A8w_A2yr",0.023891969860686,"Otu0010"
"257","A8w_A2yr",0.02136317345128,"Otu0006"
"258","A8w_A2yr",0.021340765552685,"Otu0011"
"259","A8w_A2yr",0.016660755883124,"Otu0008"
"260","A8w_A2yr",0.015376380280952,"Otu0020"
"333","A8w_C1yr",0.502137463094871,"Otu0001"
"334","A8w_C1yr",0.0889523307544451,"Otu0007"
"335","A8w_C1yr",0.074087146829667,"Otu0003"
"336","A8w_C1yr",0.063847906893576,"Otu0002"
"337","A8w_C1yr",0.0579192578185279,"Otu0006"
"338","A8w_C1yr",0.0445507838525301,"Otu0008"
"339","A8w_C1yr",0.032789287175008,"Otu0011"
"340","A8w_C1yr",0.027637413660511,"Otu0009"
"341","A8w_C1yr",0.025954677508505,"Otu0010"
"342","A8w_C1yr",0.0148927864574331,"Otu0013"
"343","A8w_C1yr",0.011912938236608,"Otu0015"
"416","A8w_C2yr",0.503731512889185,"Otu0001"
"417","A8w_C2yr",0.081416210212113,"Otu0006"
"418","A8w_C2yr",0.0658664570749,"Otu0007"
"419","A8w_C2yr",0.064792405715168,"Otu0002"
"420","A8w_C2yr",0.05535099502994,"Otu0005"
"421","A8w_C2yr",0.054184572407473,"Otu0009"
"422","A8w_C2yr",0.0316589200758359,"Otu0003"
"423","A8w_C2yr",0.028251279644794,"Otu0011"
"424","A8w_C2yr",0.025643596487207,"Otu0008"
"425","A8w_C2yr",0.015330715345374,"Otu0020"
"426","A8w_C2yr",0.012388857255541,"Otu0010"
"427","A8w_C2yr",0.011081114332902,"Otu0016"
"499","A8w_B1yr",0.501306586580783,"Otu0001"
"500","A8w_B1yr",0.097822623719543,"Otu0006"
"501","A8w_B1yr",0.074718499923013,"Otu0008"
"502","A8w_B1yr",0.0612217270233409,"Otu0003"
"503","A8w_B1yr",0.0467699769411231,"Otu0007"
"504","A8w_B1yr",0.044642150198357,"Otu0002"
"505","A8w_B1yr",0.0360651983441119,"Otu0010"
"506","A8w_B1yr",0.032208272438297,"Otu0011"
"507","A8w_B1yr",0.017830075652597,"Otu0009"
"508","A8w_B1yr",0.01105139593083,"Otu0013"
"509","A8w_B1yr",0.0106097531899979,"Otu0018"
"510","A8w_B1yr",0.010180840273151,"Otu0015"
"582","A8w_B2yr",0.503954147513677,"Otu0001"
"583","A8w_B2yr",0.080752416085449,"Otu0006"
"584","A8w_B2yr",0.073567421366492,"Otu0005"
"585","A8w_B2yr",0.070269651040852,"Otu0002"
"586","A8w_B2yr",0.067928325868834,"Otu0007"
"587","A8w_B2yr",0.056830566831226,"Otu0009"
"588","A8w_B2yr",0.032507252869291,"Otu0003"
"589","A8w_B2yr",0.017371269292524,"Otu0016"
"590","A8w_B2yr",0.0171968329211321,"Otu0011"
"591","A8w_B2yr",0.0136213897562639,"Otu0008"
"592","A8w_B2yr",0.0115409986746581,"Otu0010"
"665","B8w_C8w",0.473398489712439,"Otu0001"
"666","B8w_C8w",0.165596364923418,"Otu0008"
"667","B8w_C8w",0.150966513668608,"Otu0003"
"668","B8w_C8w",0.123826368152336,"Otu0002"
"669","B8w_C8w",0.023723309290782,"Otu0010"
"670","B8w_C8w",0.0237124534742219,"Otu0006"
"671","B8w_C8w",0.01509665136686,"Otu0005"
"748","B8w_A1yr",0.181702176598793,"Otu0003"
"749","B8w_A1yr",0.145085702958101,"Otu0008"
"750","B8w_A1yr",0.132416731889149,"Otu0001"
