"","Comparison","SIMPER","OTU"
"1","A8w_B8w",0.480940696904021,"Otu0001"
"2","A8w_B8w",0.183602654658567,"Otu0008"
"3","A8w_B8w",0.128016529853679,"Otu0002"
"4","A8w_B8w",0.115694938855263,"Otu0003"
"5","A8w_B8w",0.028492100032565,"Otu0010"
"6","A8w_B8w",0.023497770940248,"Otu0005"
"7","A8w_B8w",0.0128886817666281,"Otu0017"
"8","A8w_B8w",0.0100560353056119,"Otu0006"
"84","A8w_C8w",0.463883064393594,"Otu0001"
"85","A8w_C8w",0.234661318260553,"Otu0002"
"86","A8w_C8w",0.162944054456498,"Otu0017"
"87","A8w_C8w",0.036101741270854,"Otu0005"
"88","A8w_C8w",0.027106694624244,"Otu0048"
"89","A8w_C8w",0.02110493208132,"Otu0042"
"90","A8w_C8w",0.018050870635428,"Otu0032"
"167","A8w_A1yr",0.485027073602281,"Otu0001"
"168","A8w_A1yr",0.178404989600779,"Otu0003"
"169","A8w_A1yr",0.108146276932738,"Otu0002"
"170","A8w_A1yr",0.043482743414691,"Otu0011"
"171","A8w_A1yr",0.035007932905366,"Otu0008"
"172","A8w_A1yr",0.02068131050305,"Otu0010"
"173","A8w_A1yr",0.019442548994977,"Otu0013"
"174","A8w_A1yr",0.0177415918272911,"Otu0012"
"175","A8w_A1yr",0.01478514260665,"Otu0025"
"176","A8w_A1yr",0.01347722195419,"Otu0006"
"177","A8w_A1yr",0.011829928624446,"Otu0017"
"250","A8w_A2yr",0.484411803073569,"Otu0001"
"251","A8w_A2yr",0.129583593611448,"Otu0003"
"252","A8w_A2yr",0.108008955825467,"Otu0005"
"253","A8w_A2yr",0.080995518901387,"Otu0002"
"254","A8w_A2yr",0.032073211029881,"Otu0016"
"255","A8w_A2yr",0.0223606873729609,"Otu0015"
"256","A8w_A2yr",0.02110222788117,"Otu0010"
"257","A8w_A2yr",0.014780228110331,"Otu0014"
"258","A8w_A2yr",0.0126484604726771,"Otu0009"
"259","A8w_A2yr",0.0118149220261849,"Otu0017"
"260","A8w_A2yr",0.011814744476782,"Otu0018"
"261","A8w_A2yr",0.010125195022972,"Otu0008"
"333","A8w_C1yr",0.484614320257139,"Otu0001"
"334","A8w_C1yr",0.166222716505293,"Otu0003"
"335","A8w_C1yr",0.108148836312015,"Otu0002"
"336","A8w_C1yr",0.030859327885138,"Otu0010"
"337","A8w_C1yr",0.029951643910069,"Otu0011"
"338","A8w_C1yr",0.029919335955185,"Otu0008"
"339","A8w_C1yr",0.026627330019846,"Otu0013"
"340","A8w_C1yr",0.0253197490409111,"Otu0012"
"341","A8w_C1yr",0.014746307583053,"Otu0025"
"342","A8w_C1yr",0.0118198614696861,"Otu0017"
"343","A8w_C1yr",0.0105735081868149,"Otu0006"
"344","A8w_C1yr",0.010556675799492,"Otu0015"
"416","A8w_C2yr",0.486485167500238,"Otu0001"
"417","A8w_C2yr",0.153651255576745,"Otu0005"
"418","A8w_C2yr",0.080437015884247,"Otu0003"
"419","A8w_C2yr",0.0699572120865279,"Otu0002"
"420","A8w_C2yr",0.028340120825033,"Otu0016"
"421","A8w_C2yr",0.02458486786845,"Otu0006"
"422","A8w_C2yr",0.0178368148063009,"Otu0008"
"423","A8w_C2yr",0.01735348497704,"Otu0015"
"424","A8w_C2yr",0.014712814943893,"Otu0025"
"425","A8w_C2yr",0.013544547614201,"Otu0010"
"426","A8w_C2yr",0.011865491890249,"Otu0017"
"427","A8w_C2yr",0.011842910137439,"Otu0018"
"499","A8w_B1yr",0.485237967047681,"Otu0001"
"500","A8w_B1yr",0.174659528109814,"Otu0003"
"501","A8w_B1yr",0.119477959098029,"Otu0002"
"502","A8w_B1yr",0.03213579582576,"Otu0011"
"503","A8w_B1yr",0.031636144649606,"Otu0010"
"504","A8w_B1yr",0.025846589068785,"Otu0013"
"505","A8w_B1yr",0.020692695221405,"Otu0006"
"506","A8w_B1yr",0.016882949417683,"Otu0012"
"507","A8w_B1yr",0.0130990606970181,"Otu0008"
"508","A8w_B1yr",0.012682592600795,"Otu0025"
"509","A8w_B1yr",0.011835072367017,"Otu0017"
"510","A8w_B1yr",0.010148599118477,"Otu0015"
"582","A8w_B2yr",0.485432143877117,"Otu0001"
"583","A8w_B2yr",0.170837226503405,"Otu0005"
"584","A8w_B2yr",0.0811438012024129,"Otu0003"
"585","A8w_B2yr",0.0646610312932461,"Otu0002"
"586","A8w_B2yr",0.042368446023792,"Otu0016"
"587","A8w_B2yr",0.020259769371444,"Otu0006"
"588","A8w_B2yr",0.014803804017002,"Otu0011"
"589","A8w_B2yr",0.013547852002245,"Otu0015"
"590","A8w_B2yr",0.0118398083872471,"Otu0017"
"591","A8w_B2yr",0.0109772066624859,"Otu0008"
"665","B8w_C8w",0.416973809388431,"Otu0001"
"666","B8w_C8w",0.192890792031445,"Otu0008"
"667","B8w_C8w",0.146194360560168,"Otu0002"
"668","B8w_C8w",0.119785838160493,"Otu0003"
"669","B8w_C8w",0.033632161159259,"Otu0017"
"670","B8w_C8w",0.030525787135703,"Otu0010"
"671","B8w_C8w",0.022342919652959,"Otu0005"
"672","B8w_C8w",0.0111567518392129,"Otu0006"
"748","B8w_A1yr",0.246364441103618,"Otu0008"
"749","B8w_A1yr",0.219003181444779,"Otu0002"
"750","B8w_A1yr",0.218991558932327,"Otu0003"
"751","B8w_A1yr",0.06111056835051,"Otu0011"
"752","B8w_A1yr",0.0499946877091529,"Otu0010"
"753","B8w_A1yr",0.0323996362776571,"Otu0005"
"754","B8w_A1yr",0.027324305140355,"Otu0013"
"755","B8w_A1yr",0.0225238410876369,"Otu0006"
"756","B8w_A1yr",0.020778920577773,"Otu0025"
"757","B8w_A1yr",0.0201806864898271,"Otu0012"
"758","B8w_A1yr",0.01307056938591,"Otu0015"
"759","B8w_A1yr",0.010115795431223,"Otu0007"
"831","B8w_A2yr",0.239959664416366,"Otu0008"
"832","B8w_A2yr",0.192693082850243,"Otu0002"
"833","B8w_A2yr",0.184816970652654,"Otu0003"
"834","B8w_A2yr",0.111996001984213,"Otu0005"
"835","B8w_A2yr",0.04733049898812,"Otu0010"
"836","B8w_A2yr",0.042547749462206,"Otu0016"
"837","B8w_A2yr",0.0296633433107441,"Otu0015"
"838","B8w_A2yr",0.019607101995655,"Otu0014"
"839","B8w_A2yr",0.0167793256333421,"Otu0009"
"840","B8w_A2yr",0.0156732454229209,"Otu0018"
"841","B8w_A2yr",0.014136059867583,"Otu0006"
"842","B8w_A2yr",0.012306672205836,"Otu0023"
"843","B8w_A2yr",0.010824276397887,"Otu0012"
"844","B8w_A2yr",0.010625809559708,"Otu0026"
"914","B8w_C1yr",0.24532042818065,"Otu0008"
"915","B8w_C1yr",0.216968488344168,"Otu0002"
"916","B8w_C1yr",0.212052971922301,"Otu0003"
"917","B8w_C1yr",0.0544833307061611,"Otu0010"
"918","B8w_C1yr",0.041880921843769,"Otu0011"
"919","B8w_C1yr",0.0372321111444379,"Otu0013"
"920","B8w_C1yr",0.0306375725418,"Otu0005"
"921","B8w_C1yr",0.02870406047648,"Otu0012"
"922","B8w_C1yr",0.0206197070655281,"Otu0025"
"923","B8w_C1yr",0.0194712232573619,"Otu0006"
"924","B8w_C1yr",0.014761138358789,"Otu0015"
"925","B8w_C1yr",0.013589956473396,"Otu0007"
"997","B8w_C2yr",0.225989901540986,"Otu0008"
"998","B8w_C2yr",0.180738440383506,"Otu0002"
"999","B8w_C2yr",0.167179352561563,"Otu0005"
"1000","B8w_C2yr",0.161937687767712,"Otu0003"
"1001","B8w_C2yr",0.0419763502084219,"Otu0010"
"1002","B8w_C2yr",0.036718764779564,"Otu0006"
"1003","B8w_C2yr",0.035762712131307,"Otu0016"
"1004","B8w_C2yr",0.021898463009299,"Otu0015"
"1005","B8w_C2yr",0.018567036798934,"Otu0025"
"1006","B8w_C2yr",0.014944708587981,"Otu0018"
"1007","B8w_C2yr",0.011200155942711,"Otu0011"
"1008","B8w_C2yr",0.0105221016511939,"Otu0012"
