"","Comparison","SIMPER","OTU"
"1","A2w_A4w",0.108112956630374,"Otu000001"
"2","A2w_A4w",0.092134122495992,"Otu000003"
"3","A2w_A4w",0.071761437498658,"Otu000006"
"4","A2w_A4w",0.043339508951632,"Otu000008"
"5","A2w_A4w",0.04013756892675,"Otu000018"
"6","A2w_A4w",0.037222747880127,"Otu000015"
"7","A2w_A4w",0.03713716268758,"Otu000025"
"8","A2w_A4w",0.031174065375542,"Otu000010"
"9","A2w_A4w",0.031006895500617,"Otu000026"
"10","A2w_A4w",0.028525536823007,"Otu000017"
"11","A2w_A4w",0.0215542711855949,"Otu000020"
"12","A2w_A4w",0.021215293100564,"Otu000152"
"13","A2w_A4w",0.01832261722974,"Otu000016"
"14","A2w_A4w",0.018180718801177,"Otu000009"
"15","A2w_A4w",0.015924955797754,"Otu000035"
"16","A2w_A4w",0.015170590493898,"Otu000075"
"17","A2w_A4w",0.0141324387635829,"Otu000030"
"18","A2w_A4w",0.0130602785560821,"Otu000034"
"19","A2w_A4w",0.012128177196066,"Otu000064"
"20","A2w_A4w",0.0111336539735281,"Otu000106"
"21","A2w_A4w",0.0103961184553439,"Otu000013"
"18245","A2w_A8w",0.0638646586583937,"Otu000006"
"18246","A2w_A8w",0.0615107524785493,"Otu000003"
"18247","A2w_A8w",0.053566148921148,"Otu000001"
"18248","A2w_A8w",0.040073111445516,"Otu000013"
"18249","A2w_A8w",0.039388178877454,"Otu000010"
"18250","A2w_A8w",0.039306838829454,"Otu000008"
"18251","A2w_A8w",0.035989231206286,"Otu000015"
"18252","A2w_A8w",0.033815327106021,"Otu000025"
"18253","A2w_A8w",0.027928600654968,"Otu000026"
"18254","A2w_A8w",0.027517073526504,"Otu000017"
"18255","A2w_A8w",0.022016753369353,"Otu000016"
"18256","A2w_A8w",0.019209518936582,"Otu000152"
"18257","A2w_A8w",0.016740757726106,"Otu000009"
"18258","A2w_A8w",0.013521119755438,"Otu000035"
"18259","A2w_A8w",0.01342421756888,"Otu000170"
"18260","A2w_A8w",0.0113575471102291,"Otu000018"
"18261","A2w_A8w",0.010966363216122,"Otu000064"
"18262","A2w_A8w",0.010647052069774,"Otu000020"
"18263","A2w_A8w",0.010070536634035,"Otu000034"
"36489","A2w_B2w",0.123211529331767,"Otu000008"
"36490","A2w_B2w",0.114207973857648,"Otu000003"
"36491","A2w_B2w",0.088546712983286,"Otu000001"
"36492","A2w_B2w",0.080517800525371,"Otu000006"
"36493","A2w_B2w",0.050185636957283,"Otu000025"
"36494","A2w_B2w",0.043592028138719,"Otu000010"
"36495","A2w_B2w",0.042875967440009,"Otu000015"
"36496","A2w_B2w",0.0377721758526379,"Otu000016"
"36497","A2w_B2w",0.035444086717592,"Otu000026"
"36498","A2w_B2w",0.022411821995745,"Otu000152"
"36499","A2w_B2w",0.0176608054511981,"Otu000093"
"36500","A2w_B2w",0.016359294258949,"Otu000106"
"36501","A2w_B2w",0.014376908024208,"Otu000034"
"36502","A2w_B2w",0.014291077908559,"Otu000064"
"36503","A2w_B2w",0.013035546890435,"Otu000035"
"36504","A2w_B2w",0.0129733907939971,"Otu000020"
"36505","A2w_B2w",0.011243406290281,"Otu000182"
"36506","A2w_B2w",0.011084064193426,"Otu000009"
"36507","A2w_B2w",0.010478156281623,"Otu000037"
"36508","A2w_B2w",0.0102955233601401,"Otu000090"
"54733","A2w_B4w",0.0864685774767179,"Otu000003"
"54734","A2w_B4w",0.0736671005750411,"Otu000006"
"54735","A2w_B4w",0.0692869753654,"Otu000001"
"54736","A2w_B4w",0.042334203062559,"Otu000008"
"54737","A2w_B4w",0.037546544813681,"Otu000011"
"54738","A2w_B4w",0.036377877300214,"Otu000015"
"54739","A2w_B4w",0.036197351302795,"Otu000025"
"54740","A2w_B4w",0.035566721673624,"Otu000026"
"54741","A2w_B4w",0.031399791055956,"Otu000009"
"54742","A2w_B4w",0.030449731617574,"Otu000010"
"54743","A2w_B4w",0.024285769387456,"Otu000017"
"54744","A2w_B4w",0.0219633937628411,"Otu000035"
"54745","A2w_B4w",0.0207197675555389,"Otu000152"
"54746","A2w_B4w",0.0176367062291101,"Otu000016"
"54747","A2w_B4w",0.016295222987085,"Otu000020"
"54748","A2w_B4w",0.015165155395873,"Otu000018"
"54749","A2w_B4w",0.015046136463611,"Otu000044"
"54750","A2w_B4w",0.014250435222969,"Otu000045"
"54751","A2w_B4w",0.013921210013597,"Otu000030"
"54752","A2w_B4w",0.012919637773382,"Otu000064"
"54753","A2w_B4w",0.0108199560401749,"Otu000106"
"54754","A2w_B4w",0.010199441634154,"Otu000093"
"72977","A2w_B8w",0.0639657913401788,"Otu000003"
"72978","A2w_B8w",0.0631347970087282,"Otu000006"
"72979","A2w_B8w",0.050405374051314,"Otu000001"
"72980","A2w_B8w",0.038912455361138,"Otu000008"
"72981","A2w_B8w",0.035162352121217,"Otu000015"
"72982","A2w_B8w",0.033852468439694,"Otu000009"
"72983","A2w_B8w",0.0336994203595,"Otu000025"
"72984","A2w_B8w",0.027871937211376,"Otu000010"
"72985","A2w_B8w",0.027607828987232,"Otu000026"
"72986","A2w_B8w",0.027016656148166,"Otu000048"
"72987","A2w_B8w",0.021926148530339,"Otu000020"
"72988","A2w_B8w",0.021786779329633,"Otu000013"
"72989","A2w_B8w",0.019896573001374,"Otu000017"
"72990","A2w_B8w",0.018964828123179,"Otu000152"
"72991","A2w_B8w",0.016287102313876,"Otu000016"
"72992","A2w_B8w",0.015042324457591,"Otu000035"
"72993","A2w_B8w",0.013408704504674,"Otu000018"
"72994","A2w_B8w",0.011347722085231,"Otu000012"
"72995","A2w_B8w",0.011080840463554,"Otu000060"
"72996","A2w_B8w",0.010775164701296,"Otu000064"
"91221","A2w_C2w",0.141079639403361,"Otu000003"
