"","Comparison","SIMPER","OTU"
"1","A8w_B8w",0.277368696814619,"Otu000004"
"2","A8w_B8w",0.080449255600263,"Otu000023"
"3","A8w_B8w",0.059441204348038,"Otu000057"
"4","A8w_B8w",0.055833356009953,"Otu000002"
"5","A8w_B8w",0.049111581054199,"Otu000073"
"6","A8w_B8w",0.047022902821874,"Otu000089"
"7","A8w_B8w",0.038234597232802,"Otu000080"
"8","A8w_B8w",0.023869151174156,"Otu000123"
"9","A8w_B8w",0.0144608769233809,"Otu000235"
"10","A8w_B8w",0.0129263447986341,"Otu000068"
"11","A8w_B8w",0.012546502117518,"Otu000079"
"12","A8w_B8w",0.012366494316491,"Otu000217"
"13","A8w_B8w",0.011355133432554,"Otu000039"
"14","A8w_B8w",0.01089463133247,"Otu000354"
"15","A8w_B8w",0.010170863085284,"Otu000221"
"18245","A8w_C8w",0.0814425965294565,"Otu000023"
"18246","A8w_C8w",0.0781017304286505,"Otu000051"
"18247","A8w_C8w",0.076402996277573,"Otu000057"
"18248","A8w_C8w",0.061521019941898,"Otu000039"
"18249","A8w_C8w",0.049216696401635,"Otu000089"
"18250","A8w_C8w",0.048002566595994,"Otu000068"
"18251","A8w_C8w",0.04342556647367,"Otu000080"
"18252","A8w_C8w",0.042584782525372,"Otu000002"
"18253","A8w_C8w",0.030697574081463,"Otu000123"
"18254","A8w_C8w",0.028831976439592,"Otu000337"
"18255","A8w_C8w",0.020116667589097,"Otu000096"
"18256","A8w_C8w",0.020086743537772,"Otu000235"
"18257","A8w_C8w",0.0183760381504831,"Otu000074"
"18258","A8w_C8w",0.015436658302236,"Otu000169"
"18259","A8w_C8w",0.0149449151102821,"Otu000249"
"18260","A8w_C8w",0.014548791198324,"Otu000217"
"18261","A8w_C8w",0.0128181536556939,"Otu000122"
"18262","A8w_C8w",0.0127284241629201,"Otu000354"
"18263","A8w_C8w",0.012289173792303,"Otu000148"
"18264","A8w_C8w",0.0121810235755729,"Otu000079"
"18265","A8w_C8w",0.011375995361335,"Otu000221"
"18266","A8w_C8w",0.011314846390333,"Otu000031"
"18267","A8w_C8w",0.010922229446222,"Otu000062"
"18268","A8w_C8w",0.010311129794536,"Otu000290"
