"","Comparison","SIMPER","OTU"
"1","A8w_B8w",0.271017902230821,"Otu000004"
"2","A8w_B8w",0.096242295510841,"Otu000023"
"3","A8w_B8w",0.064201615308274,"Otu000002"
"4","A8w_B8w",0.042595657676198,"Otu000057"
"5","A8w_B8w",0.031162914049008,"Otu000080"
"6","A8w_B8w",0.029443586672354,"Otu000073"
"7","A8w_B8w",0.0280229758288399,"Otu000123"
"8","A8w_B8w",0.0265896119897151,"Otu000068"
"9","A8w_B8w",0.016194433679946,"Otu000104"
"10","A8w_B8w",0.0138677968389199,"Otu000079"
"11","A8w_B8w",0.013674770935385,"Otu000062"
"12","A8w_B8w",0.011587436980239,"Otu000277"
"13","A8w_B8w",0.011134912409559,"Otu000221"
"14","A8w_B8w",0.010915815731383,"Otu000039"
"15","A8w_B8w",0.010601366344806,"Otu000102"
"18245","A8w_C8w",0.0989980327534022,"Otu000023"
"18246","A8w_C8w",0.0650321729868398,"Otu000002"
"18247","A8w_C8w",0.056674582894529,"Otu000057"
"18248","A8w_C8w",0.053065290113536,"Otu000068"
"18249","A8w_C8w",0.043645498166283,"Otu000096"
"18250","A8w_C8w",0.043568968967412,"Otu000051"
"18251","A8w_C8w",0.041425308603825,"Otu000146"
"18252","A8w_C8w",0.037071696973014,"Otu000123"
"18253","A8w_C8w",0.03551369125678,"Otu000080"
"18254","A8w_C8w",0.0303235514532471,"Otu000039"
"18255","A8w_C8w",0.0262201595226339,"Otu000104"
"18256","A8w_C8w",0.024807701647738,"Otu000221"
"18257","A8w_C8w",0.022881361401663,"Otu000337"
"18258","A8w_C8w",0.020241242992417,"Otu000331"
"18259","A8w_C8w",0.01997906588933,"Otu000249"
"18260","A8w_C8w",0.0173936501286901,"Otu000290"
"18261","A8w_C8w",0.016807354649125,"Otu000169"
"18262","A8w_C8w",0.013366269151339,"Otu000277"
"18263","A8w_C8w",0.0133129395057829,"Otu000102"
"18264","A8w_C8w",0.0131091319030271,"Otu000062"
"18265","A8w_C8w",0.011889236595982,"Otu000235"
"18266","A8w_C8w",0.010812152225369,"Otu000031"
"18267","A8w_C8w",0.010763218310012,"Otu000148"
"36489","A8w_A1yr",0.0895051243845742,"Otu000023"
"36490","A8w_A1yr",0.0395508522372298,"Otu000057"
"36491","A8w_A1yr",0.02956453716494,"Otu000080"
"36492","A8w_A1yr",0.025862695172044,"Otu000123"
"36493","A8w_A1yr",0.024704906341717,"Otu000068"
"36494","A8w_A1yr",0.022901021608232,"Otu000005"
"36495","A8w_A1yr",0.021615901276042,"Otu000002"
"36496","A8w_A1yr",0.021306749120718,"Otu000019"
"36497","A8w_A1yr",0.017129435234748,"Otu000079"
"36498","A8w_A1yr",0.016221476831887,"Otu000027"
"36499","A8w_A1yr",0.016033853856542,"Otu000042"
"36500","A8w_A1yr",0.015715260663492,"Otu000104"
"36501","A8w_A1yr",0.012846528349278,"Otu000062"
"36502","A8w_A1yr",0.011935797848136,"Otu000004"
"36503","A8w_A1yr",0.011550850367142,"Otu000102"
"36504","A8w_A1yr",0.011192121646681,"Otu000277"
"36505","A8w_A1yr",0.010772013492917,"Otu000221"
"36506","A8w_A1yr",0.01036334302606,"Otu000039"
"36507","A8w_A1yr",0.010347818749449,"Otu000275"
"54733","A8w_A2yr",0.0934685580365552,"Otu000023"
"54734","A8w_A2yr",0.0421709649208648,"Otu000002"
"54735","A8w_A2yr",0.041304983733152,"Otu000057"
"54736","A8w_A2yr",0.032149367361215,"Otu000007"
"54737","A8w_A2yr",0.03087715572032,"Otu000080"
"54738","A8w_A2yr",0.029679969058122,"Otu000005"
"54739","A8w_A2yr",0.027004231684383,"Otu000123"
"54740","A8w_A2yr",0.025793807923401,"Otu000068"
"54741","A8w_A2yr",0.017889179599384,"Otu000079"
"54742","A8w_A2yr",0.016498209673299,"Otu000004"
"54743","A8w_A2yr",0.016396370306499,"Otu000104"
"54744","A8w_A2yr",0.015396532313219,"Otu000014"
"54745","A8w_A2yr",0.0133836062608439,"Otu000062"
"54746","A8w_A2yr",0.012059920903316,"Otu000102"
"54747","A8w_A2yr",0.011494842237,"Otu000277"
"54748","A8w_A2yr",0.011246675330936,"Otu000221"
"54749","A8w_A2yr",0.010820005209032,"Otu000039"
"54750","A8w_A2yr",0.010803815818292,"Otu000275"
"54751","A8w_A2yr",0.010297340685261,"Otu000021"
"72977","A8w_C1yr",0.0895078013285042,"Otu000023"
"72978","A8w_C1yr",0.0395593557158858,"Otu000057"
"72979","A8w_C1yr",0.029568736379954,"Otu000080"
"72980","A8w_C1yr",0.025859615277585,"Otu000123"
"72981","A8w_C1yr",0.024697397178732,"Otu000068"
"72982","A8w_C1yr",0.021644416345159,"Otu000002"
"72983","A8w_C1yr",0.020850683954159,"Otu000005"
"72984","A8w_C1yr",0.020394543254206,"Otu000027"
"72985","A8w_C1yr",0.017126421496902,"Otu000079"
"72986","A8w_C1yr",0.015707803348049,"Otu000104"
"72987","A8w_C1yr",0.014556361660465,"Otu000042"
"72988","A8w_C1yr",0.012853864024039,"Otu000062"
"72989","A8w_C1yr",0.01279500076434,"Otu000004"
"72990","A8w_C1yr",0.011548786925244,"Otu000102"
"72991","A8w_C1yr",0.011180860587027,"Otu000277"
"72992","A8w_C1yr",0.010770092144113,"Otu000221"
"72993","A8w_C1yr",0.010356849517853,"Otu000039"
"72994","A8w_C1yr",0.010341284911696,"Otu000275"
"91221","A8w_C2yr",0.0933649138426238,"Otu000023"
"91222","A8w_C2yr",0.0426842008108532,"Otu000002"
"91223","A8w_C2yr",0.041274847582656,"Otu000057"
"91224","A8w_C2yr",0.030841304422468,"Otu000080"
"91225","A8w_C2yr",0.028621504331915,"Otu000007"
"91226","A8w_C2yr",0.026971305459031,"Otu000123"
"91227","A8w_C2yr",0.025763887506485,"Otu000068"
"91228","A8w_C2yr",0.023361986294938,"Otu000005"
"91229","A8w_C2yr",0.017868413332694,"Otu000079"
"91230","A8w_C2yr",0.016207011391635,"Otu000104"
"91231","A8w_C2yr",0.013773104218236,"Otu000004"
"91232","A8w_C2yr",0.013309778759877,"Otu000062"
"91233","A8w_C2yr",0.012045927071987,"Otu000102"
"91234","A8w_C2yr",0.011307104954649,"Otu000277"
"91235","A8w_C2yr",0.0112336173795179,"Otu000221"
"91236","A8w_C2yr",0.010807443399742,"Otu000039"
"91237","A8w_C2yr",0.010791274566644,"Otu000275"
"109465","A8w_B1yr",0.0892594658772093,"Otu000023"
"109466","A8w_B1yr",0.0394428626056487,"Otu000057"
"109467","A8w_B1yr",0.029489788671869,"Otu000080"
"109468","A8w_B1yr",0.025788908000108,"Otu000123"
"109469","A8w_B1yr",0.02463286228384,"Otu000068"
"109470","A8w_B1yr",0.023844039898374,"Otu000005"
"109471","A8w_B1yr",0.021558582397306,"Otu000002"
"109472","A8w_B1yr",0.019045638174294,"Otu000027"
"109473","A8w_B1yr",0.017080668590906,"Otu000079"
"109474","A8w_B1yr",0.015665810585894,"Otu000104"
"109475","A8w_B1yr",0.012810312323903,"Otu000062"
"109476","A8w_B1yr",0.01157131255906,"Otu000004"
"109477","A8w_B1yr",0.011517915619613,"Otu000102"
"109478","A8w_B1yr",0.011160220310888,"Otu000277"
"109479","A8w_B1yr",0.010741334238686,"Otu000221"
"109480","A8w_B1yr",0.010324633808802,"Otu000039"
"109481","A8w_B1yr",0.010313724534114,"Otu000275"
"127709","A8w_B2yr",0.0940088738067972,"Otu000023"
"127710","A8w_B2yr",0.0862949743657078,"Otu000002"
"127711","A8w_B2yr",0.041784165622353,"Otu000057"
"127712","A8w_B2yr",0.03539502246217,"Otu000005"
"127713","A8w_B2yr",0.031057251286981,"Otu000080"
"127714","A8w_B2yr",0.027159968898756,"Otu000123"
"127715","A8w_B2yr",0.025944105223014,"Otu000068"
"127716","A8w_B2yr",0.019513770056766,"Otu000007"
"127717","A8w_B2yr",0.017993496113961,"Otu000079"
"127718","A8w_B2yr",0.016284801277345,"Otu000104"
"127719","A8w_B2yr",0.01476373543137,"Otu000004"
"127720","A8w_B2yr",0.013310048950297,"Otu000062"
"127721","A8w_B2yr",0.012130216010112,"Otu000102"
"127722","A8w_B2yr",0.011312270612517,"Otu000221"
"127723","A8w_B2yr",0.011307966753186,"Otu000277"
"127724","A8w_B2yr",0.010883108037853,"Otu000039"
"127725","A8w_B2yr",0.01086189579806,"Otu000275"
"145953","B8w_C8w",0.269848867663846,"Otu000004"
"145954","B8w_C8w",0.0721995046362059,"Otu000002"
"145955","B8w_C8w",0.054384135396774,"Otu000023"
"145956","B8w_C8w",0.034947681519133,"Otu000096"
"145957","B8w_C8w",0.033884702094669,"Otu000068"
"145958","B8w_C8w",0.033497577013976,"Otu000146"
"145959","B8w_C8w",0.033286432316017,"Otu000051"
"145960","B8w_C8w",0.0308934214213149,"Otu000073"
"145961","B8w_C8w",0.020791326575831,"Otu000039"
"145962","B8w_C8w",0.019543626706057,"Otu000080"
"145963","B8w_C8w",0.0172260064688949,"Otu000337"
"145964","B8w_C8w",0.016361231176638,"Otu000104"
"145965","B8w_C8w",0.016155909173903,"Otu000249"
"145966","B8w_C8w",0.0155947717069831,"Otu000062"
"145967","B8w_C8w",0.0154990150232479,"Otu000221"
"145968","B8w_C8w",0.0152124053003341,"Otu000331"
"145969","B8w_C8w",0.0142243833956109,"Otu000290"
"145970","B8w_C8w",0.014008901463008,"Otu000102"
"145971","B8w_C8w",0.011528779403124,"Otu000169"
"164197","B8w_A1yr",0.251518741986629,"Otu000004"
"164198","B8w_A1yr",0.059951500915313,"Otu000002"
"164199","B8w_A1yr",0.0305146889169201,"Otu000073"
"164200","B8w_A1yr",0.02234519968251,"Otu000019"
"164201","B8w_A1yr",0.021143350185327,"Otu000005"
"164202","B8w_A1yr",0.017031696793544,"Otu000027"
"164203","B8w_A1yr",0.016815311463242,"Otu000042"
"164204","B8w_A1yr",0.016175378541199,"Otu000102"
"182441","B8w_A2yr",0.263241880514324,"Otu000004"
"182442","B8w_A2yr",0.075073140099168,"Otu000002"
"182443","B8w_A2yr",0.0343552382894,"Otu000007"
"182444","B8w_A2yr",0.032416308327498,"Otu000073"
"182445","B8w_A2yr",0.02865910182865,"Otu000005"
"182446","B8w_A2yr",0.017208266276736,"Otu000102"
"182447","B8w_A2yr",0.016452935632753,"Otu000014"
"182448","B8w_A2yr",0.011003871486939,"Otu000021"
"182449","B8w_A2yr",0.010843720847404,"Otu000022"
"200685","B8w_C1yr",0.251047774357209,"Otu000004"
"200686","B8w_C1yr",0.060094388441463,"Otu000002"
"200687","B8w_C1yr",0.030555317972227,"Otu000073"
"200688","B8w_C1yr",0.021450846657288,"Otu000027"
"200689","B8w_C1yr",0.019031484645829,"Otu000005"
"200690","B8w_C1yr",0.016204753229227,"Otu000102"
