"","Comparison","SIMPER","OTU"
"1","C1yr_B1yr",0.10704789936298,"Otu00001"
"2","C1yr_B1yr",0.098541852473859,"Otu00007"
"3","C1yr_B1yr",0.073461464253071,"Otu00002"
"4","C1yr_B1yr",0.072605769241791,"Otu00008"
"5","C1yr_B1yr",0.044918242689234,"Otu00023"
"6","C1yr_B1yr",0.040166091658514,"Otu00013"
"7","C1yr_B1yr",0.039140914860289,"Otu00018"
"8","C1yr_B1yr",0.037935790761124,"Otu00005"
"9","C1yr_B1yr",0.033505555233151,"Otu00010"
"10","C1yr_B1yr",0.024601134107279,"Otu00003"
"11","C1yr_B1yr",0.023320433263997,"Otu00004"
"12","C1yr_B1yr",0.021646082545004,"Otu00022"
"13","C1yr_B1yr",0.020042179092906,"Otu00017"
"14","C1yr_B1yr",0.018380676064826,"Otu00014"
"15","C1yr_B1yr",0.018050473714699,"Otu00009"
"16","C1yr_B1yr",0.0171897345308191,"Otu00016"
"17","C1yr_B1yr",0.01715015886302,"Otu00020"
"18","C1yr_B1yr",0.0156825055666859,"Otu00024"
"19","C1yr_B1yr",0.015664578337333,"Otu00033"
"20","C1yr_B1yr",0.014569495876651,"Otu00015"
"21","C1yr_B1yr",0.0127246336569971,"Otu00006"
"22","C1yr_B1yr",0.012505536110337,"Otu00021"
"23","C1yr_B1yr",0.0124716818919659,"Otu00038"
"24","C1yr_B1yr",0.012335117918689,"Otu00081"
"25","C1yr_B1yr",0.0110097571791731,"Otu00031"
"26","C1yr_B1yr",0.0106650692396689,"Otu00012"
"1486","C1yr_B2yr",0.0828781375592504,"Otu00001"
"1487","C1yr_B2yr",0.0702950320519476,"Otu00017"
"1488","C1yr_B2yr",0.055727877669261,"Otu00002"
"1489","C1yr_B2yr",0.05265479633679,"Otu00007"
"1490","C1yr_B2yr",0.04215026102667,"Otu00004"
"1491","C1yr_B2yr",0.039765970430585,"Otu00008"
"1492","C1yr_B2yr",0.036198827605326,"Otu00003"
"1493","C1yr_B2yr",0.028884120833746,"Otu00018"
"1494","C1yr_B2yr",0.024171220687654,"Otu00023"
"1495","C1yr_B2yr",0.023554594741756,"Otu00005"
"1496","C1yr_B2yr",0.020646200740896,"Otu00013"
"1497","C1yr_B2yr",0.01688768805889,"Otu00010"
"1498","C1yr_B2yr",0.016020005494223,"Otu00012"
"1499","C1yr_B2yr",0.014724353636314,"Otu00022"
"1500","C1yr_B2yr",0.014533466546677,"Otu00006"
"1501","C1yr_B2yr",0.013906986120099,"Otu00029"
"1502","C1yr_B2yr",0.012293225668766,"Otu00045"
"1503","C1yr_B2yr",0.011964407695212,"Otu00041"
"1504","C1yr_B2yr",0.0109703070857641,"Otu00039"
"1505","C1yr_B2yr",0.010736189602815,"Otu00024"
"1506","C1yr_B2yr",0.0105106370039489,"Otu00020"
"1507","C1yr_B2yr",0.010286637977988,"Otu00009"
"2971","C1yr_A1yr",0.115170422267461,"Otu00001"
"2972","C1yr_A1yr",0.079894345358833,"Otu00008"
"2973","C1yr_A1yr",0.078129929933653,"Otu00002"
"2974","C1yr_A1yr",0.071241646434467,"Otu00007"
"2975","C1yr_A1yr",0.048172948938652,"Otu00018"
"2976","C1yr_A1yr",0.039381481011075,"Otu00023"
"2977","C1yr_A1yr",0.037853893397937,"Otu00013"
"2978","C1yr_A1yr",0.0370528406953159,"Otu00017"
"2979","C1yr_A1yr",0.028637002734872,"Otu00005"
"2980","C1yr_A1yr",0.027859862508783,"Otu00009"
"2981","C1yr_A1yr",0.025344315458439,"Otu00027"
"2982","C1yr_A1yr",0.025186829398258,"Otu00022"
"2983","C1yr_A1yr",0.024286826526702,"Otu00010"
"2984","C1yr_A1yr",0.0227266950399571,"Otu00004"
"2985","C1yr_A1yr",0.0203075833250299,"Otu00003"
"2986","C1yr_A1yr",0.014653302495349,"Otu00015"
"2987","C1yr_A1yr",0.014216535530408,"Otu00016"
"2988","C1yr_A1yr",0.013744546260964,"Otu00020"
"2989","C1yr_A1yr",0.012997136208507,"Otu00024"
"2990","C1yr_A1yr",0.011308004365141,"Otu00034"
"2991","C1yr_A1yr",0.011050324070221,"Otu00081"
"2992","C1yr_A1yr",0.010414317368949,"Otu00033"
"2993","C1yr_A1yr",0.0100589784407979,"Otu00042"
"4456","C1yr_A2yr",0.088699570307435,"Otu00001"
"4457","C1yr_A2yr",0.080791339700994,"Otu00017"
"4458","C1yr_A2yr",0.056210081447393,"Otu00002"
"4459","C1yr_A2yr",0.052793071557046,"Otu00007"
"4460","C1yr_A2yr",0.039577481649501,"Otu00008"
"4461","C1yr_A2yr",0.032591471849812,"Otu00006"
"4462","C1yr_A2yr",0.029740108401767,"Otu00004"
"4463","C1yr_A2yr",0.024054865033287,"Otu00023"
"4464","C1yr_A2yr",0.022098314766121,"Otu00018"
"4465","C1yr_A2yr",0.021631351463149,"Otu00005"
"4466","C1yr_A2yr",0.020553037566694,"Otu00013"
"4467","C1yr_A2yr",0.019276717436221,"Otu00039"
"4468","C1yr_A2yr",0.018132329664006,"Otu00022"
"4469","C1yr_A2yr",0.017235324965477,"Otu00010"
"4470","C1yr_A2yr",0.016012397161124,"Otu00003"
"4471","C1yr_A2yr",0.011173284201104,"Otu00041"
"4472","C1yr_A2yr",0.010983509046206,"Otu00019"
"4473","C1yr_A2yr",0.010855228605691,"Otu00044"
"4474","C1yr_A2yr",0.010687749107504,"Otu00024"
"4475","C1yr_A2yr",0.010462859968963,"Otu00020"
"5941","C1yr_C2yr",0.0847762750836943,"Otu00001"
"5942","C1yr_C2yr",0.0683510946523117,"Otu00003"
"5943","C1yr_C2yr",0.057088558483304,"Otu00002"
"5944","C1yr_C2yr",0.055188952238114,"Otu00004"
