"","Comparison","SIMPER","OTU"
"1","A8w_B8w",0.13359683391258,"Otu00037"
"2","A8w_B8w",0.103326094160498,"Otu00046"
"3","A8w_B8w",0.10292598584522,"Otu00014"
"4","A8w_B8w",0.045780683845758,"Otu00076"
"5","A8w_B8w",0.044393390395885,"Otu00066"
"6","A8w_B8w",0.039537863321336,"Otu00058"
"7","A8w_B8w",0.036995125414888,"Otu00007"
"8","A8w_B8w",0.035387434112685,"Otu00003"
"9","A8w_B8w",0.033988494927493,"Otu00061"
"10","A8w_B8w",0.0249711391304019,"Otu00035"
"11","A8w_B8w",0.023632850642767,"Otu00012"
"12","A8w_B8w",0.021530377459691,"Otu00002"
"13","A8w_B8w",0.020736269096571,"Otu00024"
"14","A8w_B8w",0.0201315989469381,"Otu00008"
"15","A8w_B8w",0.01942208636389,"Otu00005"
"16","A8w_B8w",0.018514837810191,"Otu00001"
"17","A8w_B8w",0.017335358042789,"Otu00004"
"18","A8w_B8w",0.014545095723805,"Otu00010"
"19","A8w_B8w",0.013872855072446,"Otu00056"
"20","A8w_B8w",0.013206593006252,"Otu00013"
"21","A8w_B8w",0.012497098275697,"Otu00006"
"22","A8w_B8w",0.012234171044344,"Otu00175"
"1486","A8w_C8w",0.223416016757126,"Otu00046"
"1487","A8w_C8w",0.151001601143219,"Otu00037"
"1488","A8w_C8w",0.056220522427952,"Otu00001"
"1489","A8w_C8w",0.055932107974988,"Otu00076"
"1490","A8w_C8w",0.050196716383496,"Otu00058"
"1491","A8w_C8w",0.050174648402895,"Otu00066"
"1492","A8w_C8w",0.040766901827351,"Otu00007"
"1493","A8w_C8w",0.031528095083813,"Otu00002"
"1494","A8w_C8w",0.0259577393810561,"Otu00510"
"1495","A8w_C8w",0.022024748565745,"Otu00605"
"1496","A8w_C8w",0.018916857050288,"Otu00004"
"1497","A8w_C8w",0.0170620766404169,"Otu04026"
"1498","A8w_C8w",0.0165395964801081,"Otu00003"
"1499","A8w_C8w",0.014187642787715,"Otu00006"
"1500","A8w_C8w",0.014187642787716,"Otu00019"
"1501","A8w_C8w",0.014087812380405,"Otu00175"
"1502","A8w_C8w",0.010985601025628,"Otu00145"
"2971","A8w_A1yr",0.136089561294583,"Otu00037"
"2972","A8w_A1yr",0.105254660726198,"Otu00046"
"2973","A8w_A1yr",0.04663521556265,"Otu00076"
"2974","A8w_A1yr",0.045587076016584,"Otu00007"
"2975","A8w_A1yr",0.045222027212267,"Otu00066"
"2976","A8w_A1yr",0.044509828855152,"Otu00008"
"2977","A8w_A1yr",0.042839833963823,"Otu00001"
"2978","A8w_A1yr",0.040275867985925,"Otu00058"
"2979","A8w_A1yr",0.038203904092133,"Otu00005"
"2980","A8w_A1yr",0.038202488901261,"Otu00003"
"2981","A8w_A1yr",0.0336818147104659,"Otu00015"
"2982","A8w_A1yr",0.0330734949958891,"Otu00002"
"2983","A8w_A1yr",0.026588548375556,"Otu00006"
"2984","A8w_A1yr",0.025897816243626,"Otu00014"
"2985","A8w_A1yr",0.025117352144834,"Otu00010"
"2986","A8w_A1yr",0.017185234988346,"Otu00021"
"2987","A8w_A1yr",0.0168597093766939,"Otu00020"
"2988","A8w_A1yr",0.0159074294372871,"Otu00013"
"2989","A8w_A1yr",0.0126966914344809,"Otu00175"
"2990","A8w_A1yr",0.011847274299156,"Otu00012"
"2991","A8w_A1yr",0.0111097553056231,"Otu00016"
"4456","A8w_A2yr",0.133384967022417,"Otu00037"
"4457","A8w_A2yr",0.103162373526159,"Otu00046"
"4458","A8w_A2yr",0.092978485560941,"Otu00003"
"4459","A8w_A2yr",0.087528502628584,"Otu00001"
"4460","A8w_A2yr",0.070823765327401,"Otu00002"
"4461","A8w_A2yr",0.062748890411622,"Otu00004"
"4462","A8w_A2yr",0.049562567950754,"Otu00006"
"4463","A8w_A2yr",0.045708153261463,"Otu00076"
"4464","A8w_A2yr",0.044323057708085,"Otu00066"
"4465","A8w_A2yr",0.039475223271263,"Otu00058"
"4466","A8w_A2yr",0.037577382975808,"Otu00011"
"4467","A8w_A2yr",0.036012484387819,"Otu00007"
"4468","A8w_A2yr",0.033068667718485,"Otu00019"
"4469","A8w_A2yr",0.020631930831299,"Otu00012"
"4470","A8w_A2yr",0.012444350611601,"Otu00175"
"5941","A8w_C1yr",0.134922709572821,"Otu00037"
"5942","A8w_C1yr",0.104351642221207,"Otu00046"
"5943","A8w_C1yr",0.057614223261895,"Otu00009"
"5944","A8w_C1yr",0.048113312359597,"Otu00001"
"5945","A8w_C1yr",0.046235079346729,"Otu00076"
"5946","A8w_C1yr",0.044834016336222,"Otu00066"
"5947","A8w_C1yr",0.042390658657507,"Otu00007"
"5948","A8w_C1yr",0.042167250041952,"Otu00003"
"5949","A8w_C1yr",0.039930295799447,"Otu00058"
"5950","A8w_C1yr",0.02608660820066,"Otu00008"
"5951","A8w_C1yr",0.026000873990253,"Otu00002"
"5952","A8w_C1yr",0.024424449940467,"Otu00013"
"5953","A8w_C1yr",0.0217681859151291,"Otu00010"
"5954","A8w_C1yr",0.0166808427184859,"Otu00006"
"5955","A8w_C1yr",0.0160314650709831,"Otu00025"
"5956","A8w_C1yr",0.015825827035358,"Otu00005"
"5957","A8w_C1yr",0.013510894417886,"Otu00026"
"5958","A8w_C1yr",0.013448342488261,"Otu00021"
"5959","A8w_C1yr",0.013416711449686,"Otu00018"
"5960","A8w_C1yr",0.013331806437942,"Otu00011"
"5961","A8w_C1yr",0.013021238075428,"Otu00015"
"5962","A8w_C1yr",0.012587815467015,"Otu00175"
"5963","A8w_C1yr",0.012582189011579,"Otu00020"
"5964","A8w_C1yr",0.012115566184467,"Otu00012"
"7426","A8w_C2yr",0.132945773020048,"Otu00037"
"7427","A8w_C2yr",0.102821948977158,"Otu00046"
"7428","A8w_C2yr",0.085352657226566,"Otu00002"
"7429","A8w_C2yr",0.083792554904205,"Otu00001"
"7430","A8w_C2yr",0.082969092902595,"Otu00003"
"7431","A8w_C2yr",0.075343866418659,"Otu00004"
"7432","A8w_C2yr",0.045557273284333,"Otu00076"
"7433","A8w_C2yr",0.044176749851473,"Otu00066"
"7434","A8w_C2yr",0.0396889204159809,"Otu00058"
"7435","A8w_C2yr",0.036555786215816,"Otu00006"
"7436","A8w_C2yr",0.0358936092543231,"Otu00007"
"7437","A8w_C2yr",0.0305075190241879,"Otu00011"
"7438","A8w_C2yr",0.0124033581819341,"Otu00175"
"7439","A8w_C2yr",0.01034532519557,"Otu00012"
"8911","A8w_B1yr",0.135753492398747,"Otu00037"
"8912","A8w_B1yr",0.10499497987623,"Otu00046"
"8913","A8w_B1yr",0.084731912917525,"Otu00003"
"8914","A8w_B1yr",0.066203851882508,"Otu00005"
"8915","A8w_B1yr",0.053582301153184,"Otu00001"
"8916","A8w_B1yr",0.046520174340191,"Otu00076"
"8917","A8w_B1yr",0.045110472087458,"Otu00066"
"8918","A8w_B1yr",0.043375734211658,"Otu00007"
"8919","A8w_B1yr",0.040355002656185,"Otu00058"
"8920","A8w_B1yr",0.0282553855503801,"Otu00002"
"8921","A8w_B1yr",0.022788695774298,"Otu00018"
"8922","A8w_B1yr",0.021489165083375,"Otu00010"
"8923","A8w_B1yr",0.019690562887906,"Otu00006"
"8924","A8w_B1yr",0.0196759741080149,"Otu00014"
"8925","A8w_B1yr",0.0166450286889891,"Otu00020"
"8926","A8w_B1yr",0.01617578767928,"Otu00015"
"8927","A8w_B1yr",0.015524850846937,"Otu00021"
"8928","A8w_B1yr",0.013336952619185,"Otu00013"
"8929","A8w_B1yr",0.012858587058018,"Otu00016"
"8930","A8w_B1yr",0.012665342943769,"Otu00175"
"8931","A8w_B1yr",0.011442785433405,"Otu00031"
"10396","A8w_B2yr",0.133639199665724,"Otu00037"
"10397","A8w_B2yr",0.103359358282729,"Otu00046"
"10398","A8w_B2yr",0.073223242220501,"Otu00006"
"10399","A8w_B2yr",0.055016262922863,"Otu00003"
