"","Comparison","SIMPER","OTU"
"1","A8w_B8w",0.135069480971306,"Otu00014"
"2","A8w_B8w",0.105904556117077,"Otu00012"
"3","A8w_B8w",0.084322730978133,"Otu00002"
"4","A8w_B8w",0.078684026966848,"Otu00046"
"5","A8w_B8w",0.060237776793851,"Otu00001"
"6","A8w_B8w",0.05637416786733,"Otu00037"
"7","A8w_B8w",0.037834558801905,"Otu00103"
"8","A8w_B8w",0.034196620455568,"Otu00076"
"9","A8w_B8w",0.024944422496518,"Otu00202"
"10","A8w_B8w",0.023477103526135,"Otu00066"
"11","A8w_B8w",0.022009784555752,"Otu00360"
"12","A8w_B8w",0.019101713439807,"Otu00004"
"13","A8w_B8w",0.016897669581368,"Otu00199"
"14","A8w_B8w",0.016162988295222,"Otu00025"
"15","A8w_B8w",0.0153322113535,"Otu00010"
"16","A8w_B8w",0.01382416571608,"Otu00145"
"17","A8w_B8w",0.0116816848407619,"Otu00024"
"1486","A8w_C8w",0.191467133792855,"Otu00005"
"1487","A8w_C8w",0.097755216410185,"Otu00046"
"1488","A8w_C8w",0.069468196620975,"Otu00012"
"1489","A8w_C8w",0.066141016029796,"Otu00076"
"1490","A8w_C8w",0.059433901553501,"Otu00037"
"1491","A8w_C8w",0.039889751812982,"Otu00103"
"1492","A8w_C8w",0.0356532965180769,"Otu00019"
"1493","A8w_C8w",0.0310028665374581,"Otu00015"
"1494","A8w_C8w",0.0278373316970579,"Otu00202"
"1495","A8w_C8w",0.0247509784354371,"Otu00066"
"1496","A8w_C8w",0.0232040422832229,"Otu00360"
"1497","A8w_C8w",0.018532380561553,"Otu00002"
"1498","A8w_C8w",0.018455389041974,"Otu00145"
"1499","A8w_C8w",0.011816765980831,"Otu00359"
"1500","A8w_C8w",0.011275848134129,"Otu00393"
"1501","A8w_C8w",0.011072968726978,"Otu00505"
"1502","A8w_C8w",0.010761631130622,"Otu00529"
"2971","A8w_A1yr",0.0771827194231913,"Otu00046"
"2972","A8w_A1yr",0.0682819194564737,"Otu00012"
"2973","A8w_A1yr",0.055732819551869,"Otu00001"
"2974","A8w_A1yr",0.055301046068008,"Otu00037"
"2975","A8w_A1yr",0.050269584217477,"Otu00008"
"2976","A8w_A1yr",0.050079023161028,"Otu00003"
"2977","A8w_A1yr",0.042999958473454,"Otu00007"
"2978","A8w_A1yr",0.042948934889066,"Otu00005"
"2979","A8w_A1yr",0.040746211729389,"Otu00002"
"2980","A8w_A1yr",0.037112208668639,"Otu00103"
"2981","A8w_A1yr",0.033543727065885,"Otu00076"
"2982","A8w_A1yr",0.024470062816543,"Otu00202"
"2983","A8w_A1yr",0.023264109301157,"Otu00015"
"2984","A8w_A1yr",0.0230306473567451,"Otu00066"
"2985","A8w_A1yr",0.02159123189695,"Otu00360"
"2986","A8w_A1yr",0.021590724802803,"Otu00006"
"2987","A8w_A1yr",0.020629250941849,"Otu00010"
"2988","A8w_A1yr",0.017199392427548,"Otu00013"
"2989","A8w_A1yr",0.01369761081752,"Otu00027"
"2990","A8w_A1yr",0.013560230090464,"Otu00145"
"2991","A8w_A1yr",0.012894815742069,"Otu00016"
"2992","A8w_A1yr",0.0122019081867331,"Otu00022"
"4456","A8w_A2yr",0.110416533966254,"Otu00001"
"4457","A8w_A2yr",0.079964096282963,"Otu00004"
"4458","A8w_A2yr",0.078499940703587,"Otu00002"
"4459","A8w_A2yr",0.07802487608502,"Otu00046"
"4460","A8w_A2yr",0.072364916585012,"Otu00012"
"4461","A8w_A2yr",0.05590390735682,"Otu00037"
"4462","A8w_A2yr",0.051835651921803,"Otu00003"
"4463","A8w_A2yr",0.050653872583426,"Otu00006"
"4464","A8w_A2yr",0.0405623475239379,"Otu00011"
"4465","A8w_A2yr",0.037517246423858,"Otu00103"
"4466","A8w_A2yr",0.034079036198577,"Otu00019"
"4467","A8w_A2yr",0.0339098188831021,"Otu00076"
"4468","A8w_A2yr",0.024736719692083,"Otu00202"
"4469","A8w_A2yr",0.0232816185337249,"Otu00066"
"4470","A8w_A2yr",0.021826517375368,"Otu00360"
"4471","A8w_A2yr",0.0137082246548701,"Otu00145"
"5941","A8w_C1yr",0.0767453041008488,"Otu00046"
"5942","A8w_C1yr",0.0756941510819712,"Otu00009"
"5943","A8w_C1yr",0.073001633731483,"Otu00001"
"5944","A8w_C1yr",0.067475229143601,"Otu00012"
"5945","A8w_C1yr",0.054986353849396,"Otu00037"
"5946","A8w_C1yr",0.036902119016135,"Otu00103"
"5947","A8w_C1yr",0.036488821493505,"Otu00002"
"5948","A8w_C1yr",0.033474723540473,"Otu00003"
"5949","A8w_C1yr",0.033353838341506,"Otu00076"
"5950","A8w_C1yr",0.03133028366249,"Otu00007"
"5951","A8w_C1yr",0.024330571788179,"Otu00202"
"5952","A8w_C1yr",0.0237954846233329,"Otu00013"
"5953","A8w_C1yr",0.0237876208333351,"Otu00005"
"5954","A8w_C1yr",0.022899361682992,"Otu00066"
"5955","A8w_C1yr",0.0223141395038889,"Otu00025"
"5956","A8w_C1yr",0.021468151577805,"Otu00360"
"5957","A8w_C1yr",0.019675393836276,"Otu00010"
"5958","A8w_C1yr",0.013483466563588,"Otu00145"
"5959","A8w_C1yr",0.012694214076194,"Otu00006"
"5960","A8w_C1yr",0.011646868576228,"Otu00026"
"5961","A8w_C1yr",0.0110977401989341,"Otu00016"
"5962","A8w_C1yr",0.0107502040900139,"Otu00011"
"5963","A8w_C1yr",0.010027170396537,"Otu00015"
"7426","A8w_C2yr",0.104727745082851,"Otu00001"
"7427","A8w_C2yr",0.094474154240814,"Otu00004"
"7428","A8w_C2yr",0.093573997902414,"Otu00002"
"7429","A8w_C2yr",0.077331268309936,"Otu00046"
"7430","A8w_C2yr",0.068104314007279,"Otu00012"
"7431","A8w_C2yr",0.055406429269602,"Otu00037"
"7432","A8w_C2yr",0.046705536816248,"Otu00003"
"7433","A8w_C2yr",0.037183828578937,"Otu00103"
"7434","A8w_C2yr",0.035216633574327,"Otu00006"
"7435","A8w_C2yr",0.0336084604463469,"Otu00076"
"7436","A8w_C2yr",0.0290937929099431,"Otu00011"
"7437","A8w_C2yr",0.024516494649221,"Otu00202"
"7438","A8w_C2yr",0.023074347905149,"Otu00066"
"7439","A8w_C2yr",0.021632201161078,"Otu00360"
"7440","A8w_C2yr",0.0135863989038421,"Otu00145"
"7441","A8w_C2yr",0.0102348659399669,"Otu00016"
"8911","A8w_B1yr",0.103570765406083,"Otu00001"
"8912","A8w_B1yr",0.077252043093053,"Otu00046"
"8913","A8w_B1yr",0.075883174193184,"Otu00005"
"8914","A8w_B1yr",0.066305141378346,"Otu00012"
