"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0234383136840848	0.022	0.033
"A_C"	0.00300621167919258	0.806	0.806
"B_C"	0.0405143364718767	0.001	0.003
"2w_4w"	0.0197303849261178	0.148	0.185
"2w_8w"	0.0106966659727107	0.459	0.459
"2w_1yr"	0.404874077817467	0.001	0.00142857142857143
"2w_2yr"	0.414547157115851	0.001	0.00142857142857143
"4w_8w"	0.0173129118056023	0.207	0.23
"4w_1yr"	0.513913065431974	0.001	0.00142857142857143
"4w_2yr"	0.506136913426398	0.001	0.00142857142857143
"8w_1yr"	0.42320484896063	0.001	0.00142857142857143
"8w_2yr"	0.426519874909942	0.001	0.00142857142857143
"1yr_2yr"	0.37867010141952	0.001	0.00142857142857143
"A2w_A4w"	0.03223971356643	0.452	0.489278350515464
"A2w_A8w"	0.123741129659485	0.042	0.0565384615384615
"A2w_B2w"	0.0327544873116012	0.397	0.443457446808511
"A2w_B4w"	0.0141056476286097	0.859	0.875679611650485
"A2w_B8w"	0.132729497219446	0.004	0.00608695652173913
"A2w_C2w"	0.0235669744005002	0.673	0.70665
"A2w_C4w"	0.0554980091681368	0.167	0.211265060240964
"A2w_C8w"	0.0307695691325254	0.539	0.5775
"A2w_C1yr"	0.444675915413418	0.001	0.00159090909090909
"A2w_B1yr"	0.47167902716167	0.001	0.00159090909090909
"A2w_B2yr"	0.470420388246593	0.001	0.00159090909090909
"A2w_A1yr"	0.46672370260589	0.001	0.00159090909090909
"A2w_A2yr"	0.517665330328816	0.001	0.00159090909090909
"A2w_C2yr"	0.434697617886406	0.001	0.00159090909090909
"A4w_A8w"	0.147986288120061	0.02	0.0287671232876712
"A4w_B2w"	0.0889782795600359	0.06	0.079746835443038
"A4w_B4w"	0.0374253206160941	0.335	0.386538461538462
"A4w_B8w"	0.189735493256305	0.001	0.00159090909090909
"A4w_C2w"	0.0175316862910773	0.753	0.782821782178218
"A4w_C4w"	0.0508681040027223	0.194	0.236860465116279
"A4w_C8w"	0.0476088474293709	0.258	0.307840909090909
"A4w_C1yr"	0.537401446158641	0.001	0.00159090909090909
"A4w_B1yr"	0.567586111560614	0.001	0.00159090909090909
"A4w_B2yr"	0.525690714075702	0.001	0.00159090909090909
"A4w_A1yr"	0.558735485271648	0.001	0.00159090909090909
"A4w_A2yr"	0.581803847994269	0.001	0.00159090909090909
"A4w_C2yr"	0.49343507889384	0.001	0.00159090909090909
"A8w_B2w"	0.202313384637398	0.005	0.0075
"A8w_B4w"	0.162706955025047	0.007	0.0103521126760563
"A8w_B8w"	0.350194565434141	0.001	0.00159090909090909
"A8w_C2w"	0.0898658576505055	0.103	0.133518518518519
"A8w_C4w"	0.0697970214491393	0.036	0.0497368421052632
"A8w_C8w"	0.0701846855641237	0.173	0.21625
"A8w_C1yr"	0.773525408340861	0.001	0.00159090909090909
"A8w_B1yr"	0.817137318781919	0.001	0.00159090909090909
"A8w_B2yr"	0.804513489541384	0.001	0.00159090909090909
"A8w_A1yr"	0.801298362056935	0.001	0.00159090909090909
"A8w_A2yr"	0.883911199819742	0.001	0.00159090909090909
"A8w_C2yr"	0.803455913881699	0.001	0.00159090909090909
"B2w_B4w"	0.024250056939735	0.563	0.597121212121212
"B2w_B8w"	0.0525595169258893	0.199	0.240172413793103
"B2w_C2w"	0.072140000819085	0.102	0.133518518518519
"B2w_C4w"	0.148259580310608	0.008	0.0116666666666667
"B2w_C8w"	0.105562059504367	0.042	0.0565384615384615
"B2w_C1yr"	0.307022444172243	0.001	0.00159090909090909
"B2w_B1yr"	0.322190434774673	0.001	0.00159090909090909
"B2w_B2yr"	0.334462782218839	0.001	0.00159090909090909
"B2w_A1yr"	0.316143795169135	0.001	0.00159090909090909
"B2w_A2yr"	0.368742632677266	0.001	0.00159090909090909
"B2w_C2yr"	0.295400777115937	0.001	0.00159090909090909
"B4w_B8w"	0.0974760136680894	0.03	0.042
"B4w_C2w"	0.0415884642895138	0.313	0.365166666666667
"B4w_C4w"	0.0930937473530054	0.024	0.0340540540540541
"B4w_C8w"	0.0634721568369003	0.139	0.177987804878049
