"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.021061590045713	0.025	0.0375
"A_C"	0.0046411631790968	0.703	0.703
"B_C"	0.0353525846186622	0.001	0.003
"2w_4w"	0.0187713173936509	0.128	0.16
"2w_8w"	0.0112124079577819	0.452	0.452
"2w_1yr"	0.324539279600234	0.001	0.00142857142857143
"2w_2yr"	0.339678728705711	0.001	0.00142857142857143
"4w_8w"	0.018912248919421	0.147	0.163333333333333
"4w_1yr"	0.397285255517681	0.001	0.00142857142857143
"4w_2yr"	0.400494321971961	0.001	0.00142857142857143
"8w_1yr"	0.343137139753379	0.001	0.00142857142857143
"8w_2yr"	0.354042507734934	0.001	0.00142857142857143
"1yr_2yr"	0.27779681901405	0.001	0.00142857142857143
"A2w_A4w"	0.0294005718022607	0.514	0.550714285714286
"A2w_A8w"	0.122575453575384	0.029	0.0400657894736842
"A2w_B2w"	0.0306038083499482	0.461	0.50421875
"A2w_B4w"	0.01965136041933	0.841	0.849086538461538
"A2w_B8w"	0.113111376609684	0.013	0.0186986301369863
"A2w_C2w"	0.0223349141418495	0.731	0.7525
"A2w_C4w"	0.0581767059106469	0.13	0.1625
"A2w_C8w"	0.0352928008953447	0.458	0.50421875
"A2w_C1yr"	0.349091194851577	0.001	0.00156716417910448
"A2w_B1yr"	0.382621883647823	0.001	0.00156716417910448
"A2w_B2yr"	0.373508734746531	0.001	0.00156716417910448
"A2w_A1yr"	0.374955161412151	0.001	0.00156716417910448
"A2w_A2yr"	0.429071248898272	0.001	0.00156716417910448
"A2w_C2yr"	0.35055589787614	0.001	0.00156716417910448
"A4w_A8w"	0.136855003923717	0.01	0.0145833333333333
"A4w_B2w"	0.0680273639721946	0.068	0.08925
"A4w_B4w"	0.0316942469234755	0.421	0.475322580645161
"A4w_B8w"	0.152043990085565	0.003	0.00456521739130435
"A4w_C2w"	0.0235856952452249	0.719	0.747475247524752
"A4w_C4w"	0.0536951851021782	0.123	0.155602409638554
"A4w_C8w"	0.0503978036262921	0.181	0.218448275862069
"A4w_C1yr"	0.402371019477325	0.001	0.00156716417910448
"A4w_B1yr"	0.437324766172298	0.001	0.00156716417910448
"A4w_B2yr"	0.401145605528525	0.001	0.00156716417910448
"A4w_A1yr"	0.427872153399757	0.001	0.00156716417910448
"A4w_A2yr"	0.461414638225461	0.001	0.00156716417910448
"A4w_C2yr"	0.378193194749326	0.001	0.00156716417910448
"A8w_B2w"	0.19188631019699	0.001	0.00156716417910448
"A8w_B4w"	0.16092660026771	0.006	0.00887323943661972
"A8w_B8w"	0.323486937679267	0.001	0.00156716417910448
"A8w_C2w"	0.0886974855281368	0.055	0.0731012658227848
"A8w_C4w"	0.0913258022810215	0.02	0.0283783783783784
"A8w_C8w"	0.070490480719658	0.156	0.192705882352941
"A8w_C1yr"	0.6477402466607	0.001	0.00156716417910448
"A8w_B1yr"	0.699840835528899	0.001	0.00156716417910448
"A8w_B2yr"	0.68152340273167	0.001	0.00156716417910448
"A8w_A1yr"	0.683975784726083	0.001	0.00156716417910448
"A8w_A2yr"	0.77291692818953	0.001	0.00156716417910448
"A8w_C2yr"	0.694115907135315	0.001	0.00156716417910448
"B2w_B4w"	0.0251065603871909	0.591	0.626818181818182
"B2w_B8w"	0.048317227289036	0.227	0.267808988764045
"B2w_C2w"	0.0636655040236354	0.117	0.149817073170732
"B2w_C4w"	0.132184979384554	0.005	0.0075
"B2w_C8w"	0.0952166864066567	0.034	0.0463636363636364
"B2w_C1yr"	0.247363420038184	0.001	0.00156716417910448
"B2w_B1yr"	0.272082879369325	0.001	0.00156716417910448
"B2w_B2yr"	0.274122137204957	0.001	0.00156716417910448
"B2w_A1yr"	0.26317961669437	0.001	0.00156716417910448
"B2w_A2yr"	0.318706023809276	0.001	0.00156716417910448
"B2w_C2yr"	0.246763380071021	0.001	0.00156716417910448
"B4w_B8w"	0.0818659952507896	0.026	0.0364
"B4w_C2w"	0.04353535386589	0.278	0.324333333333333
"B4w_C4w"	0.0842210409792827	0.038	0.0511538461538462
"B4w_C8w"	0.0663716493818426	0.081	0.105
"B4w_C1yr"	0.295962335477228	0.001	0.00156716417910448
"B4w_B1yr"	0.322883565276585	0.001	0.00156716417910448
"B4w_B2yr"	0.309966398782705	0.001	0.00156716417910448
"B4w_A1yr"	0.315978949430542	0.001	0.00156716417910448
"B4w_A2yr"	0.35768913701098	0.001	0.00156716417910448
"B4w_C2yr"	0.285290463749522	0.001	0.00156716417910448
"B8w_C2w"	0.161170227688995	0.002	0.00308823529411765
"B8w_C4w"	0.243542289599575	0.001	0.00156716417910448
"B8w_C8w"	0.195157674450497	0.001	0.00156716417910448
"B8w_C1yr"	0.17500789824896	0.001	0.00156716417910448
"B8w_B1yr"	0.20414294062594	0.001	0.00156716417910448
"B8w_B2yr"	0.19061710630643	0.001	0.00156716417910448
"B8w_A1yr"	0.200566087011179	0.001	0.00156716417910448
"B8w_A2yr"	0.229148413761053	0.001	0.00156716417910448
"B8w_C2yr"	0.169874453330057	0.001	0.00156716417910448
"C2w_C4w"	0.0476442655008632	0.173	0.211220930232558
"C2w_C8w"	0.0340030041528616	0.501	0.542319587628866
"C2w_C1yr"	0.408674296970394	0.001	0.00156716417910448
"C2w_B1yr"	0.443789113634969	0.001	0.00156716417910448
"C2w_B2yr"	0.423008548493531	0.001	0.00156716417910448
"C2w_A1yr"	0.432098201814288	0.001	0.00156716417910448
"C2w_A2yr"	0.486634910686808	0.001	0.00156716417910448
"C2w_C2yr"	0.403035472605139	0.001	0.00156716417910448
"C4w_C8w"	0.0271222588965983	0.599	0.62895
"C4w_C1yr"	0.526608322796454	0.001	0.00156716417910448
"C4w_B1yr"	0.570088324045209	0.001	0.00156716417910448
"C4w_B2yr"	0.548211620966293	0.001	0.00156716417910448
"C4w_A1yr"	0.559480253236651	0.001	0.00156716417910448
"C4w_A2yr"	0.618834201979701	0.001	0.00156716417910448
"C4w_C2yr"	0.533202985898606	0.001	0.00156716417910448
"C8w_C1yr"	0.468814991989657	0.001	0.00156716417910448
"C8w_B1yr"	0.511442450188076	0.001	0.00156716417910448
