"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0262781338544439	0.219	0.63
"A_C"	0.0126806298350391	0.63	0.63
"B_C"	0.0133790190451196	0.63	0.63
"8w_1yr"	0.431949313291969	0.001	0.001
"8w_2yr"	0.430202536692679	0.001	0.001
"1yr_2yr"	0.217180255092014	0.001	0.001
"A8w_B8w"	0.468928849468166	0.1	0.116129032258065
"A8w_C8w"	0.231859785042896	0.4	0.423529411764706
"A8w_A1yr"	0.664807027926968	0.003	0.006
"A8w_A2yr"	0.88718725090561	0.001	0.0045
"A8w_C1yr"	0.622695691591233	0.002	0.00553846153846154
"A8w_C2yr"	0.585710969649116	0.005	0.0075
"A8w_B1yr"	0.64498814012934	0.002	0.00553846153846154
"A8w_B2yr"	0.558557850854401	0.001	0.0045
"B8w_C8w"	0.455072106088557	0.1	0.116129032258065
"B8w_A1yr"	0.270368369327264	0.014	0.0173793103448276
"B8w_A2yr"	0.475082629137615	0.003	0.006
"B8w_C1yr"	0.257866545359749	0.008	0.0106666666666667
"B8w_C2yr"	0.270364160795267	0.004	0.00685714285714286
"B8w_B1yr"	0.24144886953374	0.009	0.0115714285714286
"B8w_B2yr"	0.265852356037008	0.005	0.0075
"C8w_A1yr"	0.653935101977567	0.005	0.0075
"C8w_A2yr"	0.875518016671046	0.004	0.00685714285714286
"C8w_C1yr"	0.60887427001257	0.002	0.00553846153846154
"C8w_C2yr"	0.567765265603448	0.003	0.006
"C8w_B1yr"	0.63294696052602	0.006	0.00864
"C8w_B2yr"	0.537785186889652	0.002	0.00553846153846154
"A1yr_A2yr"	0.43116759692928	0.001	0.0045
"A1yr_C1yr"	0.0553632580538805	0.263	0.286909090909091
"A1yr_C2yr"	0.2207971069128	0.001	0.0045
"A1yr_B1yr"	0.0187375626706792	0.837	0.837
"A1yr_B2yr"	0.288365688736713	0.001	0.0045
"A2yr_C1yr"	0.295649031753642	0.002	0.00553846153846154
"A2yr_C2yr"	0.167484697025701	0.007	0.00969230769230769
"A2yr_B1yr"	0.41724775408397	0.001	0.0045
"A2yr_B2yr"	0.169333070914441	0.003	0.006
"C1yr_C2yr"	0.159193888565084	0.004	0.00685714285714286
"C1yr_B1yr"	0.0556254674254905	0.243	0.273375
"C1yr_B2yr"	0.215584523592588	0.001	0.0045
"C2yr_B1yr"	0.19696219275599	0.003	0.006
"C2yr_B2yr"	0.0261827466932311	0.596	0.613028571428571
"B1yr_B2yr"	0.266002347208257	0.001	0.0045
