"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.030031154797583	0.109	0.327
"A_C"	0.0219152987391646	0.324	0.486
"B_C"	0.0177268839592637	0.493	0.493
"8w_1yr"	0.307261210812094	0.001	0.001
"8w_2yr"	0.316900941144635	0.001	0.001
"1yr_2yr"	0.16546597218	0.001	0.001
"A8w_B8w"	0.463557959265891	0.1	0.116129032258065
"A8w_C8w"	0.234894854644085	0.4	0.411428571428571
"A8w_A1yr"	0.498568405877091	0.004	0.006
"A8w_A2yr"	0.748544338135068	0.004	0.006
"A8w_C1yr"	0.473465275461227	0.005	0.00692307692307692
"A8w_C2yr"	0.449244584532387	0.005	0.00692307692307692
"A8w_B1yr"	0.484194423498188	0.002	0.00514285714285714
"A8w_B2yr"	0.434886988708003	0.003	0.0054
"B8w_C8w"	0.445086547955085	0.1	0.116129032258065
"B8w_A1yr"	0.211459680275545	0.006	0.00771428571428572
"B8w_A2yr"	0.410447991316579	0.003	0.0054
"B8w_C1yr"	0.204203929560907	0.003	0.0054
"B8w_C2yr"	0.212090596724455	0.012	0.0148965517241379
"B8w_B1yr"	0.194136038607985	0.004	0.006
"B8w_B2yr"	0.210563982570064	0.006	0.00771428571428572
"C8w_A1yr"	0.486963135948669	0.003	0.0054
"C8w_A2yr"	0.731218577308008	0.003	0.0054
"C8w_C1yr"	0.460565961422991	0.002	0.00514285714285714
"C8w_C2yr"	0.434454841534548	0.003	0.0054
"C8w_B1yr"	0.472168073886655	0.002	0.00514285714285714
"C8w_B2yr"	0.418759326167257	0.002	0.00514285714285714
"A1yr_A2yr"	0.352713202947283	0.001	0.0036
"A1yr_C1yr"	0.0572732880039206	0.249	0.271636363636364
"A1yr_C2yr"	0.170834275441364	0.001	0.0036
"A1yr_B1yr"	0.022939098959745	0.827	0.827
"A1yr_B2yr"	0.227585403093901	0.001	0.0036
"A2yr_C1yr"	0.27285636445651	0.001	0.0036
"A2yr_C2yr"	0.171320203019972	0.001	0.0036
"A2yr_B1yr"	0.341436396619053	0.001	0.0036
"A2yr_B2yr"	0.173877146053021	0.001	0.0036
"C1yr_C2yr"	0.132818060193264	0.004	0.006
"C1yr_B1yr"	0.0572525318590556	0.225	0.253125
"C1yr_B2yr"	0.178197061283566	0.001	0.0036
"C2yr_B1yr"	0.157741463516577	0.001	0.0036
"C2yr_B2yr"	0.0454556800882051	0.353	0.373764705882353
"B1yr_B2yr"	0.21319668704128	0.001	0.0036
