"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.024248250094243	0.269	0.653
"A_C"	0.0110481156881983	0.653	0.653
"B_C"	0.0127404856194936	0.62	0.653
"8w_1yr"	0.482774578707464	0.001	0.001
"8w_2yr"	0.43166768243969	0.001	0.001
"1yr_2yr"	0.430708513299638	0.001	0.001
"A8w_B8w"	0.581439501170304	0.1	0.116129032258065
"A8w_C8w"	0.273585860817962	0.2	0.225
"A8w_A1yr"	0.808804463540152	0.005	0.00782608695652174
"A8w_A2yr"	0.907129632049837	0.009	0.01296
"A8w_C1yr"	0.798969216577008	0.003	0.0072
"A8w_C2yr"	0.654626663607371	0.003	0.0072
"A8w_B1yr"	0.834666621744288	0.001	0.0036
"A8w_B2yr"	0.703890790470957	0.002	0.006
"B8w_C8w"	0.513810021900002	0.1	0.116129032258065
"B8w_A1yr"	0.281240041990416	0.01	0.0133333333333333
"B8w_A2yr"	0.413051252229721	0.003	0.0072
"B8w_C1yr"	0.28255378037214	0.005	0.00782608695652174
"B8w_C2yr"	0.256869297544158	0.005	0.00782608695652174
"B8w_B1yr"	0.312651141603635	0.01	0.0133333333333333
"B8w_B2yr"	0.302273435269874	0.004	0.00782608695652174
"C8w_A1yr"	0.754763277631299	0.004	0.00782608695652174
"C8w_A2yr"	0.860338293564702	0.002	0.006
"C8w_C1yr"	0.743591963571937	0.008	0.012
"C8w_C2yr"	0.59788336550532	0.005	0.00782608695652174
"C8w_B1yr"	0.778482321586475	0.005	0.00782608695652174
"C8w_B2yr"	0.64962253606186	0.004	0.00782608695652174
"A1yr_A2yr"	0.548782800206919	0.001	0.0036
"A1yr_C1yr"	0.0393659441189217	0.475	0.502941176470588
"A1yr_C2yr"	0.434018649395516	0.001	0.0036
"A1yr_B1yr"	0.0543881040382669	0.299	0.326181818181818
"A1yr_B2yr"	0.502184976030241	0.001	0.0036
"A2yr_C1yr"	0.515556470844745	0.001	0.0036
"A2yr_C2yr"	0.104306708468258	0.093	0.115448275862069
"A2yr_B1yr"	0.530293772685236	0.001	0.0036
"A2yr_B2yr"	0.186498850094471	0.014	0.018
"C1yr_C2yr"	0.406804809894497	0.001	0.0036
"C1yr_B1yr"	0.0326225164542959	0.597	0.597
"C1yr_B2yr"	0.479054557238362	0.001	0.0036
"C2yr_B1yr"	0.4100750545699	0.001	0.0036
"C2yr_B2yr"	0.0262128001989631	0.552	0.567771428571429
"B1yr_B2yr"	0.490769803780286	0.001	0.0036
