"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0277026771105343	0.139	0.417
"A_C"	0.0174898877171571	0.412	0.599
"B_C"	0.0143335514826415	0.599	0.599
"8w_1yr"	0.37137194566566	0.001	0.001
"8w_2yr"	0.325924838908308	0.001	0.001
"1yr_2yr"	0.325710131948301	0.001	0.001
"A8w_B8w"	0.540781224480985	0.1	0.116129032258065
"A8w_C8w"	0.267208379642172	0.2	0.225
"A8w_A1yr"	0.648029510461153	0.003	0.00514285714285714
"A8w_A2yr"	0.777820024869012	0.002	0.0048
"A8w_C1yr"	0.631298854575769	0.002	0.0048
"A8w_C2yr"	0.508792088906374	0.003	0.00514285714285714
"A8w_B1yr"	0.6723093246909	0.004	0.006
"A8w_B2yr"	0.543046468478316	0.008	0.0102857142857143
"B8w_C8w"	0.454572276813338	0.1	0.116129032258065
"B8w_A1yr"	0.259988263063813	0.004	0.006
"B8w_A2yr"	0.38326861343596	0.005	0.00692307692307692
"B8w_C1yr"	0.250905607634989	0.007	0.00933333333333333
"B8w_C2yr"	0.218156662413523	0.004	0.006
"B8w_B1yr"	0.277420972406519	0.003	0.00514285714285714
"B8w_B2yr"	0.248013564591085	0.002	0.0048
"C8w_A1yr"	0.57676898125814	0.003	0.00514285714285714
"C8w_A2yr"	0.703623672452537	0.002	0.0048
"C8w_C1yr"	0.560320891355047	0.003	0.00514285714285714
"C8w_C2yr"	0.446623709939482	0.002	0.0048
"C8w_B1yr"	0.596944374967364	0.005	0.00692307692307692
"C8w_B2yr"	0.480437205301135	0.003	0.00514285714285714
"A1yr_A2yr"	0.461589982068289	0.001	0.0036
"A1yr_C1yr"	0.0409628526561979	0.457	0.470057142857143
"A1yr_C2yr"	0.334592428145981	0.001	0.0036
"A1yr_B1yr"	0.0587517005940983	0.209	0.228
"A1yr_B2yr"	0.387409612542281	0.001	0.0036
"A2yr_C1yr"	0.429679515087591	0.001	0.0036
"A2yr_C2yr"	0.123878332239809	0.014	0.0173793103448276
"A2yr_B1yr"	0.44243853793227	0.001	0.0036
"A2yr_B2yr"	0.179006616735545	0.001	0.0036
"C1yr_C2yr"	0.307956680666378	0.001	0.0036
"C1yr_B1yr"	0.0382104491785865	0.501	0.501
"C1yr_B2yr"	0.364550110380411	0.001	0.0036
"C2yr_B1yr"	0.318328201326909	0.001	0.0036
"C2yr_B2yr"	0.0375943670476458	0.442	0.468
"B1yr_B2yr"	0.380172949397305	0.001	0.0036
