"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.00603466886276609	0.587	0.724
"A_C"	0.00547953868445467	0.724	0.724
"B_C"	0.00729803748533439	0.392	0.724
"2w_4w"	0.0832367560407027	0.001	0.001
"2w_8w"	0.151122724306386	0.001	0.001
"2w_1yr"	0.408356444035975	0.001	0.001
"2w_2yr"	0.385658950001025	0.001	0.001
"4w_8w"	0.0988613873906437	0.001	0.001
"4w_1yr"	0.47187739020092	0.001	0.001
"4w_2yr"	0.447899693093002	0.001	0.001
"8w_1yr"	0.428626604570315	0.001	0.001
"8w_2yr"	0.40111283307401	0.001	0.001
"1yr_2yr"	0.30869342065042	0.001	0.001
"A2w_A4w"	0.129562592233643	0.001	0.00116666666666667
"A2w_A8w"	0.154218750058109	0.001	0.00116666666666667
"A2w_B2w"	0.0228480640701253	0.797	0.811730769230769
"A2w_B4w"	0.132695374702916	0.001	0.00116666666666667
"A2w_B8w"	0.198898419088261	0.001	0.00116666666666667
"A2w_C2w"	0.0293117160458336	0.583	0.61215
"A2w_C4w"	0.101357915110639	0.001	0.00116666666666667
"A2w_C8w"	0.182949370965597	0.001	0.00116666666666667
"A2w_C1yr"	0.404757537188742	0.001	0.00116666666666667
"A2w_B1yr"	0.415140471670413	0.001	0.00116666666666667
"A2w_B2yr"	0.396569011946951	0.001	0.00116666666666667
"A2w_A1yr"	0.410345496877983	0.001	0.00116666666666667
"A2w_A2yr"	0.399311072417897	0.001	0.00116666666666667
"A2w_C2yr"	0.367036093157618	0.001	0.00116666666666667
"A4w_A8w"	0.140262807045434	0.001	0.00116666666666667
"A4w_B2w"	0.102361797524501	0.001	0.00116666666666667
"A4w_B4w"	0.0547062573417986	0.064	0.0714893617021276
"A4w_B8w"	0.157429864077606	0.001	0.00116666666666667
"A4w_C2w"	0.0984682946622159	0.001	0.00116666666666667
"A4w_C4w"	0.052923082586965	0.056	0.0632258064516129
"A4w_C8w"	0.135917331944418	0.001	0.00116666666666667
"A4w_C1yr"	0.506619847335634	0.001	0.00116666666666667
"A4w_B1yr"	0.518098960016214	0.001	0.00116666666666667
"A4w_B2yr"	0.496404588386347	0.001	0.00116666666666667
"A4w_A1yr"	0.512334053454809	0.001	0.00116666666666667
"A4w_A2yr"	0.498287115971922	0.001	0.00116666666666667
"A4w_C2yr"	0.471025380387226	0.001	0.00116666666666667
"A8w_B2w"	0.168815135866364	0.001	0.00116666666666667
"A8w_B4w"	0.126273555461173	0.001	0.00116666666666667
"A8w_B8w"	0.0653446780959491	0.034	0.038804347826087
"A8w_C2w"	0.156396883200685	0.001	0.00116666666666667
"A8w_C4w"	0.14463119333199	0.001	0.00116666666666667
"A8w_C8w"	0.0413317298521303	0.55	0.583333333333333
"A8w_C1yr"	0.433136681205342	0.001	0.00116666666666667
"A8w_B1yr"	0.445215428935803	0.001	0.00116666666666667
"A8w_B2yr"	0.416929669628142	0.001	0.00116666666666667
"A8w_A1yr"	0.438864394536374	0.001	0.00116666666666667
"A8w_A2yr"	0.418089379796953	0.001	0.00116666666666667
"A8w_C2yr"	0.39852628372674	0.001	0.00116666666666667
"B2w_B4w"	0.125096091083983	0.001	0.00116666666666667
"B2w_B8w"	0.206128757915447	0.001	0.00116666666666667
"B2w_C2w"	0.0379266798733179	0.367	0.397268041237113
"B2w_C4w"	0.0866450656733639	0.001	0.00116666666666667
"B2w_C8w"	0.182890642395729	0.001	0.00116666666666667
"B2w_C1yr"	0.430892153728104	0.001	0.00116666666666667
"B2w_B1yr"	0.441467993722397	0.001	0.00116666666666667
"B2w_B2yr"	0.422638983188318	0.001	0.00116666666666667
"B2w_A1yr"	0.436442290435975	0.001	0.00116666666666667
"B2w_A2yr"	0.425372774898534	0.001	0.00116666666666667
"B2w_C2yr"	0.394093446599727	0.001	0.00116666666666667
"B4w_B8w"	0.113092005277177	0.001	0.00116666666666667
"B4w_C2w"	0.111522913659946	0.001	0.00116666666666667
"B4w_C4w"	0.0417598650024901	0.239	0.26140625
"B4w_C8w"	0.124817643231645	0.001	0.00116666666666667
"B4w_C1yr"	0.480229783619497	0.001	0.00116666666666667
"B4w_B1yr"	0.491278120537736	0.001	0.00116666666666667
"B4w_B2yr"	0.470040891122317	0.001	0.00116666666666667
"B4w_A1yr"	0.485712601368287	0.001	0.00116666666666667
"B4w_A2yr"	0.472730608815012	0.001	0.00116666666666667
"B4w_C2yr"	0.443151743531645	0.001	0.00116666666666667
"B8w_C2w"	0.195035139968507	0.001	0.00116666666666667
"B8w_C4w"	0.159047048291064	0.001	0.00116666666666667
"B8w_C8w"	0.0835179770700445	0.002	0.00230769230769231
"B8w_C1yr"	0.458713368779813	0.001	0.00116666666666667
"B8w_B1yr"	0.470158170399526	0.001	0.00116666666666667
"B8w_B2yr"	0.443944146793936	0.001	0.00116666666666667
"B8w_A1yr"	0.464221831901774	0.001	0.00116666666666667
"B8w_A2yr"	0.445788074343756	0.001	0.00116666666666667
"B8w_C2yr"	0.421573634887598	0.001	0.00116666666666667
"C2w_C4w"	0.0910878937798647	0.001	0.00116666666666667
"C2w_C8w"	0.176611117853365	0.001	0.00116666666666667
"C2w_C1yr"	0.424791377278809	0.001	0.00116666666666667
"C2w_B1yr"	0.435324199795602	0.001	0.00116666666666667
"C2w_B2yr"	0.415014855875127	0.001	0.00116666666666667
"C2w_A1yr"	0.430361937757764	0.001	0.00116666666666667
"C2w_A2yr"	0.416509666756802	0.001	0.00116666666666667
"C2w_C2yr"	0.386676846246086	0.001	0.00116666666666667
"C4w_C8w"	0.132323349897198	0.001	0.00116666666666667
"C4w_C1yr"	0.483651994848948	0.001	0.00116666666666667
"C4w_B1yr"	0.494872558265044	0.001	0.00116666666666667
