"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.00652992007417814	0.623	0.71
"A_C"	0.00645457338061686	0.71	0.71
"B_C"	0.00750095583787939	0.389	0.71
"2w_4w"	0.054684507946879	0.001	0.001
"2w_8w"	0.0947773776740877	0.001	0.001
"2w_1yr"	0.280842001406039	0.001	0.001
"2w_2yr"	0.260338941774352	0.001	0.001
"4w_8w"	0.0640846657054338	0.001	0.001
"4w_1yr"	0.314354529331017	0.001	0.001
"4w_2yr"	0.292816833882228	0.001	0.001
"8w_1yr"	0.288574355387073	0.001	0.001
"8w_2yr"	0.265519335889064	0.001	0.001
"1yr_2yr"	0.214362300042894	0.001	0.001
"A2w_A4w"	0.0942149808508027	0.001	0.00119318181818182
"A2w_A8w"	0.106899068286088	0.001	0.00119318181818182
"A2w_B2w"	0.0283329517497233	0.72	0.748514851485149
"A2w_B4w"	0.0922649324291486	0.001	0.00119318181818182
"A2w_B8w"	0.132896589538473	0.001	0.00119318181818182
"A2w_C2w"	0.0316521355915007	0.57	0.5985
"A2w_C4w"	0.0758782756015738	0.001	0.00119318181818182
"A2w_C8w"	0.123796538155741	0.001	0.00119318181818182
"A2w_C1yr"	0.285855992380232	0.001	0.00119318181818182
"A2w_B1yr"	0.296460831002708	0.001	0.00119318181818182
"A2w_B2yr"	0.276432268136009	0.001	0.00119318181818182
"A2w_A1yr"	0.290998683770232	0.001	0.00119318181818182
"A2w_A2yr"	0.27948682165458	0.001	0.00119318181818182
"A2w_C2yr"	0.25796943385484	0.001	0.00119318181818182
"A4w_A8w"	0.101246531662989	0.001	0.00119318181818182
"A4w_B2w"	0.0763187371580075	0.001	0.00119318181818182
"A4w_B4w"	0.0469900335126012	0.063	0.0703723404255319
"A4w_B8w"	0.112171351881709	0.001	0.00119318181818182
"A4w_C2w"	0.0752939884510287	0.001	0.00119318181818182
"A4w_C4w"	0.0465025230593285	0.059	0.0666129032258065
"A4w_C8w"	0.099294712397937	0.001	0.00119318181818182
"A4w_C1yr"	0.346771976566566	0.001	0.00119318181818182
"A4w_B1yr"	0.358164150144393	0.001	0.00119318181818182
"A4w_B2yr"	0.335936209065202	0.001	0.00119318181818182
"A4w_A1yr"	0.35204871114688	0.001	0.00119318181818182
"A4w_A2yr"	0.33855465577836	0.001	0.00119318181818182
"A4w_C2yr"	0.318801925696203	0.001	0.00119318181818182
"A8w_B2w"	0.115876060763631	0.001	0.00119318181818182
"A8w_B4w"	0.0916587668201171	0.002	0.00235955056179775
"A8w_B8w"	0.0573834567434248	0.035	0.039945652173913
"A8w_C2w"	0.110609104812355	0.001	0.00119318181818182
"A8w_C4w"	0.101441300890913	0.001	0.00119318181818182
"A8w_C8w"	0.0421851695564522	0.548	0.581212121212121
"A8w_C1yr"	0.303104562576135	0.001	0.00119318181818182
"A8w_B1yr"	0.315085765467511	0.001	0.00119318181818182
"A8w_B2yr"	0.288600570742557	0.001	0.00119318181818182
"A8w_A1yr"	0.308476487297616	0.001	0.00119318181818182
"A8w_A2yr"	0.290918162560195	0.001	0.00119318181818182
"A8w_C2yr"	0.279507516723666	0.001	0.00119318181818182
"B2w_B4w"	0.0874927965782184	0.001	0.00119318181818182
"B2w_B8w"	0.137679948694564	0.001	0.00119318181818182
"B2w_C2w"	0.0361265183077915	0.346	0.374536082474227
"B2w_C4w"	0.0658585272719464	0.001	0.00119318181818182
"B2w_C8w"	0.124034618067877	0.001	0.00119318181818182
"B2w_C1yr"	0.300978865129495	0.001	0.00119318181818182
"B2w_B1yr"	0.311731958266678	0.001	0.00119318181818182
"B2w_B2yr"	0.291463603933487	0.001	0.00119318181818182
"B2w_A1yr"	0.30611726618849	0.001	0.00119318181818182
"B2w_A2yr"	0.294536359005975	0.001	0.00119318181818182
"B2w_C2yr"	0.273348096644471	0.001	0.00119318181818182
"B4w_B8w"	0.0816572624669686	0.001	0.00119318181818182
"B4w_C2w"	0.0804140285775627	0.001	0.00119318181818182
"B4w_C4w"	0.037129383903909	0.316	0.345625
"B4w_C8w"	0.0892473227578814	0.001	0.00119318181818182
"B4w_C1yr"	0.326123875657016	0.001	0.00119318181818182
"B4w_B1yr"	0.337141320038857	0.001	0.00119318181818182
"B4w_B2yr"	0.315409427396763	0.001	0.00119318181818182
"B4w_A1yr"	0.331211814723124	0.001	0.00119318181818182
"B4w_A2yr"	0.318490062457625	0.001	0.00119318181818182
"B4w_C2yr"	0.297677764782712	0.001	0.00119318181818182
"B8w_C2w"	0.133473928586827	0.001	0.00119318181818182
"B8w_C4w"	0.108751132555853	0.001	0.00119318181818182
"B8w_C8w"	0.0663026409287	0.006	0.00692307692307692
"B8w_C1yr"	0.315970933036693	0.001	0.00119318181818182
"B8w_B1yr"	0.327368017559255	0.001	0.00119318181818182
"B8w_B2yr"	0.302410683775381	0.001	0.00119318181818182
"B8w_A1yr"	0.321127119028287	0.001	0.00119318181818182
"B8w_A2yr"	0.305048802856035	0.001	0.00119318181818182
"B8w_C2yr"	0.289064876054144	0.001	0.00119318181818182
"C2w_C4w"	0.0695419799704198	0.003	0.0035
"C2w_C8w"	0.121818370507994	0.001	0.00119318181818182
"C2w_C1yr"	0.301206999151529	0.001	0.00119318181818182
"C2w_B1yr"	0.311988605197411	0.001	0.00119318181818182
"C2w_B2yr"	0.29078182790734	0.001	0.00119318181818182
"C2w_A1yr"	0.30638064002546	0.001	0.00119318181818182
"C2w_A2yr"	0.293146340477683	0.001	0.00119318181818182
"C2w_C2yr"	0.272847616991393	0.001	0.00119318181818182
"C4w_C8w"	0.0916946248860457	0.001	0.00119318181818182
"C4w_C1yr"	0.328412393309046	0.001	0.00119318181818182
"C4w_B1yr"	0.339546864616595	0.001	0.00119318181818182
"C4w_B2yr"	0.317481954599746	0.001	0.00119318181818182
"C4w_A1yr"	0.333674459318499	0.001	0.00119318181818182
"C4w_A2yr"	0.320164938362137	0.001	0.00119318181818182
"C4w_C2yr"	0.299934215100824	0.001	0.00119318181818182
"C8w_C1yr"	0.320354277810153	0.001	0.00119318181818182
"C8w_B1yr"	0.332160860064626	0.001	0.00119318181818182
"C8w_B2yr"	0.307368561319903	0.001	0.00119318181818182
"C8w_A1yr"	0.325726089036485	0.001	0.00119318181818182
"C8w_A2yr"	0.309582800644194	0.001	0.00119318181818182
"C8w_C2yr"	0.294184796613889	0.001	0.00119318181818182
"C1yr_B1yr"	0.0393176722895639	0.783	0.806029411764706
"C1yr_B2yr"	0.223678163422469	0.001	0.00119318181818182
"C1yr_A1yr"	0.0381528876761036	0.841	0.849086538461538
"C1yr_A2yr"	0.235185049343686	0.001	0.00119318181818182
"C1yr_C2yr"	0.252105984254981	0.001	0.00119318181818182
"B1yr_B2yr"	0.239588597861402	0.001	0.00119318181818182
"B1yr_A1yr"	0.0391850742707701	0.811	0.826747572815534
"B1yr_A2yr"	0.250153602115517	0.001	0.00119318181818182
"B1yr_C2yr"	0.271641595513353	0.001	0.00119318181818182
"B2yr_A1yr"	0.225351595328992	0.001	0.00119318181818182
"B2yr_A2yr"	0.034634271843651	0.917	0.917
"B2yr_C2yr"	0.0603622645924805	0.117	0.129315789473684
"A1yr_A2yr"	0.23329418087293	0.001	0.00119318181818182
"A1yr_C2yr"	0.252783275012653	0.001	0.00119318181818182
"A2yr_C2yr"	0.0495706752314282	0.474	0.507857142857143
