"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0275058365444411	0.144	0.237
"A_C"	0.0126038348114097	0.747	0.747
"B_C"	0.0255701879989652	0.158	0.237
"8w_1yr"	0.37634191212048	0.001	0.001
"8w_2yr"	0.381066483594738	0.001	0.001
"1yr_2yr"	0.304646175246653	0.001	0.001
"A8w_B8w"	0.416031935295861	0.1	0.102857142857143
"A8w_C8w"	0.119725753623674	1	1
"A8w_A1yr"	0.499803595573524	0.004	0.00553846153846154
"A8w_A2yr"	0.616856068776111	0.005	0.00642857142857143
"A8w_C1yr"	0.534169107054184	0.001	0.0024
"A8w_C2yr"	0.518694125003579	0.001	0.0024
"A8w_B1yr"	0.526820463813976	0.002	0.00342857142857143
"A8w_B2yr"	0.453314371187884	0.003	0.0045
"B8w_C8w"	0.404716014661059	0.1	0.102857142857143
"B8w_A1yr"	0.474468825047419	0.005	0.00642857142857143
"B8w_A2yr"	0.617225091955935	0.001	0.0024
"B8w_C1yr"	0.511879115664394	0.002	0.00342857142857143
"B8w_C2yr"	0.514947547620535	0.001	0.0024
"B8w_B1yr"	0.497656053762783	0.003	0.0045
"B8w_B2yr"	0.443497142377608	0.003	0.0045
"C8w_A1yr"	0.464992393314313	0.001	0.0024
"C8w_A2yr"	0.582999847346153	0.002	0.00342857142857143
"C8w_C1yr"	0.496973402568126	0.002	0.00342857142857143
"C8w_C2yr"	0.490655012584051	0.004	0.00553846153846154
"C8w_B1yr"	0.487810519813437	0.002	0.00342857142857143
"C8w_B2yr"	0.434094420116909	0.002	0.00342857142857143
"A1yr_A2yr"	0.386704123596602	0.001	0.0024
"A1yr_C1yr"	0.0713398976023057	0.028	0.0336
"A1yr_C2yr"	0.349332558086497	0.001	0.0024
"A1yr_B1yr"	0.10161963360218	0.001	0.0024
"A1yr_B2yr"	0.342462695526638	0.001	0.0024
"A2yr_C1yr"	0.390289103611039	0.001	0.0024
"A2yr_C2yr"	0.0831437226971165	0.037	0.0429677419354839
"A2yr_B1yr"	0.384857184222056	0.001	0.0024
"A2yr_B2yr"	0.139765554775539	0.021	0.0260689655172414
"C1yr_C2yr"	0.355250870670043	0.001	0.0024
"C1yr_B1yr"	0.062630610436793	0.061	0.068625
"C1yr_B2yr"	0.352640674744454	0.001	0.0024
"C2yr_B1yr"	0.357424969036179	0.001	0.0024
"C2yr_B2yr"	0.0929650945157706	0.08	0.0872727272727273
"B1yr_B2yr"	0.349801487743913	0.001	0.0024
