"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0294868697506378	0.053	0.159
"A_C"	0.0179938947815415	0.435	0.435
"B_C"	0.0248197002787634	0.148	0.222
"8w_1yr"	0.237040202906384	0.001	0.001
"8w_2yr"	0.250268948299112	0.001	0.001
"1yr_2yr"	0.218892120798409	0.001	0.001
"A8w_B8w"	0.332731211435141	0.1	0.102857142857143
"A8w_C8w"	0.156009822531143	1	1
"A8w_A1yr"	0.328840987481809	0.003	0.0045
"A8w_A2yr"	0.444925900513794	0.004	0.00533333333333333
"A8w_C1yr"	0.357163029433498	0.003	0.0045
"A8w_C2yr"	0.35275521132359	0.005	0.00642857142857143
"A8w_B1yr"	0.350846684815495	0.002	0.0045
"A8w_B2yr"	0.310153886665314	0.004	0.00533333333333333
"B8w_C8w"	0.326095686863268	0.1	0.102857142857143
"B8w_A1yr"	0.317889257345185	0.003	0.0045
"B8w_A2yr"	0.447316293053164	0.003	0.0045
"B8w_C1yr"	0.347432125818467	0.003	0.0045
"B8w_C2yr"	0.353600199709065	0.003	0.0045
"B8w_B1yr"	0.337432609152854	0.002	0.0045
"B8w_B2yr"	0.306640486907949	0.004	0.00533333333333333
"C8w_A1yr"	0.309126464117283	0.002	0.0045
"C8w_A2yr"	0.424574579808109	0.002	0.0045
"C8w_C1yr"	0.335882496506135	0.002	0.0045
"C8w_C2yr"	0.336606844034072	0.001	0.00327272727272727
"C8w_B1yr"	0.328594296181664	0.003	0.0045
"C8w_B2yr"	0.29892849998156	0.003	0.0045
"A1yr_A2yr"	0.299757349708731	0.001	0.00327272727272727
"A1yr_C1yr"	0.0672528544901651	0.014	0.0168
"A1yr_C2yr"	0.259309171579699	0.001	0.00327272727272727
"A1yr_B1yr"	0.0864057724220658	0.001	0.00327272727272727
"A1yr_B2yr"	0.254975844813556	0.001	0.00327272727272727
"A2yr_C1yr"	0.302432292085213	0.001	0.00327272727272727
"A2yr_C2yr"	0.0830117569240997	0.022	0.0255483870967742
"A2yr_B1yr"	0.297631446031271	0.001	0.00327272727272727
"A2yr_B2yr"	0.128946066638711	0.012	0.0148965517241379
"C1yr_C2yr"	0.265569646809902	0.001	0.00327272727272727
"C1yr_B1yr"	0.0592240292075875	0.049	0.055125
"C1yr_B2yr"	0.264744716064667	0.001	0.00327272727272727
"C2yr_B1yr"	0.265911726592429	0.001	0.00327272727272727
"C2yr_B2yr"	0.0836005523761542	0.064	0.0698181818181818
"B1yr_B2yr"	0.261926616010546	0.001	0.00327272727272727
