"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0254054914466808	0.2	0.3465
"A_C"	0.0131510519075857	0.643	0.643
"B_C"	0.0237192571958878	0.231	0.3465
"8w_1yr"	0.41939208281693	0.001	0.001
"8w_2yr"	0.400380548889785	0.001	0.001
"1yr_2yr"	0.390531450536022	0.001	0.001
"A8w_B8w"	0.50271760259705	0.1	0.105882352941176
"A8w_C8w"	0.138864854970654	1	1
"A8w_A1yr"	0.563121869290829	0.003	0.00490909090909091
"A8w_A2yr"	0.637936625140179	0.002	0.0048
"A8w_C1yr"	0.587714900936032	0.003	0.00490909090909091
"A8w_C2yr"	0.548303189707956	0.003	0.00490909090909091
"A8w_B1yr"	0.553899089753869	0.004	0.00553846153846154
"A8w_B2yr"	0.517134741477826	0.002	0.0048
"B8w_C8w"	0.448908667602263	0.1	0.105882352941176
"B8w_A1yr"	0.56854615781394	0.004	0.00553846153846154
"B8w_A2yr"	0.644306930484871	0.003	0.00490909090909091
"B8w_C1yr"	0.594170678410711	0.001	0.0036
"B8w_C2yr"	0.54875080432375	0.003	0.00490909090909091
"B8w_B1yr"	0.557862336205067	0.002	0.0048
"B8w_B2yr"	0.504586943014062	0.005	0.00642857142857143
"C8w_A1yr"	0.51885103054268	0.007	0.0084
"C8w_A2yr"	0.587189114601039	0.002	0.0048
"C8w_C1yr"	0.54160507362116	0.002	0.0048
"C8w_C2yr"	0.501398181786965	0.003	0.00490909090909091
"C8w_B1yr"	0.510879649116035	0.003	0.00490909090909091
"C8w_B2yr"	0.467074599441154	0.005	0.00642857142857143
"A1yr_A2yr"	0.503057150564842	0.001	0.0036
"A1yr_C1yr"	0.0835555124907242	0.004	0.00553846153846154
"A1yr_C2yr"	0.41512691124652	0.001	0.0036
"A1yr_B1yr"	0.0839018925741545	0.006	0.00744827586206897
"A1yr_B2yr"	0.435652075658962	0.001	0.0036
"A2yr_C1yr"	0.517163663304412	0.001	0.0036
"A2yr_C2yr"	0.0634021118505389	0.172	0.176914285714286
"A2yr_B1yr"	0.462732244689414	0.001	0.0036
"A2yr_B2yr"	0.118890525933479	0.038	0.0441290322580645
"C1yr_C2yr"	0.421970430657329	0.001	0.0036
"C1yr_B1yr"	0.0799042531914789	0.004	0.00553846153846154
"C1yr_B2yr"	0.445597380125241	0.001	0.0036
"C2yr_B1yr"	0.372820798711319	0.001	0.0036
"C2yr_B2yr"	0.0886705057261473	0.084	0.0945
"B1yr_B2yr"	0.40041784613505	0.001	0.0036
