"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0275840767791126	0.116	0.2145
"A_C"	0.0182913592263228	0.438	0.438
"B_C"	0.0248438214836034	0.143	0.2145
"8w_1yr"	0.265668519384774	0.001	0.001
"8w_2yr"	0.267082847975394	0.001	0.001
"1yr_2yr"	0.278666825458463	0.001	0.001
"A8w_B8w"	0.389772451589066	0.1	0.102857142857143
"A8w_C8w"	0.169386465230116	0.7	0.7
"A8w_A1yr"	0.374959172626851	0.001	0.00327272727272727
"A8w_A2yr"	0.459250610571955	0.003	0.00432
"A8w_C1yr"	0.396346302007629	0.003	0.00432
"A8w_C2yr"	0.374032142004593	0.003	0.00432
"A8w_B1yr"	0.366236168838949	0.003	0.00432
"A8w_B2yr"	0.358573611365615	0.003	0.00432
"B8w_C8w"	0.358433081525904	0.1	0.102857142857143
"B8w_A1yr"	0.383014817688369	0.003	0.00432
"B8w_A2yr"	0.465496777600894	0.004	0.00514285714285714
"B8w_C1yr"	0.404728811048652	0.002	0.00423529411764706
"B8w_C2yr"	0.377983672405564	0.003	0.00432
"B8w_B1yr"	0.373498651023476	0.002	0.00423529411764706
"B8w_B2yr"	0.352432942764431	0.002	0.00423529411764706
"C8w_A1yr"	0.351219000804612	0.002	0.00423529411764706
"C8w_A2yr"	0.43079519600546	0.004	0.00514285714285714
"C8w_C1yr"	0.371462379576753	0.001	0.00327272727272727
"C8w_C2yr"	0.348033211728281	0.002	0.00423529411764706
"C8w_B1yr"	0.343256942264935	0.002	0.00423529411764706
"C8w_B2yr"	0.329278874686482	0.004	0.00514285714285714
"A1yr_A2yr"	0.383499820123376	0.001	0.00327272727272727
"A1yr_C1yr"	0.0763355713339678	0.003	0.00432
"A1yr_C2yr"	0.307212113167031	0.001	0.00327272727272727
"A1yr_B1yr"	0.0760148386315112	0.005	0.00620689655172414
"A1yr_B2yr"	0.324726180356727	0.001	0.00327272727272727
"A2yr_C1yr"	0.394416942543452	0.001	0.00327272727272727
"A2yr_C2yr"	0.0699212996261426	0.078	0.0850909090909091
"A2yr_B1yr"	0.352036815919873	0.001	0.00327272727272727
"A2yr_B2yr"	0.117075591570837	0.012	0.0139354838709677
"C1yr_C2yr"	0.313731675745236	0.001	0.00327272727272727
"C1yr_B1yr"	0.0737756745631579	0.006	0.0072
"C1yr_B2yr"	0.333427563523103	0.001	0.00327272727272727
"C2yr_B1yr"	0.275506101518779	0.001	0.00327272727272727
"C2yr_B2yr"	0.0852700329261441	0.071	0.079875
"B1yr_B2yr"	0.297292116283979	0.001	0.00327272727272727
