"Comparison"	"Rsq"	"pval"	"p.adj"
"C_B"	0.01490739799654	0.851	0.851
"C_A"	0.0266451733572513	0.264	0.66
"B_A"	0.0194675897405332	0.44	0.66
"1yr_2yr"	0.222561969813141	0.001	0.001
"C1yr_B1yr"	0.0451405395572338	0.402	0.5025
"C1yr_B2yr"	0.206236326031218	0.001	0.00166666666666667
"C1yr_A1yr"	0.0215589010671795	0.925	0.925
"C1yr_A2yr"	0.246742962269506	0.001	0.00166666666666667
"C1yr_C2yr"	0.191412124006813	0.001	0.00166666666666667
"B1yr_B2yr"	0.317518761660931	0.001	0.00166666666666667
"B1yr_A1yr"	0.0505775307988611	0.276	0.376363636363636
"B1yr_A2yr"	0.365282620573919	0.001	0.00166666666666667
"B1yr_C2yr"	0.299455959619274	0.001	0.00166666666666667
"B2yr_A1yr"	0.209244822873806	0.001	0.00166666666666667
"B2yr_A2yr"	0.0391336334873413	0.577	0.618214285714286
"B2yr_C2yr"	0.0494164832743077	0.458	0.528461538461538
"A1yr_A2yr"	0.245359959562954	0.001	0.00166666666666667
"A1yr_C2yr"	0.200877072495211	0.001	0.00166666666666667
"A2yr_C2yr"	0.0771258470798702	0.063	0.0945
