"Comparison"	"Rsq"	"pval"	"p.adj"
"C_B"	0.0172774765740321	0.847	0.847
"C_A"	0.0240594718203564	0.29	0.765
"B_A"	0.0191638481880677	0.51	0.765
"1yr_2yr"	0.154590667683945	0.001	0.001
"C1yr_B1yr"	0.0449791673368524	0.387	0.48375
"C1yr_B2yr"	0.149251011797528	0.002	0.00333333333333333
"C1yr_A1yr"	0.0299126214775988	0.881	0.881
"C1yr_A2yr"	0.169602302478667	0.001	0.00214285714285714
"C1yr_C2yr"	0.141818311867107	0.002	0.00333333333333333
"B1yr_B2yr"	0.232301342900625	0.001	0.00214285714285714
"B1yr_A1yr"	0.0445762272425684	0.384	0.48375
"B1yr_A2yr"	0.256120991785621	0.001	0.00214285714285714
"B1yr_C2yr"	0.22365990128533	0.001	0.00214285714285714
"B2yr_A1yr"	0.159634065566075	0.001	0.00214285714285714
"B2yr_A2yr"	0.0401985789402577	0.591	0.633214285714286
"B2yr_C2yr"	0.0496024761801132	0.434	0.500769230769231
"A1yr_A2yr"	0.176125228333971	0.001	0.00214285714285714
"A1yr_C2yr"	0.155944017702662	0.001	0.00214285714285714
"A2yr_C2yr"	0.06531203158386	0.063	0.0945
