"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0190603601118553	0.384	0.454
"A_C"	0.0175872284584185	0.454	0.454
"B_C"	0.0351351079725156	0.049	0.147
"8w_1yr"	0.136556398951541	0.001	0.001
"8w_2yr"	0.235980675867217	0.001	0.001
"1yr_2yr"	0.293305130354038	0.001	0.001
"A8w_B8w"	0.278464947023781	0.1	0.116129032258065
"A8w_C8w"	0.14378684914001	1	1
"A8w_A1yr"	0.278726427734703	0.003	0.00635294117647059
"A8w_A2yr"	0.515185985918378	0.005	0.009
"A8w_C1yr"	0.238509676778973	0.003	0.00635294117647059
"A8w_C2yr"	0.499718325156464	0.003	0.00635294117647059
"A8w_B1yr"	0.375356683144576	0.003	0.00635294117647059
"A8w_B2yr"	0.313325382211069	0.006	0.00939130434782609
"B8w_C8w"	0.256332878228014	0.3	0.308571428571429
"B8w_A1yr"	0.104293232794879	0.126	0.14175
"B8w_A2yr"	0.384819368527226	0.002	0.006
"B8w_C1yr"	0.0981826481972708	0.144	0.157090909090909
"B8w_C2yr"	0.362009516683021	0.004	0.00757894736842105
"B8w_B1yr"	0.173055336154611	0.013	0.018
"B8w_B2yr"	0.188877948692071	0.006	0.00939130434782609
"C8w_A1yr"	0.253258277309224	0.006	0.00939130434782609
"C8w_A2yr"	0.424103984805854	0.008	0.012
"C8w_C1yr"	0.211080849680174	0.017	0.0226666666666667
"C8w_C2yr"	0.408851386147729	0.003	0.00635294117647059
"C8w_B1yr"	0.339426194581339	0.004	0.00757894736842105
"C8w_B2yr"	0.247467948728495	0.01	0.0144
"A1yr_A2yr"	0.411207457197454	0.001	0.004
"A1yr_C1yr"	0.0655611213895109	0.184	0.194823529411765
"A1yr_C2yr"	0.387945979731121	0.001	0.004
"A1yr_B1yr"	0.0801967509689819	0.09	0.108
"A1yr_B2yr"	0.287297364333455	0.001	0.004
"A2yr_C1yr"	0.36356128941634	0.001	0.004
"A2yr_C2yr"	0.105410422532938	0.036	0.0446896551724138
"A2yr_B1yr"	0.487707957813718	0.001	0.004
"A2yr_B2yr"	0.112121806245787	0.023	0.0295714285714286
"C1yr_C2yr"	0.341682617557826	0.001	0.004
"C1yr_B1yr"	0.120212313673793	0.002	0.006
"C1yr_B2yr"	0.254070917466683	0.001	0.004
"C2yr_B1yr"	0.450906912541736	0.001	0.004
"C2yr_B2yr"	0.177059382896883	0.002	0.006
"B1yr_B2yr"	0.348735047179997	0.001	0.004
