"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0272362949098926	0.131	0.1965
"A_C"	0.0207067300105593	0.281	0.281
"B_C"	0.0381966838192923	0.018	0.054
"8w_1yr"	0.0952062865685585	0.001	0.001
"8w_2yr"	0.168628127383957	0.001	0.001
"1yr_2yr"	0.222464910805841	0.001	0.001
"A8w_B8w"	0.242894551286551	0.1	0.116129032258065
"A8w_C8w"	0.160664182610362	1	1
"A8w_A1yr"	0.205972889746353	0.01	0.0156521739130435
"A8w_A2yr"	0.400410981989318	0.004	0.00757894736842105
"A8w_C1yr"	0.179709349267911	0.011	0.0165
"A8w_C2yr"	0.381167120190616	0.005	0.009
"A8w_B1yr"	0.264892232200696	0.003	0.00675
"A8w_B2yr"	0.226573287721957	0.004	0.00757894736842105
"B8w_C8w"	0.230409389940484	0.3	0.308571428571429
"B8w_A1yr"	0.100930199614272	0.105	0.118125
"B8w_A2yr"	0.315319105973298	0.004	0.00757894736842105
"B8w_C1yr"	0.0899478105950316	0.191	0.202235294117647
"B8w_C2yr"	0.293493353559521	0.003	0.00675
"B8w_B1yr"	0.144808020252713	0.017	0.0218571428571429
"B8w_B2yr"	0.155243365189241	0.015	0.02
"C8w_A1yr"	0.188508227973329	0.015	0.02
"C8w_A2yr"	0.31388979595624	0.006	0.0102857142857143
"C8w_C1yr"	0.161232665488648	0.013	0.01872
"C8w_C2yr"	0.298352928815686	0.002	0.006
"C8w_B1yr"	0.239089053055304	0.002	0.006
"C8w_B2yr"	0.17839345267526	0.008	0.0130909090909091
"A1yr_A2yr"	0.337961846332322	0.001	0.004
"A1yr_C1yr"	0.067028736382023	0.114	0.124363636363636
"A1yr_C2yr"	0.314023992886024	0.001	0.004
"A1yr_B1yr"	0.0795836866544397	0.033	0.0396
"A1yr_B2yr"	0.221015131449975	0.001	0.004
"A2yr_C1yr"	0.306671206272204	0.001	0.004
"A2yr_C2yr"	0.0982050358114515	0.026	0.0322758620689655
"A2yr_B1yr"	0.38013437160942	0.001	0.004
"A2yr_B2yr"	0.125369772835707	0.003	0.00675
"C1yr_C2yr"	0.285618576437941	0.001	0.004
"C1yr_B1yr"	0.106539734312659	0.003	0.00675
"C1yr_B2yr"	0.198710364811662	0.001	0.004
"C2yr_B1yr"	0.348634298406908	0.001	0.004
"C2yr_B2yr"	0.152700290181499	0.002	0.006
"B1yr_B2yr"	0.256493885890505	0.001	0.004
