"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.0129892036118983	0.715	0.715
"A_C"	0.0180733744176152	0.451	0.6765
"B_C"	0.0199396770536883	0.37	0.6765
"8w_1yr"	0.173979617108503	0.001	0.001
"8w_2yr"	0.240594222756905	0.001	0.001
"1yr_2yr"	0.269825902348358	0.001	0.001
"A8w_B8w"	0.179519175390881	0.5	0.514285714285714
"A8w_C8w"	0.132262509806823	1	1
"A8w_A1yr"	0.282206180623871	0.011	0.0152307692307692
"A8w_A2yr"	0.4512675671115	0.001	0.0036
"A8w_C1yr"	0.257227333519662	0.004	0.00654545454545455
"A8w_C2yr"	0.497574903130546	0.005	0.00782608695652174
"A8w_B1yr"	0.406377954902107	0.003	0.00654545454545455
"A8w_B2yr"	0.277824581217073	0.003	0.00654545454545455
"B8w_C8w"	0.203642163882282	0.4	0.423529411764706
"B8w_A1yr"	0.192992752218565	0.021	0.027
"B8w_A2yr"	0.295589248733614	0.004	0.00654545454545455
"B8w_C1yr"	0.165838621778282	0.038	0.0441290322580645
"B8w_C2yr"	0.327858339582715	0.003	0.00654545454545455
"B8w_B1yr"	0.275096912957204	0.004	0.00654545454545455
"B8w_B2yr"	0.195013682301333	0.011	0.0152307692307692
"C8w_A1yr"	0.234403030666746	0.013	0.0173333333333333
"C8w_A2yr"	0.430372158564244	0.004	0.00654545454545455
"C8w_C1yr"	0.227482726826103	0.011	0.0152307692307692
"C8w_C2yr"	0.481034891655769	0.004	0.00654545454545455
"C8w_B1yr"	0.339536537100281	0.003	0.00654545454545455
"C8w_B2yr"	0.257746914671723	0.004	0.00654545454545455
"A1yr_A2yr"	0.370351224832283	0.001	0.0036
"A1yr_C1yr"	0.0829786871081696	0.108	0.117818181818182
"A1yr_C2yr"	0.376877288731493	0.001	0.0036
"A1yr_B1yr"	0.104160482776869	0.031	0.0384827586206897
"A1yr_B2yr"	0.27351124461308	0.001	0.0036
"A2yr_C1yr"	0.349768788614309	0.001	0.0036
"A2yr_C2yr"	0.0990786020166838	0.062	0.06975
"A2yr_B1yr"	0.448530461351299	0.001	0.0036
"A2yr_B2yr"	0.124573672155466	0.036	0.0432
"C1yr_C2yr"	0.353280113023381	0.001	0.0036
"C1yr_B1yr"	0.129787301180642	0.003	0.00654545454545455
"C1yr_B2yr"	0.26489035771017	0.001	0.0036
"C2yr_B1yr"	0.443202456666601	0.001	0.0036
"C2yr_B2yr"	0.214580105204507	0.002	0.00654545454545455
"B1yr_B2yr"	0.364572379209957	0.001	0.0036
