"Comparison"	"Rsq"	"pval"	"p.adj"
"A_B"	0.02218454039233	0.28	0.308
"A_C"	0.0214123259142528	0.308	0.308
"B_C"	0.0296165838948118	0.067	0.201
"8w_1yr"	0.130510573566702	0.001	0.001
"8w_2yr"	0.176919345640644	0.001	0.001
"1yr_2yr"	0.213710680765584	0.001	0.001
"A8w_B8w"	0.182571127789391	0.5	0.514285714285714
"A8w_C8w"	0.158035373307917	1	1
"A8w_A1yr"	0.217663170460632	0.003	0.00635294117647059
"A8w_A2yr"	0.343097141314072	0.001	0.00327272727272727
"A8w_C1yr"	0.198247182513474	0.011	0.0146666666666667
"A8w_C2yr"	0.387208975052073	0.003	0.00635294117647059
"A8w_B1yr"	0.293152356848738	0.004	0.00757894736842105
"A8w_B2yr"	0.207573697016506	0.006	0.00981818181818182
"B8w_C8w"	0.201740124140517	0.5	0.514285714285714
"B8w_A1yr"	0.173780217411085	0.017	0.0204
"B8w_A2yr"	0.258150648780166	0.006	0.00981818181818182
"B8w_C1yr"	0.152169246352758	0.014	0.0173793103448276
"B8w_C2yr"	0.293991883212651	0.004	0.00757894736842105
"B8w_B1yr"	0.227312684447449	0.002	0.0048
"B8w_B2yr"	0.164110113119904	0.007	0.0109565217391304
"C8w_A1yr"	0.192758429167987	0.011	0.0146666666666667
"C8w_A2yr"	0.332646669958133	0.002	0.0048
"C8w_C1yr"	0.183269958037263	0.009	0.01296
"C8w_C2yr"	0.379420261427141	0.002	0.0048
"C8w_B1yr"	0.257603136941264	0.002	0.0048
"C8w_B2yr"	0.197408250032178	0.006	0.00981818181818182
"A1yr_A2yr"	0.314312641164804	0.001	0.00327272727272727
"A1yr_C1yr"	0.0795041119960117	0.053	0.0578181818181818
"A1yr_C2yr"	0.326867422940447	0.001	0.00327272727272727
"A1yr_B1yr"	0.0929185947591728	0.02	0.0232258064516129
"A1yr_B2yr"	0.224309639761825	0.001	0.00327272727272727
"A2yr_C1yr"	0.293028785747603	0.001	0.00327272727272727
"A2yr_C2yr"	0.0896751967948277	0.044	0.0495
"A2yr_B1yr"	0.346659070263475	0.001	0.00327272727272727
"A2yr_B2yr"	0.12563930645801	0.013	0.0167142857142857
"C1yr_C2yr"	0.304732009459937	0.001	0.00327272727272727
"C1yr_B1yr"	0.109990902992419	0.008	0.012
"C1yr_B2yr"	0.213162324669321	0.001	0.00327272727272727
"C2yr_B1yr"	0.348703744903959	0.001	0.00327272727272727
"C2yr_B2yr"	0.189510003047845	0.001	0.00327272727272727
"B1yr_B2yr"	0.274631282356093	0.001	0.00327272727272727
