amplicon	Type	variable	beta	test	filetype	1yr_2yr	2w_4w	4w_8w	8w_1yr	A_B	A_C	A2w_B2w	A2w_C2w	A2yr_C2yr	A4w_B4w	A4w_C4w	A8w_B8w	A8w_C8w	B_C	B1yr_A1yr	B2w_C2w	B2yr_A2yr	B2yr_C2yr	B4w_C4w	B8w_C8w	C1yr_A1yr	C1yr_B1yr	A1yr_B1yr	A1yr_C1yr	A2yr_B2yr	C2yr_B2yr	B_A	C_A	C_B
A	F	OTU	bray	adonis	txt	0.00142857142857143	0.185	0.23	0.00142857142857143	0.033	0.806	0.443457446808511	0.70665	0.392608695652174	0.386538461538462	0.236860465116279	0.00159090909090909	0.21625	0.003	0.907644230769231	0.133518518518519	0.231	0.860588235294118	0.0340540540540541	0.00308823529411765	0.440322580645161	0.47578125	NA	NA	NA	NA	NA	NA	NA
A	F	OTU	jac	adonis	txt	0.00142857142857143	0.16	0.163333333333333	0.00142857142857143	0.0375	0.703	0.50421875	0.7525	0.416576086956522	0.475322580645161	0.155602409638554	0.00156716417910448	0.192705882352941	0.003	0.824708737864078	0.149817073170732	0.267808988764045	0.903	0.0511538461538462	0.00156716417910448	0.403846153846154	0.475851063829787	NA	NA	NA	NA	NA	NA	NA
A	L	OTU	bray	adonis	txt	0.001	NA	NA	0.001	0.63	0.63	NA	NA	0.00969230769230769	NA	NA	0.116129032258065	0.423529411764706	0.63	NA	NA	NA	NA	NA	0.116129032258065	NA	0.273375	0.837	0.286909090909091	0.006	0.613028571428571	NA	NA	NA
A	L	OTU	jac	adonis	txt	0.001	NA	NA	0.001	0.327	0.486	NA	NA	0.0036	NA	NA	0.116129032258065	0.411428571428571	0.493	NA	NA	NA	NA	NA	0.116129032258065	NA	0.253125	0.827	0.271636363636364	0.0036	0.373764705882353	NA	NA	NA
A	S	OTU	bray	adonis	txt	0.001	NA	NA	0.001	0.653	0.653	NA	NA	0.115448275862069	NA	NA	0.116129032258065	0.225	0.653	NA	NA	NA	NA	NA	0.116129032258065	NA	0.597	0.326181818181818	0.502941176470588	0.018	0.567771428571429	NA	NA	NA
A	S	OTU	jac	adonis	txt	0.001	NA	NA	0.001	0.417	0.599	NA	NA	0.0173793103448276	NA	NA	0.116129032258065	0.225	0.599	NA	NA	NA	NA	NA	0.116129032258065	NA	0.501	0.228	0.470057142857143	0.0036	0.468	NA	NA	NA
B	F	OTU	bray	adonis	txt	0.001	0.001	0.001	0.001	0.724	0.724	0.811730769230769	0.61215	0.445714285714286	0.0714893617021276	0.0632258064516129	0.038804347826087	0.583333333333333	0.724	0.810147058823529	0.397268041237113	0.911	0.0862105263157895	0.26140625	0.00230769230769231	0.811730769230769	0.730841584158416	NA	NA	NA	NA	NA	NA	NA
B	F	OTU	jac	adonis	txt	0.001	0.001	0.001	0.001	0.71	0.71	0.748514851485149	0.5985	0.507857142857143	0.0703723404255319	0.0666129032258065	0.039945652173913	0.581212121212121	0.71	0.826747572815534	0.374536082474227	0.917	0.129315789473684	0.345625	0.00692307692307692	0.849086538461538	0.806029411764706	NA	NA	NA	NA	NA	NA	NA
B	L	OTU	bray	adonis	txt	0.001	NA	NA	0.001	0.237	0.747	NA	NA	0.0429677419354839	NA	NA	0.102857142857143	1	0.237	NA	NA	NA	NA	NA	0.102857142857143	NA	0.068625	0.0024	0.0336	0.0260689655172414	0.0872727272727273	NA	NA	NA
B	L	OTU	jac	adonis	txt	0.001	NA	NA	0.001	0.159	0.435	NA	NA	0.0255483870967742	NA	NA	0.102857142857143	1	0.222	NA	NA	NA	NA	NA	0.102857142857143	NA	0.055125	0.00327272727272727	0.0168	0.0148965517241379	0.0698181818181818	NA	NA	NA
B	S	OTU	bray	adonis	txt	0.001	NA	NA	0.001	0.3465	0.643	NA	NA	0.176914285714286	NA	NA	0.105882352941176	1	0.3465	NA	NA	NA	NA	NA	0.105882352941176	NA	0.00553846153846154	0.00744827586206897	0.00553846153846154	0.0441290322580645	0.0945	NA	NA	NA
B	S	OTU	jac	adonis	txt	0.001	NA	NA	0.001	0.2145	0.438	NA	NA	0.0850909090909091	NA	NA	0.102857142857143	0.7	0.2145	NA	NA	NA	NA	NA	0.102857142857143	NA	0.0072	0.00620689655172414	0.00432	0.0139354838709677	0.079875	NA	NA	NA
F	F	OTU	bray	adonis	txt	0.001	NA	NA	NA	NA	NA	NA	NA	0.0945	NA	NA	NA	NA	NA	0.376363636363636	NA	0.618214285714286	0.528461538461538	NA	NA	0.925	0.5025	NA	NA	NA	NA	0.66	0.66	0.851
F	F	OTU	jac	adonis	txt	0.001	NA	NA	NA	NA	NA	NA	NA	0.0945	NA	NA	NA	NA	NA	0.48375	NA	0.633214285714286	0.500769230769231	NA	NA	0.881	0.48375	NA	NA	NA	NA	0.765	0.765	0.847
F	L	OTU	bray	adonis	txt	0.001	NA	NA	0.001	0.454	0.454	NA	NA	0.0446896551724138	NA	NA	0.116129032258065	1	0.147	NA	NA	NA	NA	NA	0.308571428571429	NA	0.006	0.108	0.194823529411765	0.0295714285714286	0.006	NA	NA	NA
F	L	OTU	jac	adonis	txt	0.001	NA	NA	0.001	0.1965	0.281	NA	NA	0.0322758620689655	NA	NA	0.116129032258065	1	0.054	NA	NA	NA	NA	NA	0.308571428571429	NA	0.00675	0.0396	0.124363636363636	0.00675	0.006	NA	NA	NA
F	S	OTU	bray	adonis	txt	0.001	NA	NA	0.001	0.715	0.6765	NA	NA	0.06975	NA	NA	0.514285714285714	1	0.6765	NA	NA	NA	NA	NA	0.423529411764706	NA	0.00654545454545455	0.0384827586206897	0.117818181818182	0.0432	0.00654545454545455	NA	NA	NA
F	S	OTU	jac	adonis	txt	0.001	NA	NA	0.001	0.308	0.308	NA	NA	0.0495	NA	NA	0.514285714285714	1	0.201	NA	NA	NA	NA	NA	0.514285714285714	NA	0.012	0.0232258064516129	0.0578181818181818	0.0167142857142857	0.00327272727272727	NA	NA	NA
