"AgeGroup"	"Type"	"mean"	"sd"	"amplicon"	"metric"
"1yr"	"F"	0.743555099541454	0.214793905085465	"Arc"	"BC"
"1yr"	"L"	0.724402085437446	0.220583085909834	"Arc"	"BC"
"1yr"	"S"	0.682898264796744	0.247118532510057	"Arc"	"BC"
"2w"	"F"	0.791387283985367	0.312543951843268	"Arc"	"BC"
"2yr"	"F"	0.719749922433812	0.223398395496572	"Arc"	"BC"
"2yr"	"L"	0.714381971082067	0.227167495167837	"Arc"	"BC"
"2yr"	"S"	0.696426332104802	0.23557659129818	"Arc"	"BC"
"4w"	"F"	0.765432253317362	0.317544233992292	"Arc"	"BC"
"8w"	"F"	0.775847761664767	0.324606358018826	"Arc"	"BC"
"8w"	"L"	0.763919265760752	0.332714605821358	"Arc"	"BC"
"8w"	"S"	0.772561228057384	0.316446059539407	"Arc"	"BC"
"1yr"	"F"	0.833762666466562	0.157170168527524	"Arc"	"J"
"1yr"	"L"	0.819750753149752	0.161532971866475	"Arc"	"J"
"1yr"	"S"	0.78405808144888	0.189687147674073	"Arc"	"J"
"2w"	"F"	0.835207608819893	0.280454009024552	"Arc"	"J"
"2yr"	"F"	0.81560624149996	0.166891156118978	"Arc"	"J"
"2yr"	"L"	0.81119900859289	0.169439120060342	"Arc"	"J"
"2yr"	"S"	0.796488078686735	0.179051549063064	"Arc"	"J"
"4w"	"F"	0.816702433363721	0.283690080982744	"Arc"	"J"
"8w"	"F"	0.819638945691939	0.299602795016638	"Arc"	"J"
"8w"	"L"	0.809217453004133	0.305360745038703	"Arc"	"J"
"8w"	"S"	0.821241360330348	0.286207703256755	"Arc"	"J"
