"AgeGroup"	"Type"	"mean"	"sd"	"amplicon"	"metric"
"1yr"	"F"	0.901124280852657	0.195847878662173	"Bac"	"BC"
"1yr"	"L"	0.811323200698876	0.231076491269063	"Bac"	"BC"
"1yr"	"S"	0.815571565922458	0.230372094887465	"Bac"	"BC"
"2w"	"F"	0.938067887919949	0.11696663781971	"Bac"	"BC"
"2yr"	"F"	0.90404904304706	0.184592731512865	"Bac"	"BC"
"2yr"	"L"	0.803804569359302	0.245753569142905	"Bac"	"BC"
"2yr"	"S"	0.798857927408173	0.251739056120623	"Bac"	"BC"
"4w"	"F"	0.918605587301438	0.130896774056932	"Bac"	"BC"
"8w"	"F"	0.934138488270048	0.100876348147599	"Bac"	"BC"
"8w"	"L"	0.969207607090797	0.0669888416291039	"Bac"	"BC"
"8w"	"S"	0.966486134376133	0.072109592350272	"Bac"	"BC"
"1yr"	"F"	0.934105587297938	0.135119552808083	"Bac"	"J"
"1yr"	"L"	0.875984446692864	0.156034431532692	"Bac"	"J"
"1yr"	"S"	0.878595911931378	0.156763963016378	"Bac"	"J"
"2w"	"F"	0.96355859803489	0.0748474884560072	"Bac"	"J"
"2yr"	"F"	0.937545256444236	0.124700746661974	"Bac"	"J"
"2yr"	"L"	0.867704247863274	0.173667365720793	"Bac"	"J"
"2yr"	"S"	0.863199894363985	0.179614749046578	"Bac"	"J"
"4w"	"F"	0.952014365519816	0.0819598409830663	"Bac"	"J"
"8w"	"F"	0.96279443435507	0.0607414423659278	"Bac"	"J"
"8w"	"L"	0.9828745373794	0.0443560740506269	"Bac"	"J"
"8w"	"S"	0.981242284844678	0.0473670087283409	"Bac"	"J"
