"AgeGroup"	"Type"	"mean"	"sd"	"amplicon"	"metric"
"1yr"	"F"	0.714220574270309	0.20268773247598	"Fun"	"BC"
"1yr"	"L"	0.709200975817883	0.199005733172795	"Fun"	"BC"
"1yr"	"S"	0.6824403200754	0.217388142756453	"Fun"	"BC"
"2yr"	"F"	0.891484643365815	0.117575096710565	"Fun"	"BC"
"2yr"	"L"	0.652467950435866	0.230384466549754	"Fun"	"BC"
"2yr"	"S"	0.65983882987158	0.230265786132357	"Fun"	"BC"
"8w"	"L"	0.884838626532825	0.173769150288814	"Fun"	"BC"
"8w"	"S"	0.935686382127349	0.0919327877405537	"Fun"	"BC"
"1yr"	"F"	0.816245310259055	0.145125082719975	"Fun"	"J"
"1yr"	"L"	0.812937378392411	0.146795709155704	"Fun"	"J"
"1yr"	"S"	0.790288273438553	0.163797009206147	"Fun"	"J"
"2yr"	"F"	0.938017283874252	0.0745057313353467	"Fun"	"J"
"2yr"	"L"	0.764047472754388	0.18656119933963	"Fun"	"J"
"2yr"	"S"	0.769555423250129	0.186470537978772	"Fun"	"J"
"8w"	"L"	0.928008357904424	0.119041237982567	"Fun"	"J"
"8w"	"S"	0.96417775102473	0.055014443679971	"Fun"	"J"
