"Type"	"amplicon"	"metric"	"calf mean2"	"calf sd2"	"cow mean2"	"cow sd2"	"1yr mean"	"1yr sd"	"2w mean"	"2w sd"	"2yr mean"	"2yr sd"	"4w mean"	"4w sd"	"8w mean"	"8w sd"
"F"	"Arc"	"BC"	0.777555766322499	0.00606050135550044	0.731652510987633	0.00608429351834839	0.743555099541454	0.214793905085465	0.791387283985367	0.312543951843268	0.719749922433812	0.223398395496572	0.765432253317362	0.317544233992292	0.775847761664767	0.324606358018826
"F"	"Arc"	"J"	0.823849662625184	0.0102498994679118	0.824684453983261	0.00687377624574742	0.833762666466562	0.157170168527524	0.835207608819893	0.280454009024552	0.81560624149996	0.166891156118978	0.816702433363721	0.283690080982744	0.819638945691939	0.299602795016638
"F"	"Bac"	"BC"	0.930270654497145	0.0150231603926391	0.902586661949858	0.00795859087252811	0.901124280852657	0.195847878662173	0.938067887919949	0.11696663781971	0.90404904304706	0.184592731512865	0.918605587301438	0.130896774056932	0.934138488270048	0.100876348147599
"F"	"Bac"	"J"	0.959455799303259	0.0107995874507655	0.935825421871087	0.00736720847778175	0.934105587297938	0.135119552808083	0.96355859803489	0.0748474884560072	0.937545256444236	0.124700746661974	0.952014365519816	0.0819598409830663	0.96279443435507	0.0607414423659278
"F"	"Fun"	"BC"	NA	NA	0.802852608818062	0.0601837219143856	0.714220574270309	0.20268773247598	NA	NA	0.891484643365815	0.117575096710565	NA	NA	NA	NA
"F"	"Fun"	"J"	NA	NA	0.877131297066653	0.0499354222470663	0.816245310259055	0.145125082719975	NA	NA	0.938017283874252	0.0745057313353467	NA	NA	NA	NA
"L"	"Arc"	"BC"	0.763919265760752	NA	0.719392028259757	0.0046558804364414	0.724402085437446	0.220583085909834	NA	NA	0.714381971082067	0.227167495167837	NA	NA	0.763919265760752	0.332714605821358
"L"	"Arc"	"J"	0.809217453004133	NA	0.815474880871321	0.00559049100094914	0.819750753149752	0.161532971866475	NA	NA	0.81119900859289	0.169439120060342	NA	NA	0.809217453004133	0.305360745038703
"L"	"Bac"	"BC"	0.969207607090797	NA	0.807563885029089	0.0103782612925967	0.811323200698876	0.231076491269063	NA	NA	0.803804569359302	0.245753569142905	NA	NA	0.969207607090797	0.0669888416291039
"L"	"Bac"	"J"	0.9828745373794	NA	0.871844347278069	0.0124683673366223	0.875984446692864	0.156034431532692	NA	NA	0.867704247863274	0.173667365720793	NA	NA	0.9828745373794	0.0443560740506269
"L"	"Fun"	"BC"	0.884838626532825	NA	0.680834463126875	0.0221881151558924	0.709200975817883	0.199005733172795	NA	NA	0.652467950435866	0.230384466549754	NA	NA	0.884838626532825	0.173769150288814
"L"	"Fun"	"J"	0.928008357904424	NA	0.788492425573399	0.0281184477662612	0.812937378392411	0.146795709155704	NA	NA	0.764047472754388	0.18656119933963	NA	NA	0.928008357904424	0.119041237982567
"S"	"Arc"	"BC"	0.772561228057384	NA	0.689662298450773	0.0081613848989747	0.682898264796744	0.247118532510057	NA	NA	0.696426332104802	0.23557659129818	NA	NA	0.772561228057384	0.316446059539407
"S"	"Arc"	"J"	0.821241360330348	NA	0.790273080067807	0.00752050389982268	0.78405808144888	0.189687147674073	NA	NA	0.796488078686735	0.179051549063064	NA	NA	0.821241360330348	0.286207703256755
"S"	"Bac"	"BC"	0.966486134376133	NA	0.807214746665315	0.0151087231813161	0.815571565922458	0.230372094887465	NA	NA	0.798857927408173	0.251739056120623	NA	NA	0.966486134376133	0.072109592350272
"S"	"Bac"	"J"	0.981242284844678	NA	0.870897903147682	0.0161579457573973	0.878595911931378	0.156763963016378	NA	NA	0.863199894363985	0.179614749046578	NA	NA	0.981242284844678	0.0473670087283409
"S"	"Fun"	"BC"	0.935686382127349	NA	0.67113957497349	0.00910586895680374	0.6824403200754	0.217388142756453	NA	NA	0.65983882987158	0.230265786132357	NA	NA	0.935686382127349	0.0919327877405537
"S"	"Fun"	"J"	0.96417775102473	NA	0.779921848344341	0.0160326059485514	0.790288273438553	0.163797009206147	NA	NA	0.769555423250129	0.186470537978772	NA	NA	0.96417775102473	0.055014443679971
