"pval"	"label"
0.874125874125874	"Diet"
0.892072741866013	"B-A"
0.876615191636986	"C-A"
0.999157359959032	"C-B"
0.000999000999000999	"AgeGroup"
0	"2w-1yr"
0.613060310541669	"2yr-1yr"
0	"4w-1yr"
0	"8w-1yr"
0	"2yr-2w"
0.00366286496059542	"4w-2w"
0.860757944825819	"8w-2w"
0	"4w-2yr"
0	"8w-2yr"
0.110848605008584	"8w-4w"
0.000999000999000999	"DietAge"
1.46993528460371e-13	"A2w-A1yr"
0.999999583140283	"A2yr-A1yr"
5.57591146699288e-06	"A4w-A1yr"
1.26842314429609e-10	"A8w-A1yr"
0.999999999984441	"B1yr-A1yr"
1.44584344496934e-11	"B2w-A1yr"
0.999991828928109	"B2yr-A1yr"
3.28445126651644e-08	"B4w-A1yr"
1.9487158775533e-08	"B8w-A1yr"
1	"C1yr-A1yr"
1.8991253014633e-11	"C2w-A1yr"
0.999998115755456	"C2yr-A1yr"
4.73782862941974e-08	"C4w-A1yr"
2.922132102956e-08	"C8w-A1yr"
3.1774582964772e-12	"A2yr-A2w"
0.0584295973705163	"A4w-A2w"
0.999998940590827	"A8w-A2w"
8.8484775062625e-14	"B1yr-A2w"
0.999861521005526	"B2w-A2w"
8.0994100315479e-12	"B2yr-A2w"
0.563214727480154	"B4w-A2w"
0.837827950103154	"B8w-A2w"
3.63487018262276e-13	"C1yr-A2w"
0.999745806423885	"C2w-A2w"
3.41997319353027e-10	"C2yr-A2w"
0.510596270864223	"C4w-A2w"
0.794418144472323	"C8w-A2w"
9.69598744227085e-05	"A4w-A2yr"
3.19856119368467e-09	"A8w-A2yr"
0.99994515386615	"B1yr-A2yr"
5.05004704720591e-10	"B2w-A2yr"
1	"B2yr-A2yr"
8.08387483286488e-07	"B4w-A2yr"
4.45879483224054e-07	"B8w-A2yr"
0.999999998716652	"C1yr-A2yr"
6.57757182054297e-10	"C2w-A2yr"
1	"C2yr-A2yr"
1.14177580479158e-06	"C4w-A2yr"
6.54171352199029e-07	"C8w-A2yr"
0.44625184445016	"A8w-A4w"
1.34325382461498e-06	"B1yr-A4w"
0.463176111499309	"B2w-A4w"
0.00019581488853404	"B2yr-A4w"
0.999309168684468	"B4w-A4w"
0.991082192232839	"B8w-A4w"
1.56033083587026e-05	"C1yr-A4w"
0.498338921718223	"C2w-A4w"
0.000964187148159823	"C2yr-A4w"
0.999689585810544	"C4w-A4w"
0.995054253314258	"C8w-A4w"
2.66924260472479e-11	"B1yr-A8w"
0.999999999999092	"B2w-A8w"
7.2589145805324e-09	"B2yr-A8w"
0.969134675752169	"B4w-A8w"
0.997415238425531	"B8w-A8w"
3.99114297167102e-10	"C1yr-A8w"
0.999999999986599	"C2w-A8w"
9.49286371731972e-08	"C2yr-A8w"
0.956356908949607	"C4w-A8w"
0.995255765305815	"C8w-A8w"
2.66342503607575e-12	"B2w-B1yr"
0.999626023602372	"B2yr-B1yr"
6.83541978574453e-09	"B4w-B1yr"
4.21975987485723e-09	"B8w-B1yr"
0.999999969153788	"C1yr-B1yr"
3.49609230454462e-12	"C2w-B1yr"
0.999889660179342	"C2yr-B1yr"
9.94822579869492e-09	"C4w-B1yr"
6.38634678473693e-09	"C8w-B1yr"
1.2474181687594e-09	"B2yr-B2w"
0.983688970604482	"B4w-B2w"
0.999314032653686	"B8w-B2w"
5.09379205482219e-11	"C1yr-B2w"
1	"C2w-B2w"
2.92327602124942e-08	"C2yr-B2w"
0.974839758640047	"C4w-B2w"
0.998491544298103	"C8w-B2w"
1.80376050062936e-06	"B4w-B2yr"
9.78937889861697e-07	"B8w-B2yr"
0.999999880108461	"C1yr-B2yr"
1.61998792158613e-09	"C2w-B2yr"
1	"C2yr-B2yr"
2.53234916403056e-06	"C4w-B2yr"
1.42734722630156e-06	"C8w-B2yr"
0.999999999753753	"B8w-B4w"
1.03205682000507e-07	"C1yr-B4w"
0.988146594487213	"C2w-B4w"
1.68626831378305e-05	"C2yr-B4w"
1	"C4w-B4w"
0.999999999994103	"C8w-B4w"
5.95755385024432e-08	"C1yr-B8w"
0.999590328152119	"C2w-B8w"
8.69111781043319e-06	"C2yr-B8w"
0.999999996733108	"C4w-B8w"
1	"C8w-B8w"
6.67738087045677e-11	"C2w-C1yr"
0.999999978938293	"C2yr-C1yr"
1.47829343766226e-07	"C4w-C1yr"
8.86843469771748e-08	"C8w-C1yr"
3.67751102903213e-08	"C2yr-C2w"
0.981177312124359	"C4w-C2w"
0.999049945114123	"C8w-C2w"
2.26370120957053e-05	"C4w-C2yr"
1.20954025080167e-05	"C8w-C2yr"
0.999999999833047	"C8w-C4w"
0.208791208791209	"Random"
